编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
GZ-054,"3,3'-二甲氧基鞣花酸-4-O-β-D-葡萄糖","3,3'-di-O-methylellagic acid-4-O-β-D-glucopyranoside",51803-68-0,492.389,C22H20O13,,酚酸,O=C1OC2=C(C3=C1C=C(O)C(OC)=C3OC4=O)C4=CC(O[C@H]5OC(CO)[C@H](O)[C@@H](O)[C@@H]5O)=C2OC,"InChI=1S/C22H20O13/c1-30-16-8(24)3-6-11-12-7(21(29)34-18(11)16)4-9(17(31-2)19(12)35-20(6)28)32-22-15(27)14(26)13(25)10(5-23)33-22/h3-4,10,13-15,22-27H,5H2,1-2H3/t10?,13-,14+,15-,22?/m0/s1",PNYQFRZBMVRYFC-LJJRCSOASA-N,广枣
GZ-055,蛇菰宁,balanophonin,80286-36-8,356.374, C20H20O6,,其他,O=C/C=C/C(C=C1OC)=CC2=C1O[C@H]([C@@H]2CO)C3=CC(OC)=C(O)C=C3,"InChI=1S/C20H20O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h3-10,15,19,22-23H,11H2,1-2H3/b4-3+/t15-,19+/m1/s1",GWCSSLSMGCFIFR-GWKPYITFSA-N,广枣
GZ-056,"（-）-（7R,8S）-二氢脱氢双松柏基醇","(-)-(7R,8S)-dihydrodehydrodiconifenyl alcohol",126253-41-6,360.406, C20H24O6,,其他,OCCCC(C=C1OC)=CC2=C1O[C@H]([C@@H]2CO)C3=CC(OC)=C(O)C=C3,"InChI=1S/C20H24O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h5-6,8-10,15,19,21-23H,3-4,7,11H2,1-2H3/t15-,19+/m1/s1",SBLZVJIHPWRSQQ-BEFAXECRSA-N,广枣
GZ-057,β-谷甾醇,β-sitosterol,83-46-5,414.718,C29H50O,,甾体,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@]3([H])CC=C(C[C@@H](O)CC4)[C@@]4(C)[C@@]3([H])CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,广枣
GZ-058,胡萝卜苷(谷甾醇-3-O-葡萄糖苷 ),daucosterol,474-58-8,576.859,C35H60O6,,甾体,C[C@]12[C@@](CC[C@@]2([H])[C@@H](C)CC[C@H](CC)C(C)C)([H])[C@@]3([H])CC=C(C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)CC5)[C@]5(C)[C@]3([H])CC1,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29+,30+,31-,32+,33+,34+,35-/m0/s1",NPJICTMALKLTFW-YUKVTNEASA-N,广枣
GZ-059,麦角固醇,Ergosterol,57-87-4,396.659, C28H44O,,甾体,[H][C@]1([C@@H](/C=C/[C@H](C(C)C)C)C)CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C,"InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+/t19-,20-,22+,24-,25+,26+,27+,28-/m1/s1",DNVPQKQSNYMLRS-NBEWGGKZSA-N,广枣
GZ-060,脯氨酸,proline,147-85-3,115.132,C5H9NO2,,氨基酸,O=C(O)[C@@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,广枣
GZ-061,组氨酸,Histidine,71-00-1,155.157,C6H9N3O2,,氨基酸,OC([C@H](N)CC1=CN=CN1)=O,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m1/s1",HNDVDQJCIGZPNO-RXMQYKEDSA-N,广枣
GZ-062,亮氨酸,Leucine,328-39-2,131.175,C6H13NO2,,氨基酸,OC(C(N)CC(C)C)=O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)",ROHFNLRQFUQHCH-UHFFFAOYSA-N,广枣
GZ-063,异亮氨酸,isoleucine,73-32-5,131.175,C6H13NO2,,氨基酸,OC([C@H](N)[C@H](C)CC)=O,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m1/s1",AGPKZVBTJJNPAG-RFZPGFLSSA-N,广枣
GZ-064,缬氨酸,Valine,72-18-4,117.148,C5H11NO2,,氨基酸,OC([C@H](N)[C@H](C)CC)=O,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m1/s1",AGPKZVBTJJNPAG-RFZPGFLSSA-N,广枣
GZ-065,苏氨酸,Threonine,72-19-5,119.12,C4H9NO3,,氨基酸,OC([C@H](N)[C@H](O)C)=O,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m1/s1",AYFVYJQAPQTCCC-PWNYCUMCSA-N,广枣
GZ-066,赖氨酸,Lysine,56-87-1,146.19,C6H14N2O2,,氨基酸,OC([C@H](N)CCCCN)=O,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m1/s1",KDXKERNSBIXSRK-RXMQYKEDSA-N,广枣
GZ-067,精氨酸,Arginine,74-79-3,174.204,C6H14N4O2,,氨基酸,OC([C@H](N)CCCNC(N)=N)=O,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m1/s1",ODKSFYDXXFIFQN-SCSAIBSYSA-N,广枣
GZ-068,甘氨酸,Glycine,56-40-6,75.067,C2H5NO2,,氨基酸,OC(CN)=O,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,广枣
GZ-069,丙氨酸,Alanine,302-72-7,89.094,C3H7NO2,,氨基酸,OC(C(C)N)=O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)",QNAYBMKLOCPYGJ-UHFFFAOYSA-N,广枣
GZ-070,谷氨酸,Glutamate,11070-68-1,147.13,C5H9NO4,,氨基酸,OC([C@@H](N)CCC(O)=O)=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,广枣
GZ-071,天冬氨酸,L-Aspartic acid,56-84-8,133.103,C4H7NO4,,氨基酸,OC([C@H](N)CC(O)=O)=O,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1",CKLJMWTZIZZHCS-UWTATZPHSA-N,广枣
GZ-072,丝氨酸,Serine,56-45-1,105.093, C3H7NO3,,氨基酸,OC([C@H](N)CO)=O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1",MTCFGRXMJLQNBG-UWTATZPHSA-N,广枣
GZ-073,胱氨酸,Cystine,923-32-0,240.292,C6H12N2O4S2,,氨基酸,OC(C(N)CSSCC(N)C(O)=O)=O,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)",LEVWYRKDKASIDU-UHFFFAOYSA-N,广枣
GZ-074,蛋氨酸(甲硫氨酸),l-Methionine,63-68-3,149.208,C5H11NO2S,,氨基酸,OC([C@H](N)CCSC)=O,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m1/s1",FFEARJCKVFRZRR-SCSAIBSYSA-N,广枣
GZ-075,酪氨酸,tyrosine,60-18-4,181.191,C9H11NO3,,氨基酸,O=C(O)[C@@H](N)CC1=CC=C(O)C=C1,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,广枣
GZ-076,苯丙氨酸,Phenylalanine,63-91-2,165.192,C9H11NO2,,氨基酸,O=C(O)[C@@H](N)CC1=CC=CC=C1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,广枣
GZ-077,6-羟基吲哚乳酸 ,"α,6-Dihydroxy-1H-indole-3-propanoic acid",958732-01-9,221.212,C11H11NO4,,生物碱,OC(C(O)=O)CC1=CNC2=CC(O)=CC=C21,"InChI=1S/C11H11NO4/c13-7-1-2-8-6(3-10(14)11(15)16)5-12-9(8)4-7/h1-2,4-5,10,12-14H,3H2,(H,15,16)",QVXYTCLWWRPFPW-UHFFFAOYSA-N,广枣
GZ-078,奎宁酸 ,Quininic acid,86-68-0,203.197, C11H9NO3,,生物碱,OC(C1=CC=NC2=C1C=C(OC)C=C2)=O,"InChI=1S/C11H9NO3/c1-15-7-2-3-10-9(6-7)8(11(13)14)4-5-12-10/h2-6H,1H3,(H,13,14)",XXLFLUJXWKXUGS-UHFFFAOYSA-N,广枣
GZ-079,东莨菪内酯 ,Scopoletin,92-61-5,192.17,C10H8O4,,生物碱,O=C1OC2=CC(O)=C(OC)C=C2C=C1,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,广枣
GZ-080,"（E)-3,3'二甲氧基-4,4'-二羟基二苯乙烯","(E)-3,3’-dimethoxy-4, 4’-dihydroxystilbene",7329-69-3,272.3,C16H16O4,,其他,OC1=C(OC)C=C(/C=C/C2=CC(OC)=C(O)C=C2)C=C1,"InChI=1S/C16H16O4/c1-19-15-9-11(5-7-13(15)17)3-4-12-6-8-14(18)16(10-12)20-2/h3-10,17-18H,1-2H3/b4-3+",KQPXJFAYGYIGRU-ONEGZZNKSA-N,广枣
GZ-081,熊果酸 ,Ursolic acid ,77-52-1,456.711,C30H48O3,,三萜,O[C@H]1CC[C@@]2(C)[C@](CC[C@]3(C)[C@]2([H])CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@H]4[C@@H](C)[C@H](C)CC5)([H])C1(C)C,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,广枣
GZ-082,豆甾烷-7-酮 ,Stigmastan-7-one,55331-88-9,400.691, C28H48O,,三萜,C[C@]12[C@H](CC[C@H]2[C@H](CC[C@@H](CC)C(C)C)C)[C@@]3([H])C(CC4([H])CCCC[C@@]4(C)[C@@H]3CC1)=O,"InChI=1S/C29H50O/c1-7-21(19(2)3)12-11-20(4)23-13-14-24-27-25(15-17-29(23,24)6)28(5)16-9-8-10-22(28)18-26(27)30/h19-25,27H,7-18H2,1-6H3/t20-,21+,22?,23-,24+,25+,27+,28+,29-/m0/s1",IHBBNGVGNBHNFF-SZQBBFOYSA-N,广枣
