编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-105,异原莪述烯醇,Isoprocurcumenol,102130-90-5,234.162,C15H22O2,,,萜类,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12+,14+,15-/m1/s1",ISFMXVMWEWLJGJ-PAPYEOQZSA-N,郁金
YJ-106,环氧泽泻烯,Alismoxide,87701-68-6,238.1933,C15H26O2,,,萜类,CC@H1CC/C=C(\CC@@2(C(=C(C(=O)O2)C)CC1=O)C)/C,"InChI=1S/C15H20O4/c1-9-5-4-6-10(2)13(16)7-12-11(3)14(17)19-15(12,18)8-9/h5,10,18H,4,6-8H2,1-3H3/b9-5-/t10-,15+/m0/s1",SCOXWKWLFRIELY-LPBQMQTMSA-N,郁金
YJ-107,姜黄奥二醇,Curcumadiol,31946-48-2,238.1933,C15H26O2,,,萜类,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12+,14+,15-/m1/s1",ISFMXVMWEWLJGJ-PAPYEOQZSA-N,郁金
YJ-108,/,Curcumafuranol,/,232.1463,C15H20O2,,,萜类,CC1=COC2=C1C[C@]3([H])[C@@](C)(O)CCC3=C(C)C2,"InChI=1S/C15H20O2/c1-9-6-14-12(10(2)8-17-14)7-13-11(9)4-5-15(13,3)16/h8,13,16H,4-7H2,1-3H3/t13-,15-/m0/s1",UPJVQLJPJZVWSR-ZFWWWQNUSA-N,郁金
YJ-109,/,Zedoarol,103994-22-5,245.1256,C15H18O3,,,萜类,CC1=C(C2=C(CC3C2C(=O)C=C4C3=C(C=C4)C)C=C1)C,"InChI=1S/C15H18O3/c1-11-7-8-13-12(2)6-5-12-13(8-7-11)14(3)15(16)17-14/h7-8,13H,5-6H2,1-3H3",VYVPIFXAYNIMKK-UHFFFAOYSA-N,郁金
YJ-110,桂莪术内酯,Gweicurculactone,123914-43-2,228.115,C15H16O2,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",OGJFTQVVQQMGJG-MRVPVSSYSA-N,郁金
YJ-111,/,Linderazulene,489-79-2,210.1045,C15H14O,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",LMVGRKPOXLBIFQ-UHFFFAOYSA-N,郁金
YJ-112,/,Zedoarolide A,/,296.126,C15H20O6,,,萜类,O=C1C(C)=C2C[C@]3([H])[C@@](C)(O)CC[C@@]3(O4)[C@@]4(C)[C@H](O)[C@]2(O)O1,"InChI=1S/C15H20O6/c1-7-8-6-9-12(2,18)4-5-14(9)13(3,21-14)11(17)15(8,19)20-10(7)16/h9,11,17-19H,4-6H2,1-3H3/t9-,11+,12+,13-,14+,15-/m1/s1",FYIUFPCMCZWNKH-OJVJDFQCSA-N,郁金
YJ-113,/,Zedoarolide B,213833-36-4,282.1467,C15H22O5,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",DXGIJGSOOPTGDC-LCLLMFOLSA-N,郁金
YJ-114,/,Zedoalactone A,170384-82-4,266.1518,C15H22O4,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",BQDXDGDOYPUUOD-QIRZIZBZSA-N,郁金
