编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-202,/,"Elema-1,3,7(11),8-tetraen-8,12-lactam",/,229.1467,C15H19NO,,,萜类,C=C[C@@]1(C)[C@](CC(C2=C1)=C(C)C(N2)=O)([H])C(C)=C,"InChI=1S/C15H19NO/c1-6-15(5)8-13-11(7-12(15)9(2)3)10(4)14(17)16-13/h6,8,12H,1-2,7H2,3-5H3,(H,16,17)/t12-,15+/m0/s1",KHYMPNHQRKVOEQ-SWLSCSKDSA-N,郁金
YJ-203,/,"7β,8α-dihydroxy-1α,4αH-guai-9,11-dien-5β,8β-endoxide",/,250.1569,C15H22O3,,,萜类,C[C@H]1CC[C@]2([H])[C@]13C[C@](C(C)=C)(O)[C@@](O3)(O)C=C2C,"InChI=1S/C15H22O3/c1-9(2)14(16)8-13-11(4)5-6-12(13)10(3)7-15(14,17)18-13/h7,11-12,16-17H,1,5-6,8H2,2-4H3/t11-,12-,13-,14+,15+/m0/s1",MSGRUDXYCWETSY-BTFPBAQTSA-N,郁金
YJ-204,/,"8,9-seco-4bhydroxy-1α,5βH-7(11)-guaen-8,10-olide",/,252.1725,C15H24O3,,,萜类,O[C@@]1(C)CC[C@]2([H])[C@]1([H])C/C(C(OC2(C)C)=O)=C(C)\C,"InChI=1S/C15H24O3/c1-9(2)10-8-12-11(6-7-15(12,5)17)14(3,4)18-13(10)16/h11-12,17H,6-8H2,1-5H3/t11-,12+,15+/m1/s1",PJLSRZWITOHTEG-XUJVJEKNSA-N,郁金
YJ-205,/,"8α-hydroxy-1α,4β,7βH-guai-10(15)-en-5β,8β-endoxide",/,236.1776,C15H24O2,,,萜类,C[C@@H]1CC[C@]2([H])[C@]1(O3)C[C@@H](C(C)C)[C@@]3(O)CC2=C,"InChI=1S/C15H24O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h9,11-13,16H,3,5-8H2,1-2,4H3/t11-,12+,13+,14+,15-/m1/s1",QRMPRVXWPCLVNI-CAEXGNQWSA-N,郁金
YJ-206,/,"7β,8α-dihydroxy-1α,4αH-guai-10(15)-en-5β,8β-endoxide",/,252.1725,C15H24O3,,,萜类,C[C@H]1CC[C@]2([H])[C@]1(O3)C[C@@](O)(C(C)C)[C@@]3(O)CC2=C,"InChI=1S/C15H24O3/c1-9(2)14(16)8-13-11(4)5-6-12(13)10(3)7-15(14,17)18-13/h9,11-12,16-17H,3,5-8H2,1-2,4H3/t11-,12-,13-,14+,15+/m0/s1",QVTAHIZJBVJNDW-BTFPBAQTSA-N,郁金
YJ-207,/,"4,8-dioxo-6-methoxy-7β,11-epoxycarabran",/,280.1675,C16H24O4,,,挥发油,CC(CC[C@@H]1[C@]([C@@H]([C@]23OC3(C)C)OC)([H])[C@@]1(C)CC2=O)=O,"InChI=1S/C16H24O4/c1-9(17)6-7-10-12-13(19-5)16(14(2,3)20-16)11(18)8-15(10,12)4/h10,12-13H,6-8H2,1-5H3/t10-,12+,13?,15+,16-/m1/s1",BSSGAXQIJZFCNU-SPYLGUTESA-N,郁金
YJ-208,/,"4,8-dioxo-6-methoxy-7α,11-epoxycarabrane",/,280.1675,C16H24O4,,,挥发油,CC(CC[C@@H]1[C@]([C@@H](C23C(C)(C)O3)OC)([H])[C@@]1(C)CC2=O)=O,"InChI=1S/C16H24O4/c1-9(17)6-7-10-12-13(19-5)16(14(2,3)20-16)11(18)8-15(10,12)4/h10,12-13H,6-8H2,1-5H3/t10-,12+,13?,15+,16+/m1/s1",BSSGAXQIJZFCNU-BOMIGYHSSA-N,郁金
YJ-209,/,"(4Z,7Z,9Z)-11-hydroxy-4,7,9-germacratriene-1,6-dioneC15H20O3",/,248.1412,C15H20O3,,,挥发油,C/C(CCC1=O)=C/C(/C(C(C)(O)C)=C\C=C1\C)=O,"InChI=1S/C15H20O3/c1-10-5-8-13(16)11(2)6-7-12(14(17)9-10)15(3,4)18/h6-7,9,18H,5,8H2,1-4H3/b10-9-,11-6-,12-7+",GWPVAGOEFQQHES-YVWWBNQGSA-N,郁金
YJ-210,/,Wenyujinin L,/,180.115,C11H16O2,,,挥发油,CC([C@@](CC[C@]1(O)C)([H])[C@@]1([H])C2)=CC2=O,"InChI=1S/C11H16O2/c1-7-5-8(12)6-10-9(7)3-4-11(10,2)13/h5,9-10,13H,3-4,6H2,1-2H3/t9-,10+,11+/m0/s1",CBVDBVCPOLDBAH-HBNTYKKESA-N,郁金
YJ-211,/,"Dehydro-1,8-cineole",/,252.1201,C10H16O,,,挥发油,C[C@]1(O2)C=CC(C2(C)C)CC1,"InChI=1S/C10H16O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h4,6,8H,5,7H2,1-3H3/t8?,10-/m0/s1",LOOYOTLEOHYYOV-HTLJXXAVSA-N,郁金
YJ-212,/,"P-menth-2-ene-1,8-diol",20053-40-1,170.1307,C10H18O2,,,萜类,CC1=CC(O)CC(C(C)(C)O)C1,"InChI=1S/C10H18O2/c1-7-4-6-10(5-8(7)11)9(2,3)12/h4,8,11-12H,5-6H2,1-3H3",LHLBNBHNCPZLLQ-UHFFFAOYSA-N?,郁金
YJ-213,桉叶油醇,"1,8-cineole",470-82-6,154.1358,C10H18O,,,萜类,CC1(C)C2CCC(C2)C1=C,"InChI=1S/C10H16/c1-10(2)8-4-5-9(6-8)7-3-9/h6H,3-5,7-8H2,1-2H3",CRPUJAZIXJMDBK-UHFFFAOYSA-N,郁金
YJ-214,冰片,Borneol,507-70-0,154.1358,C10H18O,,,萜类,CC1(C)[C@H]2CC[C@@]1(C)C@HC2,"InChI=1S/C10H18O/c1-9(2)6-3-4-7-10(9,5)8(11)7/h7-8,11H,3-6H2,1-2H3/t7-,8+/m0/s1",DTQMFHYZQQRPQB-UHFFFAOYSA-N,郁金
YJ-215,异龙脑,Isoborneol,124-76-5,154.1358,C10H18O,,,萜类,CC1(C)[C@H]2CC[C@@]1(C)C@HC2,"InChI=1S/C10H18O/c1-9(2)6-3-4-7-10(9,5)8(11)7/h7-8,11H,3-6H2,1-2H3/t7-,8+/m0/s1",DTQMFHYZQQRPQB-UHFFFAOYSA-N,郁金
YJ-216,合成樟脑,Bornan-2-one,76-22-2,252.1201,C10H16O,,,萜类,CC1(C)C2CCC1(C)C(=O)C2,"InChI=1S/C10H16O/c1-9(2)7-4-5-8(6-7)10(8,3)9/h7-8H,4-6H2,1-3H3/t7-,8+,10+/m1/s1",IQVNKZSVXGBQSF-UHFFFAOYSA-N,郁金
YJ-217,/,Curcuminol A,/,320.2351,C20H32O3,,,萜类,O[C@@]([C@](C=C)(C)CC1)([H])C2=C1[C@]3(C)C([C@@](O)([H])[C@]2(O)[H])C(C)(C)CCC3,"InChI=1S/C20H32O3/c1-6-19(4)11-8-12-13(17(19)23)14(21)15(22)16-18(2,3)9-7-10-20(12,16)5/h6,14-17,21-23H,1,7-11H2,2-5H3/t14-,15+,16?,17-,19-,20+/m0/s1",QVQRRSWZZSIFII-WVDGJDTFSA-N,郁金
YJ-218,/,Curcuminol B,/,320.2351,C20H32O3,,,萜类,[H][C@@]([C@](C=C)(C)CC1)(O)C2=C1[C@]3(C)C([C@]([H])(O)[C@@]2([H])O)C(C)(C)CCC3,"InChI=1S/C20H32O3/c1-6-19(4)11-8-12-13(17(19)23)14(21)15(22)16-18(2,3)9-7-10-20(12,16)5/h6,14-17,21-23H,1,7-11H2,2-5H3/t14-,15+,16?,17+,19-,20+/m0/s1",QVQRRSWZZSIFII-TZKLTUIJSA-N,郁金
YJ-219,/,Curcuminol C,/,380.2563,C22H36O5,,,萜类,CC(C=C)(O)C(C[C@@]([C@]1(C)[C@](C2)([H])C(C)(C)CCC1)([H])C(C)(O)C2=O)OC(C)=O,"InChI=1S/C22H36O5/c1-8-21(6,25)18(27-14(2)23)13-16-20(5)11-9-10-19(3,4)15(20)12-17(24)22(16,7)26/h8,15-16,18,25-26H,1,9-13H2,2-7H3/t15-,16+,18?,20-,21?,22-/m0/s1",OBNAQLNMMYXKOK-SSHALBSNSA-N,郁金
YJ-220,/,Curcuminol D,/,302.2246,C20H30O2,,,萜类,CC1(C)CCC[C@@]2(C)C1CC=C(CC(O)C3)C2C/C=C3/C=O,"InChI=1S/C20H30O2/c1-19(2)9-4-10-20(3)17-7-5-14(13-21)11-16(22)12-15(17)6-8-18(19)20/h5-6,13,16-18,22H,4,7-12H2,1-3H3/b14-5+/t16?,17?,18?,20-/m1/s1",QMWWPJQKMMFEGS-WFSPEREGSA-N,郁金
YJ-221,/,Curcuminol E,/,290.2246,C19H30O2,,,挥发油,C=C1CCC2C(C)(C)CCC[C@]2(C)C1CC3=COCC3O,"InChI=1S/C19H30O2/c1-13-6-7-17-18(2,3)8-5-9-19(17,4)15(13)10-14-11-21-12-16(14)20/h11,15-17,20H,1,5-10,12H2,2-4H3/t15?,16?,17?,19-/m1/s1",YMGIKCLMZYGXAM-MAGNIPBMSA-N,郁金
YJ-222,/,Curcuminol F,/,406.1264,C20H22O9,,,萜类,O[C@]1(COC(C2=CC=CC=C2)=O)[C@@H]([C@H](C=C[C@H]1OC(C)=O)OC(C)=O)OC(C)=O,"InChI=1S/C20H22O9/c1-12(21)27-16-9-10-17(28-13(2)22)20(25,18(16)29-14(3)23)11-26-19(24)15-7-5-4-6-8-15/h4-10,16-18,25H,11H2,1-3H3/t16?,17?,18?,20-/m0/s1",BJASBPAUIPMSBA-MPTUAUJUSA-N,郁金
YJ-223,姜黄素,Curcumin,458-37-7,368.126,C21H20O6,,,其他,COC1=CC(=CC(=C1)C=CC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)O,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N?,郁金
YJ-224,去甲氧基姜黄素,Demethoxycurcumin,22608-11-3,338.1154,C20H18O5,,,其他,COC1=CC(=CC(=C1)C=CC(=O)CC(=O)/C=C/C2=CC=C(O)C=C2)O,"InChI=1S/C20H18O5/c1-24-18-8-14(5-11-20(18)25)4-10-16(22)12-17(23)13-6-15-2-9-19(21)3-7-15/h2-11,21-22H,12-13H2,1H3/b10-4+,13-6+",HJTVQHVGMGKONQ-LUZURFALSA-N?,郁金
YJ-225,双去甲氧基姜黄素,Bisdemethoxycurcumin,33171-05-0,308.1049,C19H16O4,,,其他,O=C(/C=C/C1=CC=C(O)C=C1)CC(=O)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C19H16O4/c20-15-7-1-13(2-8-15)5-11-17(22)12-6-14-3-9-16(21)10-4-14/h1-12,20-21H/b5-1+,6-3+",PREBVFJICNPEKM-YDWXAUTNSA-N?,郁金
YJ-226,/,"1-(4-Hydroxy-3-methoxyphenyl)-7-(3,4-dihydroxypheny)-l,6-heptadiene-3,5-dione",/,354.1103,C20H18O6,,,其他,O=C(CC(/C=C/C1=CC(O)=C(O)C=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C20H18O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)12-15(21)6-2-13-4-8-17(23)19(25)10-13/h2-11,23-25H,12H2,1H3/b6-2+,7-3+",FFRFJIZJLZXEJX-YPCIICBESA-N,郁金
YJ-227,/,"l-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxy-Phenyl)-(1E,6E)-l,6-heptadiene-3,5-dione",/,398.1366,C22H22O7,,,其他,O=C(CC(/C=C/C1=CC(OC)=C(O)C=C1)=O)/C=C/C2=CC(OC)=C(O)C(OC)=C2,"InChI=1S/C22H22O7/c1-27-19-10-14(6-9-18(19)25)4-7-16(23)13-17(24)8-5-15-11-20(28-2)22(26)21(12-15)29-3/h4-12,25-26H,13H2,1-3H3/b7-4+,8-5+",MQJGAHXKAZGEGI-NSLJXJERSA-N,郁金
YJ-228,二氢姜黄素,Dihydrocurcumin,943330-36-7,370.1416,C21H22O6,,,其他,COC1=C(C=CC(=C1)CCC(=O)CC(=O)/C=C/C2=CC=C(O)C(OC)=C2)O,"InChI=1S/C21H22O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3,5-7,9-12,24-25H,4,8,13H2,1-2H3/b7-3+",MUYJSOCNDLUHPJ-XVNBXDOJSA-N?,郁金
YJ-229,/,"5-Hydroxyl-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphen-yl)-4,6-heptadiene-3-one",/,340.1311,C20H20O5,,,其他,O=C(CC(CCC1=CC(OC)=C(O)C=C1)=O)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C20H20O5/c1-25-20-12-15(6-11-19(20)24)5-10-18(23)13-17(22)9-4-14-2-7-16(21)8-3-14/h2-4,6-9,11-12,21,24H,5,10,13H2,1H3/b9-4+",MCERWWPBQHGSTL-RUDMXATFSA-N,郁金
YJ-230,/,"5-Hydroxyl-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-4,6-heptadiene-3-one",/,340.1311,C20H20O5,,,其他,O=C(CC(CCC1=CC=C(O)C=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C20H20O5/c1-25-20-12-15(6-11-19(20)24)5-10-18(23)13-17(22)9-4-14-2-7-16(21)8-3-14/h2-3,5-8,10-12,21,24H,4,9,13H2,1H3/b10-5+",GKICZLOXLIUPGL-BJMVGYQFSA-N,郁金
YJ-231,/,"1,7-Bis(4-hydroxyphenyl)-1-heptene-3,5-dione",/,310.1205,C19H18O4,,,其他,O=C(CC(CCC1=CC=C(O)C=C1)=O)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C19H18O4/c20-16-7-1-14(2-8-16)5-11-18(22)13-19(23)12-6-15-3-9-17(21)10-4-15/h1-5,7-11,20-21H,6,12-13H2/b11-5+",AWUBJLRYWHOLFW-VZUCSPMQSA-N,郁金
YJ-232,/,"1-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-6-heptene-3,5-dione",/,386.1366,C21H22O7,,,其他,O=C(CC(CC(O)C1=CC(OC)=C(O)C=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C21H22O7/c1-27-20-9-13(4-7-17(20)24)3-6-15(22)11-16(23)12-19(26)14-5-8-18(25)21(10-14)28-2/h3-10,19,24-26H,11-12H2,1-2H3/b6-3+",NKDVMZOMVJQUDC-ZZXKWVIFSA-N,郁金
YJ-233,/,Tetrahydroxycurcumin,/,372.1573,C21H24O6,,,其他,O=C(CC(CCC1=CC(O)=C(C=C1)OC)=O)CCC2=CC(OC)=C(O)C=C2,"InChI=1S/C21H24O6/c1-26-20-10-6-14(11-19(20)25)3-7-16(22)13-17(23)8-4-15-5-9-18(24)21(12-15)27-2/h5-6,9-12,24-25H,3-4,7-8,13H2,1-2H3",BEPFTJCKIFCNJT-UHFFFAOYSA-N,郁金
YJ-234,/,"(E)-1,7-bis(4-hydroxyphenyl)-6-hepten-3-one",/,296.1412,C19H20O3,,,其他,O=C(CC/C=C/C1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H20O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h1,3,5-6,8-9,11-14,21-22H,2,4,7,10H2/b3-1+",PDFRZPRYDQDKCQ-HNQUOIGGSA-N,郁金
YJ-235,/,"1,7-Bis(4-hydroxyphenyl)-3-heptanone",/,298.1569,C19H22O3,,,其他,O=C(CCCCC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H22O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h5-6,8-9,11-14,21-22H,1-4,7,10H2",QUHYUSAHBDACNG-UHFFFAOYSA-N,郁金
YJ-236,/,1-(4-Hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-3-heptanone,/,328.1675,C20H24O4,,,其他,O=C(CCCCC1=CC=C(O)C=C1)CCC2=CC(OC)=C(O)C=C2,"InChI=1S/C20H24O4/c1-24-20-14-16(9-13-19(20)23)8-12-17(21)5-3-2-4-15-6-10-18(22)11-7-15/h6-7,9-11,13-14,22-23H,2-5,8,12H2,1H3",QUMBVGAYXWDALH-UHFFFAOYSA-N,郁金
YJ-237,/,"1,7-Bis(4-hydroxyphenyl)hepta-4E-6E-dien-3-one",/,294.1256,C19H18O3,,,其他,O=C(/C=C/C=C/C1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H18O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h1-6,8-9,11-14,21-22H,7,10H2/b3-1+,4-2+",QIROPQQWKBMABC-ZPUQHVIOSA-N,郁金
YJ-238,/,1-(4-Hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-(4E)-4-hepten-3-one,/,326.1518,C20H22O4,,,其他,O=C(/C=C/CCC1=CC=C(O)C=C1)CCC2=CC(OC)=C(O)C=C2,"InChI=1S/C20H22O4/c1-24-20-14-16(9-13-19(20)23)8-12-17(21)5-3-2-4-15-6-10-18(22)11-7-15/h3,5-7,9-11,13-14,22-23H,2,4,8,12H2,1H3/b5-3+",JYHZFCAVESZNKO-HWKANZROSA-N,郁金
YJ-239,/,"1,7-Bis-(4-hydroxyphenyl)-l,4,6-heptatrien-3-one",/,292.1099,C19H16O2,,,其他,O=C(/C=C/C=C/C1=CC=C(O)C=C1)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C19H16O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h1-14,21-22H/b3-1+,4-2+,10-7+",PALMCMYYFAHUGA-BPTNNVFMSA-N,郁金
YJ-240,/,"1,7-Bis-(4-hydroxy-3-methoxyphenyl)-1,4,6-heptartien-3-one",/,352.1311,C21H20O5,,,其他,O=C(/C=C/C=C/C1=CC(OC)=C(O)C=C1)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C21H20O5/c1-25-20-13-15(8-11-18(20)23)5-3-4-6-17(22)10-7-16-9-12-19(24)21(14-16)26-2/h3-14,23-24H,1-2H3/b5-3+,6-4+,10-7+",JUDCTVXWYFNGQQ-FQXJPFFWSA-N,郁金
YJ-241,/,"1,7-Diphenyl-6(E)-hepten-3-one",/,312.1725,C20H24O3,,,其他,O=C(CCC1=CC=CC=C1)CCCCC2=CC=C(O)C(OC)=C2,"InChI=1S/C20H24O3/c1-23-20-15-17(12-14-19(20)22)9-5-6-10-18(21)13-11-16-7-3-2-4-8-16/h2-4,7-8,12,14-15,22H,5-6,9-11,13H2,1H3",CPCBHHQCEIHUMR-UHFFFAOYSA-N,郁金
YJ-242,/,Alnustone,33457-62-4,262.1358,C19H18O,,,其他,C(CC(/C=C/C=C/C1=CC=CC=C1)=O)C2=CC=CC=C2,"InChI=1S/C19H18O/c20-19(16-15-18-11-5-2-6-12-18)14-8-7-13-17-9-3-1-4-10-17/h1-14H,15-16H2/b13-7+,14-8+",OWMJDOUOHDOUFG-FNCQTZNRSA-N?,郁金
YJ-243,/,"1,5-Bis(4-hydroxy-3-methoxyphenyl)-1,4-pentadien-3-one",/,328.1311,C19H20O5,,,其他,O=C(C/C=C1CC(OC)=C(O)C=C\1)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C19H20O5/c1-23-18-11-13(5-9-16(18)21)3-7-15(20)8-4-14-6-10-17(22)19(12-14)24-2/h3-7,9-11,21-22H,8,12H2,1-2H3/b7-3+,14-4-",SKTKVJINXNAAHM-WQHHSQAVSA-N,郁金
YJ-244,/,"1,5-Bis(4-hydroxyphenyl)-penta-(1E,4E)-1,4-dien-3-one",/,268.1099,C17H16O3,,,其他,O=C(C/C=C1CC=C(O)C=C\1)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C17H16O3/c18-15-7-1-13(2-8-15)5-11-17(20)12-6-14-3-9-16(19)10-4-14/h1-3,5-11,18-19H,4,12H2/b11-5+,14-6-",SKVHBFOGPLSZJH-IDCGZTOXSA-N,郁金
YJ-245,/,"1-(4-Hydroxy-3-methoxyphenyl)-5-(4-hydroxyphenyl)-1,4-pentadiene-3-one",/,298.1205,C18H18O4,,,其他,O=C(C/C=C1CC=C(O)C=C\1)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C18H18O4/c1-22-18-12-14(6-11-17(18)21)5-10-16(20)9-4-13-2-7-15(19)8-3-13/h2,4-8,10-12,19,21H,3,9H2,1H3/b10-5+,13-4-",KTQJSSLWMNRIAD-IVNSUMALSA-N,郁金
YJ-246,/,"(3S)-1,7-bis(4-hydroxyphenyl)-(6E)-6-hepten-3-ol",/,298.1569,C19H22O3,,,其他,O[C@H](CC/C=C/C1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H22O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h1,3,5-6,8-9,11-14,17,20-22H,2,4,7,10H2/b3-1+/t17-/m1/s1",HLWUXTFOZZSNLD-XKKXFUJGSA-N,郁金
YJ-247,/,"(3R)-1,7-bis(4-hydroxyphenyl)-(6E)-6-hepten-3-ol",/,298.1569,C19H22O3,,,其他,O[C@@H](CC/C=C/C1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2,"InChI=1S/C19H22O3/c20-17(10-7-16-8-13-19(22)14-9-16)4-2-1-3-15-5-11-18(21)12-6-15/h1,3,5-6,8-9,11-14,17,20-22H,2,4,7,10H2/b3-1+/t17-/m0/s1",HLWUXTFOZZSNLD-DUXHTMCSSA-N,郁金
YJ-248,/,"(3S)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)-(6E)-6-hepten-3-ol",/,314.1518,C19H22O4,,,其他,O[C@@H](CC/C=C/C1=CC=C(O)C=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H22O4/c20-16(11-7-15-8-12-18(22)19(23)13-15)4-2-1-3-14-5-9-17(21)10-6-14/h1,3,5-6,8-10,12-13,16,20-23H,2,4,7,11H2/b3-1+/t16-/m0/s1",RECNHCLFPNYLCU-VQRJYJFOSA-N,郁金
YJ-249,/,"(3R)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)-(6E)-6-hepten-3-ol",/,314.1518,C19H22O4,,,其他,O[C@H](CC/C=C/C1=CC=C(O)C=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H22O4/c20-16(11-7-15-8-12-18(22)19(23)13-15)4-2-1-3-14-5-9-17(21)10-6-14/h1,3,5-6,8-10,12-13,16,20-23H,2,4,7,11H2/b3-1+/t16-/m1/s1",RECNHCLFPNYLCU-BCMPFUBYSA-N,郁金
YJ-250,/,"(3S)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)heptan-3-ol",/,316.1675,C19H24O4,,,其他,O[C@@H](CCCCC1=CC=C(O)C=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H24O4/c20-16(11-7-15-8-12-18(22)19(23)13-15)4-2-1-3-14-5-9-17(21)10-6-14/h5-6,8-10,12-13,16,20-23H,1-4,7,11H2/t16-/m0/s1",SENGGJLGUFGNIH-INIZCTEOSA-N,郁金
YJ-251,/,"(3R)-1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)heptan-3-ol",/,316.1675,C19H24O4,,,其他,O[C@H](CCCCC1=CC=C(O)C=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H24O4/c20-16(11-7-15-8-12-18(22)19(23)13-15)4-2-1-3-14-5-9-17(21)10-6-14/h5-6,8-10,12-13,16,20-23H,1-4,7,11H2/t16-/m1/s1",SENGGJLGUFGNIH-MRXNPFEDSA-N,郁金
YJ-252,/,"(3R)-1-(3,4-dihydroxyphenyl)-7-phenyl-(6E)-6-hepten-3-ol",/,300.1725,C19H24O3,,,其他,O[C@H](CCCCC1=CC=CC=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H24O3/c20-17(9-5-4-8-15-6-2-1-3-7-15)12-10-16-11-13-18(21)19(22)14-16/h1-3,6-7,11,13-14,17,20-22H,4-5,8-10,12H2/t17-/m1/s1",KTXCDCXOGYKLHF-QGZVFWFLSA-N,郁金
YJ-253,/,"(3S)-1-(3,4-dihydroxyphenyl)-7-phenyl-(6E)-6-hepten-3-ol",/,300.1725,C19H24O3,,,其他,O[C@@H](CCCCC1=CC=CC=C1)CCC2=CC(O)=C(O)C=C2,"InChI=1S/C19H24O3/c20-17(9-5-4-8-15-6-2-1-3-7-15)12-10-16-11-13-18(21)19(22)14-16/h1-3,6-7,11,13-14,17,20-22H,4-5,8-10,12H2/t17-/m0/s1",KTXCDCXOGYKLHF-KRWDZBQOSA-N,郁金
YJ-254,/,5-Hydroxy-7-(4-hydroxyphenyl)-1-phenyl-(1E)-1-heptene,/,330.1831,C20H26O4,,,其他,OC1=CC=C(CCCCC(O)CCC2=CC=C(O)C=C2)C=C1OC,"InChI=1S/C20H26O4/c1-24-20-14-16(9-13-19(20)23)4-2-3-5-17(21)10-6-15-7-11-18(22)12-8-15/h7-9,11-14,17,21-23H,2-6,10H2,1H3",VSMCASNCIGBMTP-UHFFFAOYSA-N,郁金
YJ-255,/,"7-(3,4-Dihydroxyphenyl)-5-hydroxy-l-phenyl-(IE)-l-heptene",/,346.178,C20H26O5,,,其他,OC1=CC=C(CCCCC(O)CCC2=CC(O)=C(O)C=C2)C=C1OC,"InChI=1S/C20H26O5/c1-25-20-13-14(8-11-18(20)23)4-2-3-5-16(21)9-6-15-7-10-17(22)19(24)12-15/h7-8,10-13,16,21-24H,2-6,9H2,1H3",SFXRRURYKXWTQR-UHFFFAOYSA-N,郁金
YJ-256,/,"Trans-l,7-diphenyl-1-hepten-5-o1",/,314.1882,C20H26O3,,,其他,OC1=CC=C(CCCCC(O)CCC2=CC=CC=C2)C=C1OC,"InChI=1S/C20H26O3/c1-23-20-15-17(12-14-19(20)22)9-5-6-10-18(21)13-11-16-7-3-2-4-8-16/h2-4,7-8,12,14-15,18,21-22H,5-6,9-11,13H2,1H3",DKLDQDLQMXJWGD-UHFFFAOYSA-N,郁金
YJ-257,/,"Trans,trans-1,7-diphenyl-l,3-heptadien-5-o1",/,264.1514,C19H20O,,,其他,OC(CCC1=CC=CC=C1)/C=C/C=C/C2=CC=CC=C2,"InChI=1S/C19H20O/c20-19(16-15-18-11-5-2-6-12-18)14-8-7-13-17-9-3-1-4-10-17/h1-14,19-20H,15-16H2/b13-7+,14-8+",OVURIZIJDDTXJS-FNCQTZNRSA-N,郁金
YJ-258,/,(3R)-1-(4-methoxyphenyl)-7-phenyl-(6E)-6-hepten-3-ol,/,296.1776,C20H24O2,,,其他,O[C@@H](CCC1=CC=C(C=C1)OC)CC/C=C/C2=CC=CC=C2,"InChI=1S/C20H24O2/c1-22-20-15-12-18(13-16-20)11-14-19(21)10-6-5-9-17-7-3-2-4-8-17/h2-5,7-9,12-13,15-16,19,21H,6,10-11,14H2,1H3/b9-5+/t19-/m1/s1",RHRKZIFEVKRELT-NTPDMAOXSA-N,郁金
