编号,名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材
QJZ-040,大戟因子L25,Euphorbia factor L25,303174-98-3,538.26,C31H38O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@]3(OC3)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C31H38O8/c1-17-14-23-22(29(23,5)6)12-13-30(16-36-30)27(37-19(3)32)24-25(38-28(35)21-10-8-7-9-11-21)18(2)15-31(24,26(17)34)39-20(4)33/h7-11,14,18,22-25,27H,12-13,15-16H2,1-6H3/b17-14+/t18-,22-,23+,24+,25-,27+,30-,31+/m0/s1",SWZRPMGMXIIIOC-QBBSFLMLSA-N,千金子
QJZ-041,大戟因子L26,Euphorbia factor L26,/,582.28,C33H42O9,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@]3(OC3)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(C(C)C5=CC=C(O)C=C5)=O,"InChI=1S/C33H42O9/c1-17-14-25-24(31(25,6)7)12-13-32(16-39-32)29(40-20(4)34)26-27(18(2)15-33(26,28(17)37)42-21(5)35)41-30(38)19(3)22-8-10-23(36)11-9-22/h8-11,14,18-19,24-27,29,36H,12-13,15-16H2,1-7H3/b17-14+/t18-,19?,24-,25+,26+,27-,29+,32-,33+/m0/s1",BRWLYCORLVYMLA-GSDXTZRSSA-N,千金子
QJZ-042,大戟因子L27,Euphorbia factor L27,/,582.28,C33H42O9,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@]3(OC3)CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1OC(C(O)C5=CC=C(C)C=C5)=O,"InChI=1S/C33H42O9/c1-17-8-10-22(11-9-17)26(36)30(38)41-27-19(3)15-33(42-21(5)35)25(27)29(40-20(4)34)32(16-39-32)13-12-23-24(31(23,6)7)14-18(2)28(33)37/h8-11,14,19,23-27,29,36H,12-13,15-16H2,1-7H3/b18-14+/t19-,23-,24+,25+,26?,27-,29+,32-,33+/m0/s1",XHZKXDDWHCFMAX-FJMDYWAWSA-N,千金子
QJZ-043,大戟因子L28,Euphorbia factor L28,/,552.27,C32H40O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(COC(C)=O)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C(O)C4=CC=CC=C4)=O,"InChI=1S/C32H40O8/c1-18-14-25-24(31(25,5)6)13-12-22(17-38-20(3)33)15-26-28(19(2)16-32(26,29(18)36)40-21(4)34)39-30(37)27(35)23-10-8-7-9-11-23/h7-11,14-15,19,24-28,35H,12-13,16-17H2,1-6H3/b18-14+,22-15+/t19-,24-,25+,26-,27?,28-,32+/m0/s1",JXWOMAJAVVBFON-DNPDGWPUSA-N,千金子
QJZ-044,大戟因子L29,Euphorbia factor L29,/,418.24,C24H34O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(COC(C)=O)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1O,"InChI=1S/C24H34O6/c1-13-9-19-18(23(19,5)6)8-7-17(12-29-15(3)25)10-20-21(27)14(2)11-24(20,22(13)28)30-16(4)26/h9-10,14,18-21,27H,7-8,11-12H2,1-6H3/b13-9+,17-10+/t14-,18-,19+,20-,21-,24+/m0/s1",GOSWZAAGEBEWJK-BRNPERMASA-N,千金子
QJZ-045,大戟因子L30,Euphorbia factor L30,/,538.26,C31H38O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C3=CC=CC=C3)=O)/C(COC(C)=O)=C/C[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)([H])[C@H]1O,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-37-19(3)32)27(38-29(36)21-10-8-7-9-11-21)25-26(34)18(2)15-31(25,28(17)35)39-20(4)33/h7-12,14,18,23-27,34H,13,15-16H2,1-6H3/b17-14+,22-12+/t18-,23-,24+,25+,26-,27-,31+/m0/s1",ATQAVDMEOULCGF-IHERWWFXSA-N,千金子
QJZ-046,大戟因子L31,Euphorbia factor L31,/,492.29,C31H40O5,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC/C=C/C3=CC=CC=C3)C(CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)=C)([H])[C@H]1O,"InChI=1S/C31H40O5/c1-19-14-15-24-25(30(24,5)6)17-20(2)29(34)31(36-22(4)32)18-21(3)27(33)26(31)28(19)35-16-10-13-23-11-8-7-9-12-23/h7-13,17,21,24-28,33H,1,14-16,18H2,2-6H3/b13-10+,20-17+/t21-,24-,25+,26+,27-,28-,31+/m0/s1",YGVYDDLGDMKMHD-VPUWUYLHSA-N,千金子
QJZ-047,大戟因子L32,Euphorbia factor L32,/,480.25,C29H36O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](O)C(CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C29H36O6/c1-16-12-13-21-22(28(21,5)6)14-17(2)26(32)29(35-19(4)30)15-18(3)25(23(29)24(16)31)34-27(33)20-10-8-7-9-11-20/h7-11,14,18,21-25,31H,1,12-13,15H2,2-6H3/b17-14+/t18-,21-,22+,23-,24-,25-,29+/m0/s1",IHPZYRVWPGGSOB-LYYBVIAXSA-N,千金子
QJZ-048,大戟因子L33,Euphorbia factor L33,/,494.27,C30H38O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](O)C(CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(CC4=CC=CC=C4)=O,"InChI=1S/C30H38O6/c1-17-12-13-22-23(29(22,5)6)14-18(2)28(34)30(36-20(4)31)16-19(3)27(25(30)26(17)33)35-24(32)15-21-10-8-7-9-11-21/h7-11,14,19,22-23,25-27,33H,1,12-13,15-16H2,2-6H3/b18-14+/t19-,22-,23+,25-,26-,27-,30+/m0/s1",IXHWJEMYZOYEDA-FLWHKQKLSA-N,千金子
QJZ-049,大戟因子L34,Euphorbia factor L34,/,506.27,C31H38O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(/C=C/C3=CC=CC=C3)=O)C(CC[C@@](C4(C)C)([H])[C@@]4([H])/C=C(C)/C2=O)=C)([H])[C@H]1O,"InChI=1S/C31H38O6/c1-18-12-14-23-24(30(23,5)6)16-19(2)29(35)31(37-21(4)32)17-20(3)27(34)26(31)28(18)36-25(33)15-13-22-10-8-7-9-11-22/h7-11,13,15-16,20,23-24,26-28,34H,1,12,14,17H2,2-6H3/b15-13+,19-16+/t20-,23-,24+,26+,27-,28-,31+/m0/s1",TWLIYQFGXFJGBQ-YTOYFHMSSA-N,千金子
