编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化学种类,smiles,inchi,inchikey,药材名称
XTW-018,,corynoloxine,31470-65-2,365.379,C21H19NO5,,生物碱类,CN1[C@]2([H])C3=CC4=C(C=C3C[C@]5([H])O[C@@]1([H])C6=C([C@]25C)C=CC7=C6OCO7)OCO4,"InChI=1S/C21H19NO5/c1-21-12-3-4-13-18(26-9-23-13)17(12)20-22(2)19(21)11-7-15-14(24-8-25-15)5-10(11)6-16(21)27-20/h3-5,7,16,19-20H,6,8-9H2,1-2H3/t16-,19+,20-,21-/m0/s1",MARJZNJEWWKEKF-CZGNIMDHSA-N,夏天无
XTW-019,,β -sitosterol,"	5779-62-4",414.707,"	C29H50O",,生物碱类,CN1[C@]2([H])C3=CC4=C(C=C3C[C@]5([H])O[C@@]1([H])C6=C([C@]25C)C=CC7=C6OCO7)OCO4,"InChI=1S/C21H19NO5/c1-21-12-3-4-13-18(26-9-23-13)17(12)20-22(2)19(21)11-7-15-14(24-8-25-15)5-10(11)6-16(21)27-20/h3-5,7,16,19-20H,6,8-9H2,1-2H3/t16-,19+,20-,21-/m0/s1",MARJZNJEWWKEKF-CZGNIMDHSA-N,夏天无
XTW-020,,kikemanine,,,,,生物碱类,OC1=C(OC)C2=C(C=C1)CC3N(CCC4=C3C=C(OC)C(OC)=C4)C2,"InChI=1S/C20H23NO4/c1-23-18-9-13-6-7-21-11-15-12(4-5-17(22)20(15)25-3)8-16(21)14(13)10-19(18)24-2/h4-5,9-10,16,22H,6-8,11H2,1-3H3",DIHXHTWYVOYYDC-UHFFFAOYSA-N,夏天无
XTW-021,,α-allocryptopine,,,,,生物碱类,COC(C=C1)=C(OC)C2=C1=CC(C3=C(/C=C\N(C)C=2)C=C4C(OCO4)=C3)=O,"InChI=1S/C21H19NO5/c1-22-7-6-14-9-19-20(27-12-26-19)10-15(14)17(23)8-13-4-5-18(24-2)21(25-3)16(13)11-22/h4-11H,12H2,1-3H3/b7-6-",DCJXTKUMESWGRL-SREVYHEPSA-N,夏天无
XTW-022,胡萝卜苷,daucosterol,474-58-8,576.847,C35H60O6,,糖苷类,O[C@H]1[C@H](O[C@H]2CC[C@]3(C)[C@@]4([H])CC[C@]5(C)[C@@H]([C@@H](CC[C@@H](C)C(C)C)C)CC[C@@]5([H])[C@]4([H])CC=C3C2)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C34H58O6/c1-19(2)20(3)7-8-21(4)25-11-12-26-24-10-9-22-17-23(13-15-33(22,5)27(24)14-16-34(25,26)6)39-32-31(38)30(37)29(36)28(18-35)40-32/h9,19-21,23-32,35-38H,7-8,10-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28-,29-,30+,31-,32-,33+,34-/m1/s1",FWNZEKQVBDXWKA-NYENXMMQSA-N,夏天无
XTW-023,,muramine,2292-20-8,385.453,C22H27NO5,,生物碱类,O=C1C2=CC(OC)=C(OC)C=C2CCN(C)CC3=C(OC)C(OC)=CC=C3C1,"InChI=1S/C22H27NO5/c1-23-9-8-15-11-20(26-3)21(27-4)12-16(15)18(24)10-14-6-7-19(25-2)22(28-5)17(14)13-23/h6-7,11-12H,8-10,13H2,1-5H3",HUIJAZQRYSCNED-UHFFFAOYSA-N,夏天无
XTW-024,,isoquinolinium A,,,,,生物碱类,COC1=C(OC)C2=C[N+](CCC3=C4C=C(OC)C(OC)=C3)=C4C=C2C=C1,"InChI=1S/C21H22NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,9-12H,7-8H2,1-4H3/q+1",QUCQEUCGKKTEBI-UHFFFAOYSA-N,夏天无
XTW-025,,isoquinolinium B,,,,,生物碱类,COC1=C(OC)C2=C[N+](CCC3=C4C=C(OC)C(OC)=C3)=C4C=C2C=C1,"InChI=1S/C21H22NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,9-12H,7-8H2,1-4H3/q+1",QUCQEUCGKKTEBI-UHFFFAOYSA-N,夏天无
XTW-026,"	罂粟碱",Papaverine,58-74-2,375.846,"	C20H22ClNO4",,生物碱类,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(OC)=C(C=C23)OC)OC,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3",XQYZDYMELSJDRZ-UHFFFAOYSA-N,夏天无
XTW-027,,dl-tetrahydropalmatine,10097-84-4,355.427,C21H25NO4,,生物碱类,COC1=C(OC)C2=C(C=C1)CC3N(CCC4=C3C=C(OC)C(OC)=C4)C2,"InChI=1S/C21H25NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,10-11,17H,7-9,12H2,1-4H3",AEQDJSLRWYMAQI-UHFFFAOYSA-N,夏天无
XTW-028,,dehydrocorydaline,30045-16-0,366.43,C22H24NO4+,,生物碱类,COC1=C(OC)C2=C(C=C1)CC3N(CCC4=C3C=C(OC)C(OC)=C4)C2,"InChI=1S/C21H25NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,10-11,17H,7-9,12H2,1-4H3",AEQDJSLRWYMAQI-UHFFFAOYSA-N,夏天无
XTW-029,,columbamine,3621-36-1,338.377,C20H20NO4,,生物碱类,OC1=CC2=C(C=C1OC)CC[N+]3=C2C=C4C=CC(OC)=C(OC)C4=C3,"InChI=1S/C20H19NO4/c1-23-18-5-4-12-8-16-14-10-17(22)19(24-2)9-13(14)6-7-21(16)11-15(12)20(18)25-3/h4-5,8-11H,6-7H2,1-3H3/p+1",YYFOFDHQVIODOQ-UHFFFAOYSA-O,夏天无
