编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
29,溶解性酸B,Lycopic acid B,1331784-39-4,718.1534,C36H30O16,,酚酸,OC1=C(O)C=C(C[C@H](C(O)=O)OC([C@H]2[C@@H](C3=CC=C(O)C(O)=C3)OC(C=CC(/C=C/C(O[C@@H](C(O)=O)CC4=CC(O)=C(O)C=C4)=O)=C5)=C5O2)=O)C=C1,"InChI=1S/C36H30O16/c37-21-6-1-18(11-24(21)40)14-29(34(44)45)49-31(43)10-4-17-3-9-27-28(13-17)51-33(32(50-27)20-5-8-23(39)26(42)16-20)36(48)52-30(35(46)47)15-19-2-7-22(38)25(41)12-19/h1-13,16,29-30,32-33,37-42H,14-15H2,(H,44,45)(H,46,47)/b10-4+/t29-,30-,32-,33-/m1/s1",MJKIULPREOUSIK-PNQPAMRJSA-N,泽兰
30,单胞苷酸E,Clinopodic acid E,159736-38-6,528.1268,C26H24O12,,酚酸,OC([C@@H]1OC2=CC(/C=C/C(O[C@@H](C(O)=O)CC3=CC(O)=C(O)C=C3)=O)=CC=C2O[C@@H]1/C(C)=C/C(O)=C/O)=O,"InChI=1S/C26H24O12/c1-13(8-16(28)12-27)23-24(26(34)35)38-20-10-14(3-6-19(20)37-23)4-7-22(31)36-21(25(32)33)11-15-2-5-17(29)18(30)9-15/h2-10,12,21,23-24,27-30H,11H2,1H3,(H,32,33)(H,34,35)/b7-4+,13-8+,16-12-/t21-,23-,24-/m1/s1",CLKRSTJVFPSPNZ-BKLVVNFASA-N,泽兰
31,Schizotenuin A,Schizotenuin A,144608-09-3,716.1377,C36H28O16,,苯丙素,OC1=CC(/C([H])=C([H])/C(O[C@@H](C(O)=O)CC(C=C2)=CC(O)=C2O)=O)=CC3=C1OC(C(C=C4)=CC(O)=C4O)=C3C(O[C@@H](C(O)=O)CC(C=C5)=CC(O)=C5O)=O,"InChI=1S/C36H28O16/c37-21-5-1-17(10-24(21)40)13-28(34(45)46)50-30(44)8-3-16-9-20-31(32(52-33(20)27(43)12-16)19-4-7-23(39)26(42)15-19)36(49)51-29(35(47)48)14-18-2-6-22(38)25(41)11-18/h1-12,15,28-29,37-43H,13-14H2,(H,45,46)(H,47,48)/b8-3+/t28-,29-/m1/s1",KROVXXIIXUFKOO-NGJWAYPNSA-N,泽兰
32,(-)-丁香树脂酚,(-)-Syringaresinol,6216-81-5,418.1628,C22H26O8,,苯丙素,OC1=C(C=C(C=C1OC)[C@@H]2OC[C@]3([H])[C@@]2([H])CO[C@H]3C(C=C4OC)=C([H])C(OC)=C4O)OC,"InChI=1S/C22H26O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4H3/t13-,14-,21+,22+/m1/s1",KOWMJRJXZMEZLD-WRMVBYCNSA-N,泽兰
33,麦角甾苷,Verbascoside,61276-17-3,624.2054,C29H36O15,,苯丙素,O[C@@H]1[C@H]([C@@H]([C@@H](CO)O[C@H]1OCCC(C=C2)=CC(O)=C2O)OC(/C([H])=C([H])/C(C=C3)=CC(O)=C3O)=O)O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4,"InChI=1S/C29H36O15/c1-13-22(36)23(37)24(38)29(41-13)44-27-25(39)28(40-9-8-15-3-6-17(32)19(34)11-15)42-20(12-30)26(27)43-21(35)7-4-14-2-5-16(31)18(33)10-14/h2-7,10-11,13,20,22-34,36-39H,8-9,12H2,1H3/b7-4+/t13-,20-,22-,23+,24-,25-,26-,27-,28-,29+/m1/s1",FBSKJMQYURKNSU-SYCRQJRXSA-N,泽兰
34,14-甲基十五烷酸,Isopalmitic acid, 4669-2-7,256.2402,C16H32O2,,脂肪酸,OC(CCCCCCCCCCCCC(C)C)=O,"InChI=1S/C16H32O2/c1-15(2)13-11-9-7-5-3-4-6-8-10-12-14-16(17)18/h15H,3-14H2,1-2H3,(H,17,18)",ZONJATNKKGGVSU-UHFFFAOYSA-N,泽兰
35,亚油酸,Linoleic acid,60-33-3,280.2402,C18H32O2,,脂肪酸,OC(CCCCCCC/C([H])=C([H])\C/C([H])=C([H])\CCCCC)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,泽兰
36,花生酸,Arachidic acid,506-30-9,312.303,C20H40O2,,脂肪酸,OC(CCCCCCCCCCCCCCCCCCC)=O,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,泽兰
37,十六酸/棕榈酸,Palmitic acid, 57-10-3,256.2402,C16H32O2,,脂肪酸,OC(CCCCCCCCCCCCCCCCCCC)=O,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,23)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,泽兰
38,β-蒎烯,β-pinene,18172-67-3,136.1252,C10H16,,萜类,C=C1CC[C@@H]2C(C)(C)[C@H]1C2,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1",WTARULDDTDQWMU-IUCAKERBSA-N,泽兰
