编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-217,"3,4-二甲氧基苯酚 ","3,4-dimethoxyphenol",2033-89-8,154.163,C8H10O3 ,,其他,OC1=CC(OC)=C(C=C1)OC,"InChI=1S/C8H10O3/c1-10-7-4-3-6(9)5-8(7)11-2/h3-5,9H,1-2H3",SMFFZOQLHYIRDA-UHFFFAOYSA-N,降香
JX-218,苯乙烯 ,phenylethylene,100-42-5,104.149,C8H8 ,,其他,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",PPBRXRYQALVLMV-UHFFFAOYSA-N,降香
JX-219,1-氟-4-(4-氟苯乙基)苯,1-fluoro-4-(4-fluorophenethyl)benzene,/,218.24,C8H8F2 ,,其他,FC1=CC=C(C=C1)CCC(C=C2)=CC=C2F,"InChI=1S/C14H12F2/c15-13-7-3-11(4-8-13)1-2-12-5-9-14(16)10-6-12/h3-10H,1-2H2",PYRSXVQXDHTFMW-UHFFFAOYSA-N,降香
JX-220,"2,4-二甲基-2,4庚二烯醛 ","2,4-heptadienal-2,4-dimethyl",/,138.21,C9H14O ,,其他,O=C/C(C)=C/C(C)=C/CC,"InChI=1S/C9H14O/c1-4-5-8(2)6-9(3)7-10/h5-7H,4H2,1-3H3/b8-5+,9-6+",PHOBFHQBEYNKAL-XVYDYJIPSA-N,降香
JX-221,"2,4-二甲基-2,6庚二烯醛 ","2,6-heptadienal-2,4-dimethyl",/,138.21,C9H14O ,,其他,O=C/C(C)=C/C(C)CC=C,"InChI=1S/C9H14O/c1-4-5-8(2)6-9(3)7-10/h4,6-8H,1,5H2,2-3H3/b9-6+",MIHSPYMZXYONJN-RMKNXTFCSA-N,降香
JX-222,β-欧白芷内酯 ,β-angelica lacton,/,98.1,C5H6O2 ,,其他,,,,降香
JX-223,4-甲基-4-羟基环己酮 ,4-methyl-4-hydroxy-cyclohexanone,/,128.1,C7H12O2 ,,其他,,,,降香
JX-224,"1,2,4-三甲基环己烷 ","1,2,4-trimethyecychexane",/,126.24,C9H18 ,,其他,,,,降香
JX-225,"7,8-二氢芳樟醇 ","7,8-dihydrolinalool",/,156.27,C10H20O ,,其他,,,,降香
JX-226,二氢非瑟素 ,dihydrofisetin,4382-36-9,288.25,C15H12O6 ,,黄酮,OC1C(C(C=C2)=CC(O)=C2O)OC3=C(C=CC(O)=C3)C1=O,"InChI=1S/C15H12O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,14-18,20H",FNUPUYFWZXZMIE-UHFFFAOYSA-N,降香
