编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-075,(3R)-5?-甲氧基驴食草酚, (3R)-5?-methoxyvestitol ,/,302.32,C17H18O5 ,,黄酮,OC(C([C@@]1([H])CC(C=CC(O)=C2)=C2OC1)=C3)=CC(OC)=C3OC,"InChI=1S/C17H18O5/c1-20-16-7-13(14(19)8-17(16)21-2)11-5-10-3-4-12(18)6-15(10)22-9-11/h3-4,6-8,11,18-19H,5,9H2,1-2H3/t11-/m0/s1",URROMFHEVDBJIW-NSHDSACASA-N,降香
JX-076,,(3R)-claussequinone,/,286.28,C16H14O5 ,,黄酮,O=C(C=C1OC)C([C@H]2CC(C=CC(O)=C3)=C3OC2)=CC1=O,"InChI=1S/C16H14O5/c1-20-16-7-13(18)12(6-14(16)19)10-4-9-2-3-11(17)5-15(9)21-8-10/h2-3,5-7,10,17H,4,8H2,1H3/t10-/m0/s1",PDAKXMIQFUHWQC-JTQLQIEISA-N,降香
JX-077,"(2S)-6,7,4?-三羟基黄烷酮 ","(2S)-6,7,4?-trihydroxyflavan",/,272.26,C15H12O5 ,,黄酮,OC1=CC2=C(C(C[C@H](C3=CC=C(O)C=C3)O2)=O)C=C1O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)14-6-11(17)10-5-12(18)13(19)7-15(10)20-14/h1-5,7,14,16,18-19H,6H2/t14-/m1/s1",UABMFOBSIHSWFQ-CQSZACIVSA-N,降香
JX-078,"(2S)-6,4?-二羟基-7-甲氧基黄烷酮","(2S)-6,4?-dihydroxy-7-methoxyflavan ",/,272.3,C16H16O4 ,,黄酮,OC1=CC(CC[C@@H](C2=CC=C(O)C=C2)O3)=C3C=C1OC,"InChI=1S/C16H16O4/c1-19-16-9-15-11(8-13(16)18)4-7-14(20-15)10-2-5-12(17)6-3-10/h2-3,5-6,8-9,14,17-18H,4,7H2,1H3/t14-/m0/s1",RHHDYYWXCOHKMQ-AWEZNQCLSA-N,降香
JX-079,异甘草素  ,isoliquiritigenin,961-29-5,256.25,C15H12O5 ,,苯丙素,OC1=C(C=CC(O)=C1)C(/C=C/C(C=C2)=CC=C2O)=O,"InChI=1S/C15H12O4/c16-11-4-1-10(2-5-11)3-8-14(18)13-7-6-12(17)9-15(13)19/h1-9,16-17,19H/b8-3+",DXDRHHKMWQZJHT-FPYGCLRLSA-N,降香
JX-080,紫铆花素  ,butein,492-14-8,272.253,C15H14O3 ,,苯丙素,OC1=C(C=CC(O)=C1)C(/C=C/C(C=C2)=CC(O)=C2O)=O,"InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+",AYMYWHCQALZEGT-ORCRQEGFSA-N,降香
JX-081,"4,2?,5?-三羟基-4?-甲氧基查耳酮   ","4,2?,5?-trihydroxy-4?-methoxychalcone",/,286.279,C16H14O5 ,,苯丙素,OC(C(C(C=CC(C=C1)=CC=C1O)=O)=C2)=CC(OC)=C2O,"InChI=1S/C16H14O5/c1-21-16-9-14(19)12(8-15(16)20)13(18)7-4-10-2-5-11(17)6-3-10/h2-9,17,19-20H,1H3",HKQPOSPMZXAUSA-UHFFFAOYSA-N,降香
JX-082,"α,2?,3,4,4?-五羟基二氢查耳酮  ","α,2?,3,4,4?-pentahydroxydihydrochalcone",/,290.27,C15H14O6 ,,苯丙素,OC1=CC(O)=C(C([C@H](O)CC2=CC=C(O)C(O)=C2)=O)C=C1,"InChI=1S/C15H14O6/c16-9-2-3-10(12(18)7-9)15(21)14(20)6-8-1-4-11(17)13(19)5-8/h1-5,7,14,16-20H,6H2/t14-/m1/s1",CYRHKFJOQQQLAM-CQSZACIVSA-N,降香
JX-083,"α,2?,4,4?-四羟基二氢查耳酮  ","α,2?,4,4?-tetrahydroxydihydrochalcone",/,304.253,C15H14O5 ,,苯丙素,OC1=CC(O)=C(C([C@H](O)CC2=CC=C(O)C=C2)=O)C=C1,"InChI=1S/C15H14O5/c16-10-3-1-9(2-4-10)7-14(19)15(20)12-6-5-11(17)8-13(12)18/h1-6,8,14,16-19H,7H2/t14-/m1/s1",SLKHLLNCFGPWAZ-CQSZACIVSA-N,降香
JX-084,2?-O-甲基异甘草素  ,2?-O-methylisoliquiritigenin,/,270.28,C16H14O4 ,,苯丙素,OC1=CC(OC)=C(C(/C=C/C(C=C2)=CC=C2O)=O)C=C1,"InChI=1S/C16H14O4/c1-20-16-10-13(18)7-8-14(16)15(19)9-4-11-2-5-12(17)6-3-11/h2-10,17-18H,1H3/b9-4+",PACBGANPVNHGNP-RUDMXATFSA-N,降香
JX-085,黄檀素 ,dalbergin,482-83-7,268.264,C16H12O4 ,,香豆素,OC(C=C1C(C2=CC=CC=C2)=CC(OC1=C3)=O)=C3OC,"InChI=1S/C16H12O4/c1-19-15-9-14-12(7-13(15)17)11(8-16(18)20-14)10-5-3-2-4-6-10/h2-9,17H,1H3",AZELSOYQOIUPBZ-UHFFFAOYSA-N,降香
JX-086,羟基黄檀内酯  ,stevenin,/,284.26,C16H12O5,,香豆素,OC(C=C1C(C2=CC(O)=CC=C2)=CC(OC1=C3)=O)=C3OC,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-3-2-4-10(17)5-9/h2-8,17-18H,1H3",MYVNFPJTNYAPDH-UHFFFAOYSA-N,降香
JX-087,3?-羟基甜菜红素 ,3?-hydroxymelanettin,/,300.26,C16H12O6,,香豆素,OC(C=C1C(C(C=C2)=CC(O)=C2O)=CC(OC1=C3)=O)=C3OC,"InChI=1S/C16H12O6/c1-21-15-7-14-10(5-13(15)19)9(6-16(20)22-14)8-2-3-11(17)12(18)4-8/h2-7,17-19H,1H3",IGHVYQBBZBLNDW-UHFFFAOYSA-N,降香
JX-088,甜菜红素  ,melanettin,/,284.26,C16H12O5,,香豆素,,,,降香
JX-089,"3?-羟基-2,4,5-三甲氧基达丙基喹啉 "," 3?-hydroxy-2,4,5-trimethoxydalbergiquinol",/,300.3,C18H20O4 ,,其他,OC1=CC=CC([C@@H](C=C)C(C(OC)=C2)=CC(OC)=C2OC)=C1,"InChI=1S/C18H20O4/c1-5-14(12-7-6-8-13(19)9-12)15-10-17(21-3)18(22-4)11-16(15)20-2/h5-11,14,19H,1H2,2-4H3/t14-/m1/s1",JLUJZVADYBGFMC-CQSZACIVSA-N,降香
JX-090,阔叶黄檀酚  ,latifolin,10154-42-4,286.322,C17H18O4 ,,其他,OC1=CC=CC=C1[C@@H](C=C)C(C(OC)=C2)=CC(O)=C2OC,"InChI=1S/C17H18O4/c1-4-11(12-7-5-6-8-14(12)18)13-9-15(19)17(21-3)10-16(13)20-2/h4-11,18-19H,1H2,2-3H3/t11-/m1/s1",OJVQOGDGFIJYPN-LLVKDONJSA-N,降香
JX-091,R(+)-黄檀酚 ,R(+)-dalbergiphenol,/,300.35,C18H20O4 ,,其他,OC(C=CC=C1)=C1C(C(C(OC)=C2)=CC([CH3]=O)=C2OC)C=C,"InChI=1S/C18H20O4/c1-4-13(14-7-5-6-8-16(14)20)15-9-12(11-19)17(21-2)10-18(15)22-3/h4-10,13,20H,1H2,2-3,11H3",OBYVPMINEQNBMM-UHFFFAOYSA-N,降香
JX-092,5-O-甲基阔叶黄檀酚  ,5-O-methylatifolin,/,300.35,C18H20O4,,其他,OC1=CC=CC=C1[C@H](C(C(OC)=C2)=CC(OC)=C2OC)C=C,"InChI=1S/C18H20O4/c1-5-12(13-8-6-7-9-15(13)19)14-10-17(21-3)18(22-4)11-16(14)20-2/h5-12,19H,1H2,2-4H3/t12-/m1/s1",NKFNPUQSPATHPN-GFCCVEGCSA-N,降香
JX-093,R(–)-5-O-甲基阔叶黄檀酚 , R(–)-5-O-methylatifolin,/,286.33,C17H18O4 ,,其他,OC1=C(C=C(C(C(C2=C(C=CC=C2)O)C=C)=C1)OC)OC,"InChI=1S/C17H18O4/c1-4-11(12-7-5-6-8-14(12)18)13-9-15(19)17(21-3)10-16(13)20-2/h4-11,18-19H,1H2,2-3H3",OJVQOGDGFIJYPN-UHFFFAOYSA-N,降香
JX-094,"4,5-二甲氧基-2-羟基达丙基喹啉  "," 4,5-dimethoxy-2-hydroxydalbergiquinol",/,270.32,C17H18O3 ,,其他,OC(C([C@@H](C1=CC=CC=C1O)C=C)=C2)=CC(OC)=C2OC,"InChI=1S/C17H18O4/c1-4-11(12-7-5-6-8-14(12)18)13-9-16(20-2)17(21-3)10-15(13)19/h4-11,18-19H,1H2,2-3H3/t11-/m1/s1",AKHONHOVWQPNNA-LLVKDONJSA-N,降香
JX-095,"9-羟基-6,7-二甲氧基达丙基喹啉  ","9-hydroxy-6,7-dimethoxydalbergiquinol",/,270.32,C17H18O3 ,,其他,OC(C(C(C1=CC=CC=C1O)=O)=C2)=CC(OC)=C2O,"InChI=1S/C14H12O5/c1-19-13-7-11(16)9(6-12(13)17)14(18)8-4-2-3-5-10(8)15/h2-7,15-17H,1H3",XHNFQUHVRWGKJG-UHFFFAOYSA-N,降香
JX-096,R(–)-阔叶黄檀酚 ,R(–)-latifolin,/,286.32,C17H18O4 ,,其他,OC1=CC=CC=C1[C@@H](C=C)C(C(OC)=C2)=CC(O)=C2OC,OJVQOGDGFIJYPN-LLVKDONJSA-N,,降香
JX-097,美迪紫檀素 ,medicarpin,32383-76-9,270.28,C16H14O4 ,,其他,OC1=CC2=C(C=C1)[C@]3([H])OC4=C(C=CC(OC)=C4)[C@]3([H])CO2,"InChI=1S/C16H14O4/c1-18-10-3-5-11-13-8-19-14-6-9(17)2-4-12(14)16(13)20-15(11)7-10/h2-7,13,16-17H,8H2,1H3/t13-,16-/m0/s1",NSRJSISNDPOJOP-BBRMVZONSA-N,降香
JX-098,3-甲氧基-9-羟基紫檀烷 ,3-methoxy-9-hydroxypterocarpan,/,268.26,C16H14O4 ,,黄酮,OC1=CC2=C(C=C1)C3=C(C(C=CC(OC)=C4)=C4OC3)O2,"InChI=1S/C16H12O4/c1-18-10-3-5-12-14(7-10)19-8-13-11-4-2-9(17)6-15(11)20-16(12)13/h2-7,17H,8H2,1H3",SMMQSMVUPDCNJU-UHFFFAOYSA-N,降香
JX-099,"(6aR,11aR)3-羟基-9,10-二甲氧基紫檀烷  ","6aR,11aR-medicarpin",/,270.28,C16H12O4 ,,黄酮,OC1=CC2=C(C=C1)[C@]3([H])OC4=C(C=CC(OC)=C4)[C@]3([H])CO2,"InChI=1S/C16H14O4/c1-18-10-3-5-11-13-8-19-14-6-9(17)2-4-12(14)16(13)20-15(11)7-10/h2-7,13,16-17H,8H2,1H3/t13-,16-/m0/s1",NSRJSISNDPOJOP-BBRMVZONSA-N,降香
JX-100,"(6aS,11aS)-8-羟基-3,9-二甲氧基紫檀素 ","(6aS,11aS)-8-hydroxy-3,9-dimethoxypterocarpan",/,300.31,C17H16O5 ,,黄酮,,,,降香
JX-101,"(6aS,11aS)-3,8,9-三甲氧基紫檀素 ","(6aS,11aS)-3,8,9-trimethoxypterocarpan",/,314.34,C18H18O5 ,,黄酮,,,,降香
JX-102,"(6aS,11aS)-高紫檀素 ","(6aS,11aS)-homopterocarpin",/,284.31,C17H16O4 ,,黄酮,COC1=CC2=C(C=C1)[C@@](COC3=C4C=CC(OC)=C3)([H])[C@@]4([H])O2,"InChI=1S/C17H16O4/c1-18-10-4-6-13-15(7-10)20-9-14-12-5-3-11(19-2)8-16(12)21-17(13)14/h3-8,14,17H,9H2,1-2H3/t14-,17-/m0/s1",VPGIGLKLCFOWDN-YOEHRIQHSA-N,降香
JX-103,4-甲氧基美迪紫檀素 ,4-methoxy-medicarpin,/,302.33,C17H16O5 ,,黄酮,,,,降香
JX-104,,vesticarpan,/,286.28,C16H14O5 ,,黄酮,OC(C1=C(C=C2)C(COC3=C4C=CC(O)=C3)C4O1)=C2OC,"InChI=1S/C16H14O5/c1-19-12-5-4-9-11-7-20-13-6-8(17)2-3-10(13)15(11)21-16(9)14(12)18/h2-6,11,15,17-18H,7H2,1H3",JAAWOQQDCOFLRV-UHFFFAOYSA-N,降香
JX-105,"(6aR,11aR)-6a,9-二甲氧基-3-羟基紫檀烷 ","(6aR,11aR)-6a,9-dimethoxy-3-hydroxypterocarpan",/,300.09,C17H16O5 ,,黄酮,,,,降香
JX-106,降香卡朋 ,odoricarpan,101153-42-8,330.31,C18H18O6 ,,黄酮,OC1=C(C=CC(OC)=C1O)C2CC(C=CC(OC)=C3OC)=C3OC2,"InChI=1S/C18H20O6/c1-21-13-7-5-12(15(19)16(13)20)11-8-10-4-6-14(22-2)18(23-3)17(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3",CXPOETBDQGTQOZ-UHFFFAOYSA-N,降香
JX-107,"4,9-二甲氧基-3-羟基紫檀烷","4,9-dimethoxy-3-hydroxypterocarpan",/,300.31,C17H16O5 ,,黄酮,,,,降香
JX-108,"3,8-二羟基-9-甲氧基紫檀烷 ","3,8-dihydroxy-9-methoxypterocarpan",/,286.28,C16H14O5 ,,黄酮,OC(C=C1C(COC2=C3C=CC(O)=C2)C3OC1=C4)=C4OC,"InChI=1S/C16H14O5/c1-19-15-6-14-10(5-12(15)18)11-7-20-13-4-8(17)2-3-9(13)16(11)21-14/h2-6,11,16-18H,7H2,1H3",FPPWIEZFMZZUPL-UHFFFAOYSA-N,降香
JX-109,左旋白香草木犀紫檀酚A ,melilotocarpan A,61135-95-3,300.3,C17H16O5 ,,黄酮,OC(C1=C(C=C2)[C@]3([H])OC4=C(C=CC(OC)=C4)[C@]3([H])CO1)=C2OC,"InChI=1S/C17H16O5/c1-19-9-3-4-10-12-8-21-17-11(16(12)22-14(10)7-9)5-6-13(20-2)15(17)18/h3-7,12,16,18H,8H2,1-2H3/t12-,16-/m0/s1",YHSXPHNOIMTWTH-LRDDRELGSA-N,降香
JX-110,"(–)-3-羟基-9,10-二甲氧基紫檀烷",(–)-methylnissolin,/,300.3,C17H16O5 ,,黄酮,OC1=CC2=C(C=C1)C3OC4=C(C=CC(OC)=C4OC)C3CO2,"InChI=1S/C17H16O5/c1-19-13-6-5-10-12-8-21-14-7-9(18)3-4-11(14)15(12)22-16(10)17(13)20-2/h3-7,12,15,18H,8H2,1-2H3",UOVGCLXUTLXAEC-UHFFFAOYSA-N,降香
JX-111,左旋白香草木犀紫檀酚C ,melilotocarpan C,/,300.3,C17H16O6 ,,黄酮,OC(C1=C(C=C2)C3OC4=C(C=CC(OC)=C4OC)C3CO1)=C2OC,"InChI=1S/C18H18O6/c1-20-12-6-5-10-15-11(8-23-16(10)14(12)19)9-4-7-13(21-2)18(22-3)17(9)24-15/h4-7,11,15,19H,8H2,1-3H3",ITMVICNONDPRSU-UHFFFAOYSA-N,降香
JX-112,左旋白香草木犀紫檀酚D  ,melilotocarpan D,/,300.3,C17H16O6 ,,黄酮,OC(C1=C(C=C2)C(COC3=C4C=CC(OC)=C3O)C4O1)=C2OC,"InChI=1S/C17H16O6/c1-20-11-6-4-9-15-10(7-22-16(9)13(11)18)8-3-5-12(21-2)14(19)17(8)23-15/h3-6,10,15,18-19H,7H2,1-2H3",TYCXZCXHNKDQCZ-UHFFFAOYSA-N,降香
JX-113,"2-羟基-3,4-二甲氧基苯甲醛 ","2-hydroxy-3,4-dimethoxybenzaldehyde",19283-70-6,182.17,C10H12O5 ,,其他,OC1=C(C=O)C=CC(OC)=C1OC,"InChI=1S/C9H10O4/c1-12-7-4-3-6(5-10)8(11)9(7)13-2/h3-5,11H,1-2H3",UIOMNPYQUBMBOJ-UHFFFAOYSA-N,降香
JX-114,决明烯 ,obtustyrene,21148-31-2,240.3,C16H16O2 ,,苯丙素,OC1=C(C=CC(O)=C1)C/C=C/C2=CC=CC=C2,"InChI=1S/C15H14O2/c16-14-10-9-13(15(17)11-14)8-4-7-12-5-2-1-3-6-12/h1-7,9-11,16-17H,8H2/b7-4+",AABUYRZFPZHURP-QPJJXVBHSA-N,降香
JX-115,,isomucronustyrene,/,270.32,C17H18O3 ,,苯丙素,,,,降香
JX-116,羟基决明烯 ,hydroxyobtustyrene,101153-43-9,256.296,C16H16O3 ,,苯丙素,,,,降香
JX-117,降香黄烃 ,odoriflavene,101153-41-7,300.306,C17H16O5 ,,黄酮,OC1=C(C=CC(OC)=C1OC)C2=CC(C([H])=C([H])C(O[H])=C3[H])=C3OC2,"InChI=1S/C17H16O5/c1-20-14-6-5-13(16(19)17(14)21-2)11-7-10-3-4-12(18)8-15(10)22-9-11/h3-8,18-19H,9H2,1-2H3",SZZKTMJLZNFNGL-UHFFFAOYSA-N,降香
JX-118,"2,5-二羟基-4-甲氧基二苯甲酮 ",cearoin,52811-37-7,244.243,C14H12O4 ,,其他,,,,降香
JX-119,"2,2?,5-三羟基-4-甲氧基二苯甲酮 ","2,2?,5-trihydroxy-4-methoxybenzophenone",202463-52-3,260.242,C14H12O5,,其他,,,,降香
JX-120,"2,4-二羟基-5-甲氧基苯甲酮 ","2,4-dihydroxy-5-methoxybenzophenone",/,244.246,C14H12O4 ,,其他,,,,降香
JX-121,"2-(2,4-二羟基苯基)-1-(4-羟基-2-甲氧苯基)乙酮","2-(2,4-dihydroxyphenyl)-1-(4-hydroxy-2- methoxyphenyl)ethanone",/,274.27,C15H14O5 ,,其他,,,,降香
JX-122,(S)-4-甲氧基黄檀醌,(S)-4-methoxydalbergione,2543-95-5,254.28,C16H14O3 ,,苯丙素,O=C(C=C1OC)C([C@](C=C)([H])C2=CC=CC=C2)=CC1=O,"InChI=1S/C16H14O3/c1-3-12(11-7-5-4-6-8-11)13-9-15(18)16(19-2)10-14(13)17/h3-10,12H,1H2,2H3/t12-/m0/s1",RGSUZUQISVAJJF-LBPRGKRZSA-N,降香
JX-123,R(+)-4-甲氧基胍基,R(+)-4-methoxydalbergione,/,254.28,C16H14O4 ,,苯丙素,O=C(C=C1OC)C([C@@](C=C)([H])C2=CC=CC=C2)=CC1=O,"InChI=1S/C16H14O3/c1-3-12(11-7-5-4-6-8-11)13-9-15(18)16(19-2)10-14(13)17/h3-10,12H,1H2,2H3/t12-/m1/s1",RGSUZUQISVAJJF-GFCCVEGCSA-N,降香
JX-124,4?-羟基-4-甲氧基黄檀醌 ,4?-hydroxy-4-methoxydalbergione,3755-63-3,270.28,C16H14O4 ,,苯丙素,O=C(C=C1OC)C([C@](C=C)([H])C(C=C2)=CC=C2O)=CC1=O,"InChI=1S/C16H14O4/c1-3-12(10-4-6-11(17)7-5-10)13-8-15(19)16(20-2)9-14(13)18/h3-9,12,17H,1H2,2H3/t12-/m0/s1",DLCVFIMWFKVRTM-LBPRGKRZSA-N,降香
JX-125,硫脲 ,sulfuretin,120-05-8,270.24,C15H10O5 ,,苯丙素,O=C1C(C=CC(O)=C2)=C2O/C1=C\C(C=C3)=CC(O)=C3O,"InChI=1S/C15H10O5/c16-9-2-3-10-13(7-9)20-14(15(10)19)6-8-1-4-11(17)12(18)5-8/h1-7,16-18H/b14-6-",RGNXWPVNPFAADO-NSIKDUERSA-N,降香
JX-126,,isoparvifuran,78134-83-5,254.28,C16H14O3 ,,苯丙素,OC(C=C1C(C2=CC=CC=C2)=C(C)OC1=C3)=C3OC,"InChI=1S/C16H14O3/c1-10-16(11-6-4-3-5-7-11)12-8-13(17)15(18-2)9-14(12)19-10/h3-9,17H,1-2H3",DGWJMRXLDPVLRI-UHFFFAOYSA-N,降香
JX-127,,"(2R,3R)-obtusafuran",/,256.3,C16H16O3 ,,苯丙素,,,,降香
JX-128,苦杏仁苷Ⅳ ,bolusanthin Ⅳ,/,256.25,C15H12O4 ,,其他,OC1=C(C=CC(OC)=C1)C2=CC(C=CC(O)=C3)=C3O2,"InChI=1S/C15H12O4/c1-18-11-4-5-12(13(17)8-11)15-6-9-2-3-10(16)7-14(9)19-15/h2-8,16-17H,1H3",XDBDADAPEFSDHG-UHFFFAOYSA-N,降香
JX-129,"6-甲氧基-5,2?,4?-三羟基-3-苯甲酰苯并呋喃","6-methoxy-5,2?,4?-trihydroxy-3-benzoylbenzofuran",/,300.27,C16H12O6 ,,其他,,,,降香
JX-130,,"2-[4,5-dimethoxy-5-(3-m-hydroxyphenyl-trans-allyl)cyclohexa-3,6-dien-2-on-1-ylmethyl]-5- hydroxy-6-methoxy-3-phenylbenzofuran",/,538.6,C33H30O7,,苯丙素,,,,降香
JX-131,反式-橙花叔醇 ,nerolidol,7212-44-4,222.366,C15H26O ,,其他,OC(C)(C=C)CC/C=C(C)/CC/C=C(C)/C,"InChI=1S/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+",FQTLCLSUCSAZDY-SDNWHVSQSA-N,降香
JX-132,6-甲基-2-(5-甲基-5-乙烯基四氢呋喃-2-基)庚-5-烯-2-醇,6-methyl-2-(5-methyl-5- vinyltetrahydrofuran-2-yl) hept-5-en-2-ol,/,238.37,C15H26O2 ,,其他,,,,降香
JX-133,"rel-(3S,6R,7S)-3,7,11-三甲基-3,6-环氧-1,10-十二碳-7-醇 ","rel-(3S,6R,7S)-3,7,11-trimethyl-3,6- epoxy-1,10-dodecadien-7-ol",/,238.37,C15H26O2 ,,其他,,,,降香
JX-134,"rel-(3R,6R,7S)-3,7,11-三甲基-3,7-环氧-1,10-十二碳-6-醇","rel-(3R,6R,7S)-3,7,11-trimethyl-3,7- epoxy-1,10-dodecadien-6-ol",/,238.37,C15H26O2 ,,其他,O[C@@]1([H])[C@@](CC/C=C(C)/C)(C)O[C@@](C)(C=C)CC1,"InChI=1S/C15H26O2/c1-6-14(4)11-9-13(16)15(5,17-14)10-7-8-12(2)3/h6,8,13,16H,1,7,9-11H2,2-5H3/t13-,14+,15+/m1/s1",QHQOBRMEKGKJNF-ILXRZTDVSA-N,降香
JX-135,"rel-(3S,6R,7S)-3,7,11-三甲基-3,6-环氧-1-十二烷烯-7,11-二醇 ","rel-(3S,6R,7S)-3,7,11- trimethyl-3,6-epoxy-1-dodecen-7,11-diol",/,256.38,C15H28O3 ,,其他,,,,降香
JX-136,"rel-(3S,6R,7S,10S)-2,6,10-三甲基-3,6;7,10-二环氧-2-十二烷烯-11-醇 ","rel-(3S,6R,7S,10S)-2,6, 10-trimethyl-3,6;7,10diepoxy-2-dodecen-11-ol",/,254.37,C15H26O3 ,,其他,,,,降香
JX-137,"(3S,5E)-3,11-二甲基-7-亚甲十二烷-1,5,10-三烯-3-醇","(3S,5E)-3,11-dimethyl-7- methylenedodaca-1,5,10-trien-3-ol",/,220.35,C15H24O ,,其他,,,,降香
JX-138,"rel-(3S,6S,7R)-3,7,11-三甲基-3,6-环氧-1,10-十二碳-7-醇","rel-(3S,6S,7R)-3,7,11-trimethyl-3,6- epoxy-1,10-dodecadien-7-ol",/,238.37,C15H26O3 ,,其他,,,,降香
JX-139,"rel-(3S,6R,7S,10R)-2,6,10-三甲基-3,6;7,10-二环氧-11-十二烷烯-2-醇 ","rel-(3S,6R,7S,10R)-2,6, 10-trimethyl-3,6;7,10-diepoxy-11-dodecen-2-ol",/,254.37,C15H26O3 ,,其他,,,,降香
JX-140,6α-羟基环丙二醇 ,6α-hydroxycyclonerolidiol,/,238.37,C15H26O2 ,,其他,,,,降香
JX-141,,neroplofurol,/,272.38,C15H28O4 ,,其他,O[C@H](CC[C@@](C)(C=C)O)[C@@]1(C)O[C@](C(C)(C)O)([H])CC1,"InChI=1S/C15H28O4/c1-6-14(4,18)9-7-11(16)15(5)10-8-12(19-15)13(2,3)17/h6,11-12,16-18H,1,7-10H2,2-5H3/t11-,12-,14-,15+/m1/s1",HSXGLWCOJRXCCK-GBOPCIDUSA-N,降香
JX-142,"3,7,11-三甲基十二烷-1,10-二烯-3,6,7-三醇  ","3,7,11-trimethyldodeca-1,10-diene-3,6,7-triol",/,256.38,C15H28O3 ,,其他,OC(CC/C=C(C)/C)(C)C(CCC(C)(C=C)O)O,"InChI=1S/C15H28O3/c1-6-14(4,17)11-9-13(16)15(5,18)10-7-8-12(2)3/h6,8,13,16-18H,1,7,9-11H2,2-5H3",HTWZIXCKZRQFEZ-UHFFFAOYSA-N,降香
JX-143,,negunfurol,/,254.36,C15H26O3 ,,其他,OC(C)(C)[C@]1([H])O[C@@](C)(/C=C/C[C@@](C)(C=C)O)CC1,"InChI=1S/C15H26O3/c1-6-14(4,17)9-7-10-15(5)11-8-12(18-15)13(2,3)16/h6-7,10,12,16-17H,1,8-9,11H2,2-5H3/b10-7+/t12-,14-,15+/m1/s1",BAEXUXXJQFAXLI-DTSCTTNPSA-N,降香
JX-144,,crocinervolide,/,210.27,C12H18O3 ,,其他,,,,降香
JX-145,,dalodorin A,/,283.37,C15H26O2 ,,其他,,,,降香
JX-146,,dalodorin B,/,252.4,C16H28O2 ,,其他,,,,降香
JX-147,"(E)-7-羟基-6,10-二甲基十一烷-5,9-二烯-2-酮","(E)-7-hydroxy-6,10-dimethylundeca-5,9-dien- 2-one",/,210.32,C13H22O2 ,,其他,,,,降香
JX-148,,"rel-(2R,2?R,5?S)-2,5?-dimethyl-5?-vinylhexahydro-2,2?-bifuran-5(2H)-one",/,210.27,C12H18O3 ,,其他,,,,降香
JX-149,"rel-(3S,6R,7S,9E)-3,7,11-三甲基-3,6-环氧-1,9,11-十二碳三烯-7-醇","rel-(3S,6R,7S,9E)-3,7,11- trimethyl-3,6-epoxy-1,9,11-dodecatrien-7-ol",/,236.355,C15H24O2 ,,其他,,,,降香
JX-150,"2-[(S)-2,2-二甲基-1,3-二氧戊环-4-基]-6,10-二甲基十一碳-5,9-二烯-2-醇","rel-(S,E)-2-[(S)-2, 2-dimethyl-1,3-dioxolan-4-yl]6,10-dimethylundeca-5,9-dien-2-ol",/,296.45,C18H32O3 ,,其他,,,,降香
JX-151,β-谷甾醇 ,β-sitosterol,5779-62-4,414.72,C29H50O ,,甾体,,,,降香
JX-152,异半皮桉苷 ,isohemiphloin,3682/2/8,434.4,C21H22O10 ,,糖苷,O[C@@]([C@@]1([H])O)([H])[C@@](C(C(O)=C2)=C(C3=C2O)O[C@@](C(C=C4)=CC=C4O)([H])CC3=O)([H])O[C@@](CO)([H])[C@@]1([H])O,"InChI=1S/C21H22O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-5,13-14,17-19,21-25,27-29H,6-7H2/t13-,14+,17+,18-,19+,21-/m0/s1",VPQWOQSQAVBHEV-VHLXACGYSA-N,降香
JX-153,香果聚糖 ,meliotocarpan,83013-81-4,300.31,C17H16O5,,黄酮,,,,降香
JX-154,己酸 ,hexanoic acid,142-62-1,116.158,C6H12O2 ,,脂肪酸,OC(CCCCC)=O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N,降香
JX-155,2-丙烯酯 ,2-propenyl ester,4230-97-1,86.09,C4H6O2 ,,其他,,,,降香
JX-156,十六烷酸 ,hexadecanoic acid,66321-94-6,256.42,C16H32O2 ,,脂肪酸,OC(CCCCCCCCCCCCCCC)=O.C.C.C.C.C,"InChI=1S/C16H32O2.5CH4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18;;;;;/h2-15H2,1H3,(H,17,18);5*1H4",CMWGUUDFKQFKFW-UHFFFAOYSA-N,降香
JX-157,甲酸乙酯 ,ethyl ester,109-94-4,74.078,C3H6O2 ,,其他,O=COCC,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",WBJINCZRORDGAQ-UHFFFAOYSA-N,降香
