编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
JLX-043,α-姜烯,"(R)-5-[(S)-1,5-Dimethyl-4-hexenyl]-2-methyl-1,3-cyclohexadiene","	495-60-3",204.19,C15H24,,挥发油类,CC1=CC[C@H]([C@@H](C)CC/C=C(C)\C)C=C1,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-10,14-15H,5,7,11H2,1-4H3/t14-,15+/m0/s1",KKOXKGNSUHTUBV-LSDHHAIUSA-N,九里香
JLX-044,β-石竹烯,"2-Methylene-6,10,10-trimethyl bicyclo[7.2.0]undec-5-ene","	87-44-5","	204.35","	C15H24",,挥发油类,CC1(C)C2CC/C(C)=C\CCC(C2C1)=C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6-",NPNUFJAVOOONJE-WDZFZDKYSA-N,九里香
JLX-045,"(E,E)-金合欢醇","	(E,E)-Farnesol",106-28-5,"	222.37",C15H26O,,挥发油类,C/C(CC/C=C(CC/C=C(C)\C)\C)=C\CO,"InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CRDAMVZIKSXKFV-YFVJMOTDSA-N,九里香
JLX-046,大根香叶烯 B ,"(1E,5E)-1,5-Dimethyl-8-isopropylidene-1,5-cyclodecadiene",15423-57-1,204.35,C15H24,,挥发油类,C/C(C)=C1C/C=C(C)/CC/C=C(C)/CC\1,"InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h6,9H,5,7-8,10-11H2,1-4H3/b13-6+,14-9+",GXEGJTGWYVZSNR-SJRHNVSNSA-N,九里香
JLX-047,β-蒎烯,Beta-pinene,18172-67-3,136.234,C10H16,,挥发油类,C=C1C2CC(C(C)2C)CC1,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",WTARULDDTDQWMU-UHFFFAOYSA-N,九里香
JLX-048,柠檬油精,"Terpenes and Terpenoids, turpentine-oil, limonene fraction",65996-99-8,136.23,C10H16,,挥发油类,CC1=CCC(C(C)=C)CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",XMGQYMWWDOXHJM-UHFFFAOYSA-N,九里香
JLX-049,异松油烯,Terpinolene,586-62-9,136.23, C10H16,,挥发油类,C/C(C)=C1CC=C(C)CC/1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N,九里香
JLX-050,柠檬醛, Citral, 5392-40-5,152.23,C10H16O,,挥发油类,O=C/C=C(CC/C=C(C)\C)\C,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",WTEVQBCEXWBHNA-JXMROGBWSA-N,九里香
JLX-051,香茅醇,(-)-beta-citronellol,7540-51-4,156.27,C10H20O,,挥发油类,CC(CC/C=C(C)\C)CCO,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",QMVPMAAFGQKVCJ-UHFFFAOYSA-N,九里香
JLX-052,乙酸苄酯,Benzyl acetate,140-11-4,150.17,C9H10O2,,挥发油类,CC(OCC1=CC=CC=C1)=O,"InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",QUKGYYKBILRGFE-UHFFFAOYSA-N,九里香
JLX-053,苯乙醇,Phenethyl alcohol,1960/12/8,122.16,C8H10O,,挥发油类,OCCC1=CC=CC=C1,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,九里香
JLX-054,香叶醇,Geraniol,106-24-1,154.25,C10H18O,,挥发油类,C/C(CC/C=C(C)\C)=C\CO,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",GLZPCOQZEFWAFX-JXMROGBWSA-N,九里香
JLX-055,β-葎草烯,"1,4,4-Trimethyl-8-methylene-1,5-cycloundecadiene","	116-04-1",204.35,C15H24,,挥发油类,C=C1C/C=C\C(C)(C)C/C=C(C)\CCC1,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6,10-11H,1,5,7-9,12H2,2-4H3/b11-6-,14-10-",HAVYZKHVTLAPDZ-PRUKLFJYSA-N,九里香
