编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,,smiles,inchi,inchikey,药材名称
GJY-027,"7,4'-二羟基-8-甲基黄烷","7, 4'-dihydroxy -8-C-glucoxylisoflavone",82925-55-1,256.296,C16H16O3,C16H16O3,黄酮,,CC1=C(O)C=CC2=C1OC(C3=CC=C(O)C=C3)CC2,"InChI=1S/C16H16O3/c1-10-14(18)8-4-12-5-9-15(19-16(10)12)11-2-6-13(17)7-3-11/h2-4,6-8,15,17-18H,5,9H2,1H3",GDHZZZRERDPSTA-UHFFFAOYSA-N,鬼箭羽
GJY-028,去氢双松柏醇,(-)-dehydrodiconiferyl alcohol,4263-87-0,358.39,C20H22O6,C20H22O6,酚酸,,OCC1C(C2=CC=C(O)C(OC)=C2)OC3=C(OC)C=C(/C=C/CO)C=C31,"InChI=1S/C20H22O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h3-6,8-10,15,19,21-23H,7,11H2,1-2H3/b4-3+",KUSXBOZNRPQEON-ONEGZZNKSA-N,鬼箭羽
GJY-029,丁香树脂酚,(+)-syringaresinol,6216-81-5,418.437,C22H26O8,C22H26O8,苯丙素,,COC1=CC(OC)=CC([C@@H]2OC[C@]3([H])[C@@]2([H])CO[C@H]3C4=CC(OC)=C(O)C(OC)=C4)=C1.[OH],"InChI=1S/C22H26O7.HO/c1-24-14-5-12(6-15(9-14)25-2)21-16-10-29-22(17(16)11-28-21)13-7-18(26-3)20(23)19(8-13)27-4;/h5-9,16-17,21-23H,10-11H2,1-4H3;1H/t16-,17-,21+,22+;/m1./s1",NGUVBXGVDVPSOO-XRALLXBPSA-N,鬼箭羽
GJY-030,hedyotol D,,97465-80-0,584.611,C31H36O11,C31H36O11,苯丙素,,,,,鬼箭羽
GJY-031,表丁香脂素,episyringaresinol,51152-20-6,418.44,C22H26O8,C22H26O8,苯丙素,,,,,鬼箭羽
GJY-032,刺五加酮,ciwujiatone,218901-26-9,434.436,C22H26O9,C28H36O14,糖苷,,COC1=CC(C2C(CO)CC(C(C3=CC([OH2]C)=C(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)C(OC)=C3)=O)O2)=CC(OC)=C1O.[O],"InChI=1S/C28H38O14.O/c1-36-15-7-13(8-16(37-2)22(15)32)26-14(10-29)9-17(40-26)21(31)12-5-18(38-3)27(19(6-12)39-4)42-28-25(35)24(34)23(33)20(11-30)41-28;/h5-8,14,17,20,23-26,28-30,32-35H,9-11,38H2,1-4H3;/t14?,17?,20-,23-,24+,25-,26?,28+;/m1./s1",CIMVVMFHCPJXJO-VEENZHMSSA-N,鬼箭羽
GJY-033,落叶松树脂,lariciresinol,83327-19-9,360.4,C20H24O6,C20H24O6,苯丙素,,,,,鬼箭羽
GJY-034,松脂素,pinoresinol,487-36-5,358.385,C20H22O6,C20H22O6,苯丙素,,,,,鬼箭羽
GJY-035,5'-甲氧基松脂素,medioresinol,74465-40-0,388.411,C21H24O7,C21H24O7,苯丙素,,,,,鬼箭羽
GJY-036,蛇菰宁,balanophonin,80286-36-8,356.369,C20H20O6,C20H20O6,苯丙素,,O=C/C=C/C1=CC(OC)=C(O[C@H](C2=CC=C(O)C(OC)=C2)[C@H]3CO)C3=C1,"InChI=1S/C20H20O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h3-10,15,19,22-23H,11H2,1-2H3/b4-3+/t15-,19+/m0/s1",GWCSSLSMGCFIFR-LNFBDUAVSA-N,鬼箭羽
GJY-037,异落叶松脂素,isolariciresinol,548-29-8,360.4,C20H24O6,C20H24O6,苯丙素,,OC1=CC([C@H](C2=CC(OC)=C(O)C=C2)[C@@H](CO)[C@H](CO)C3)=C3C=C1OC,"InChI=1S/C20H24O6/c1-25-18-6-11(3-4-16(18)23)20-14-8-17(24)19(26-2)7-12(14)5-13(9-21)15(20)10-22/h3-4,6-8,13,15,20-24H,5,9-10H2,1-2H3/t13-,15-,20-/m0/s1",OGFXBIXJCWAUCH-KPHUOKFYSA-N,鬼箭羽
GJY-038,蒲公英赛醇,taraxerol,127-22-0,426.717,C30H50O,C30H52O,三萜,,,,,鬼箭羽
GJY-039,蒲公英赛酮,taraxerone,514-07-8,424.702,C30H48O,C30H50O,三萜,,,,,鬼箭羽
GJY-040,熊果酸,ursolic acid,77-52-1,456.71,C30H48O3,C30H48O3,三萜,,,,,鬼箭羽
GJY-041,3-表科罗索酸,2α-hydroxyursolic acid,52213-27-1,472.7,C30H48O4,C30H48O4,三萜,,,,,鬼箭羽
GJY-042,羽扇豆醇,lupeol,545-47-1,426.717,C30H50O,C30H50O,三萜,,,,,鬼箭羽
GJY-043,betulone,3-Oxobetulin,7020-34-0,440.701,C30H48O2,C30H50O2,三萜,,,,,鬼箭羽
GJY-044,桦木酸甲酯,betulinic acid methyl ester,131279,470.73,C31H50O3,C31H50O3,三萜,,CCCC[C@]1([C@@]2(CC[C@]3(C(C)([C@H](CC[C@@]3([C@]2(CCC1[H])[H])C)O)C)[H])C)C.C.[H].C.C.C.C.C.C.[O].[O].C,"InChI=1S/C23H42O.8CH4.2O.H/c1-7-8-13-21(4)14-9-10-18-22(5)15-12-19(24)20(2,3)17(22)11-16-23(18,21)6;;;;;;;;;;;/h17-19,24H,7-16H2,1-6H3;8*1H4;;;/t17-,18+,19-,21+,22-,23+;;;;;;;;;;;/m0.........../s1",QSBKVDOECQQCLE-RHGJDVDISA-N,鬼箭羽
GJY-045,白桦脂酸,betulinic acid,472-15-1,456.71,C30H48O3,C30H48O3,三萜,,,,,鬼箭羽
GJY-046,30-hydroxy-3-friedelanone,,,158.09,C8H14O3,C8H14O3,其他,,CCCCCC(C(CO)=O)=O,"InChI=1S/C8H14O3/c1-2-3-4-5-7(10)8(11)6-9/h9H,2-6H2,1H3",LZPDHZBCGUXCOX-UHFFFAOYSA-N,鬼箭羽
GJY-047,triptotriterpenic acid B,,128301-32-6,472.7,C30H48O4,C30H48O4,三萜,,,,,鬼箭羽
GJY-048,wilforlide B,,84104-70-1,452.669,C30H44O3,C30H44O3,三萜,,,,,鬼箭羽
GJY-049,雷公藤内酯A,wilforlide A,84104-71-2,454.6844,C30H46O3,C30H46O3,三萜,,,,,鬼箭羽
GJY-050,表木栓醇,epifriedelanol,16844-71-6,428.733,C30H52O,C30H52O,三萜,,,,,鬼箭羽
GJY-051,arborinone,5α-Arbor-9(11)-en-3-one,25465-81-0,424.702,C30H48O,C30H48O,三萜,,C[C@@]12[C@](CC[C@]3([H])C2=CC[C@@]4(C)[C@@]3(C)CC[C@]5(C)[C@]4([H])CC[C@H]5C(C)C)([H])C(C)(C)C(CC1)=O,"InChI=1S/C30H48O/c1-19(2)20-9-12-24-28(20,6)17-18-29(7)22-10-11-23-26(3,4)25(31)14-15-27(23,5)21(22)13-16-30(24,29)8/h13,19-20,22-24H,9-12,14-18H2,1-8H3/t20-,22+,23-,24-,27+,28-,29-,30+/m0/s1",AVHGSHJBWASVAK-TUGTUXFRSA-N,鬼箭羽
GJY-052,messagenin,,18211-63-7,444.69,C29H48O3,C29H48O3,甾体,,,,,鬼箭羽
GJY-053,日耳曼醇,germanicol,465-02-1,426.717,C30H50O,C30H50O,三萜,,CC1(CC[C@@]2(CC[C@@]3([C@@H](C2=C1)CC[C@@H]4[C@]5(CC[C@@H](C(C)([C@@H]5CC[C@@]34C)C)O)C)C)C)C,"InChI=1S/C30H50O/c1-25(2)15-16-27(5)17-18-29(7)20(21(27)19-25)9-10-23-28(6)13-12-24(31)26(3,4)22(28)11-14-30(23,29)8/h19-20,22-24,31H,9-18H2,1-8H3/t20-,22+,23-,24+,27-,28+,29-,30-/m1/s1",QMUXVPRGNJLGRT-PNTWTTAKSA-N,鬼箭羽
GJY-054,角鲨烯,squalene,111-02-4,410.718,C30H5O,C30H50,其他,,C/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C=C(CC/C=C(C)/CC/C=C(C)\C)\C,"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+",YYGNTYWPHWGJRM-AAJYLUCBSA-N,鬼箭羽
GJY-055,"2,3-二羟基-12-齐墩果烯-28-酸",maslinic acid,26563-68-8,472.7,C30H48O4,C30H48O4,三萜,,,,,鬼箭羽
