编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称,,,
POOR-023,木犀草素-7-O-β-D-葡萄糖苷,Luteolin -7-O-β-D-glucopyranoside,5373/11/5,448.3800 ,C21H20O11,,黄酮,O=C1C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C2OC(C4=CC=C(O)C(O)=C4)=C1,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1",PEFNSGRTCBGNAN-QNDFHXLGSA-N,水红花子,,,
POOR-024,β-谷甾醇 ,β-sitosterol,83-46-5,414.7180 ,C29H50O,,甾体,O[C@H](C1)CC[C@@]2(C)C1=CC[C@@]3([H])[C@@](CC[C@@H]4[C@@H](CC[C@@H](CC)C(C)C)C)([H])[C@]4(C)CC[C@@]32[H],"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,水红花子,,,
POOR-025,β-胡萝卜苷,Daucosterol,474-58-8,576.8590 ,C35H60O6,,甾体,C[C@H](CC[C@@H](CC)C(C)C)[C@@H]1[C@@]2(C)CC[C@@]([C@](CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C4)(C)C4=CC5)([H])[C@]5([H])[C@]2([H])CC1,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,水红花子,,,
POOR-026,原茶儿酸,Protocatechuic acid,99-50-3,154.1210 ,C7H6O4,,酚酸,OC1=C(O)C=C(C(O)=O)C=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,水红花子,,,
POOR-027,没食子酸,Gallic acid,149-91-7,170.1200 ,C7H6O5,,酚酸,OC1=CC(C(O)=O)=CC(O)=C1O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,水红花子,,,
POOR-028,异香兰酸,Isovanillic acid,645-08-9,168.1480 , C8H8O4,,酚酸,OC1=C(OC)C=CC(C(O)=O)=C1,"InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11)",LBKFGYZQBSGRHY-UHFFFAOYSA-N,水红花子,,,
POOR-029,异香草醛,Isovanillin,621-59-0,152.1490 ,C8H8O3,,酚酸,OC1=C(OC)C=CC(C=O)=C1,"InChI=1S/C8H8O3/c1-11-8-3-2-6(5-9)4-7(8)10/h2-5,10H,1H3",JVTZFYYHCGSXJV-UHFFFAOYSA-N,水红花子,,,
POOR-030,香草酸,Vanillic acid,121-34-6,168.1480 , C8H8O4,,酚酸,OC1=C(OC)C=C(C(O)=O)C=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,水红花子,,,
POOR-031,对羟基苯乙醇,Tyrosol,501-94-0,138.1660 ,C8H10O2,,酚酸,OC1=CC=C(CCO)C=C1,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2",YCCILVSKPBXVIP-UHFFFAOYSA-N,水红花子,,,
POOR-032,3，3'-二甲氧基鞣花酸,"3,3'-di-O-methyl ellagic acid",2239-88-5,330.2480 ,C16H10O8,,酚酸,OC1=C(OC)C(OC2=O)=C(C3=C(O4)C(OC)=C(O)C=C32)C(C4=O)=C1,"InChI=1S/C16H10O8/c1-21-11-7(17)3-5-9-10-6(15(19)23-13(9)11)4-8(18)12(22-2)14(10)24-16(5)20/h3-4,17-18H,1-2H3",KLAGYIBJNXLDTL-UHFFFAOYSA-N,水红花子,,,
POOR-033,"3,3'-二甲基鞣花酸-4-O-β-D-葡萄糖苷",3，3'-di-O-methyl ellagic acid-4-O-β-D-glucopyranoside,51803-68-0,498.4370 ,C22H26O13,,酚酸,O=C1C(C=C(O)C(OC)=C2OC3=O)=C2C(C3CC4O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(C4OC)O1,"InChI=1S/C22H26O13/c1-30-16-8(24)3-6-11-12-7(21(29)34-18(11)16)4-9(17(31-2)19(12)35-20(6)28)32-22-15(27)14(26)13(25)10(5-23)33-22/h3,7,9-10,12-15,17,19,22-27H,4-5H2,1-2H3/t7?,9?,10-,12?,13-,14+,15-,17?,19?,22-/m1/s1",OKLDKSGCSCXDKW-GNFDZZDHSA-N,水红花子,,,
POOR-034,阿魏酸-对羟基苯乙醇酯,p-Hydroxyphenethyl trans-ferulate,84873-15-4,314.3370 ,C18H18O5,,酚酸,OC1=C(OC)C=C(/C=C/C(OCCC2=CC=C(O)C=C2)=O)C=C1,"InChI=1S/C18H18O5/c1-22-17-12-14(4-8-16(17)20)5-9-18(21)23-11-10-13-2-6-15(19)7-3-13/h2-9,12,19-20H,10-11H2,1H3/b9-5+",JMSFLLZUCIXALN-WEVVVXLNSA-N,水红花子,,,
POOR-035,对香豆酸-对羟基苯乙醇酯,p-Hydroxyphenylethyl p-coumarate,149030-02-4,284.3110 ,C17H16O4,,酚酸,OC1=CC=C(/C=C/C(OCCC2=CC=C(O)C=C2)=O)C=C1,"InChI=1S/C17H16O4/c18-15-6-1-13(2-7-15)5-10-17(20)21-12-11-14-3-8-16(19)9-4-14/h1-10,18-19H,11-12H2/b10-5+",ZCFLGZLKECDZFW-BJMVGYQFSA-N,水红花子,,,
POOR-036,红蓼脂素,Orientalin,1313196-78-9,532.5450 ,C30H28O9,,酚酸,OC1=C(OC)C=C(C(C(CO)C2=C3)OC2=C(OC)C=C3/C=C([C@@]4([H])CC5=CC=C(OCO6)C6=C5)/C(OC4)=O)C=C1,"InChI=1S/C30H28O9/c1-34-25-12-18(4-5-23(25)32)28-22(13-31)21-9-17(11-27(35-2)29(21)39-28)8-20-19(14-36-30(20)33)7-16-3-6-24-26(10-16)38-15-37-24/h3-6,8-12,19,22,28,31-32H,7,13-15H2,1-2H3/b20-8+/t19-,22?,28?/m0/s1",RPZTYBKLOSSJQT-AZTLHUCGSA-N,水红花子,,,
POOR-037,N-对反式阿魏酰胺,N-trans-feruloyltyramine,66648-43-9,313.3530 ,C18H19NO4,,酚酸,OC1=CC=C(/C=C/C(NCCC2=CC=C(O)C=C2)=O)C=C1OC,"InChI=1S/C18H19NO4/c1-23-17-12-14(4-8-16(17)21)5-9-18(22)19-11-10-13-2-6-15(20)7-3-13/h2-9,12,20-21H,10-11H2,1H3,(H,19,22)/b9-5+",NPNNKDMSXVRADT-WEVVVXLNSA-N,水红花子,,,
POOR-038,N-对反式香豆酰胺,N-p-trans-Coumaroyltyramine,36417-86-4,283.3270 ,C17H17NO3,,酚酸,OC1=CC=C(/C=C/C(NCCC2=CC=C(O)C=C2)=O)C=C1,"InChI=1S/C17H17NO3/c19-15-6-1-13(2-7-15)5-10-17(21)18-12-11-14-3-8-16(20)9-4-14/h1-10,19-20H,11-12H2,(H,18,21)/b10-5+",RXGUTQNKCXHALN-BJMVGYQFSA-N,水红花子,,,
