编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
HZ-053,(－)-表儿茶素没食子酸酯,(-)-Epicatechin gallate,1257-08-5,442.37,C22H18O10,,酚酸类,O=C(C1=CC(O)=C(C(O)=C1)O)O[C@H]2[C@@H](C3=CC(O)=C(C=C3)O)OC4=CC(O)=CC(O)=C4C2,"InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21-/m1/s1",LSHVYAFMTMFKBA-TZIWHRDSSA-N,虎杖
HZ-054,染料木素,Genistein,446-72-0,270.24,C15H10O5,,黄酮类,OC1=CC=C(C2=COC3=CC(O)=CC(O)=C3C2=O)C=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",TZBJGXHYKVUXJN-UHFFFAOYSA-N,虎杖
HZ-055,(－)-表儿茶素-3-O-克拉维酸,"Benzeneacetic acid, 2-acetyl-3,5-dihydroxy-, (2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl ester (ACI)",1646632-62-3,482.44,C25H22O10,,酚酸类,CC(C(C(O)=CC(O)=C1)=C1CC(O[C@H]2[C@@H](C3=CC(O)=C(C=C3)O)OC4=CC(O)=CC(O)=C4C2)=O)=O,"InChI=1S/C25H22O10/c1-11(26)24-13(4-14(27)8-20(24)32)6-23(33)34-22-10-16-18(30)7-15(28)9-21(16)35-25(22)12-2-3-17(29)19(31)5-12/h2-5,7-9,22,25,27-32H,6,10H2,1H3/t22-,25-/m1/s1",BCEQGTQBSCDFLY-RCZVLFRGSA-N,虎杖
HZ-056,槲皮素-3-O-β-D-木糖苷,Reynoutrin,549-32-6,434.35,C20H18O11,,黄酮类,O=C(C(O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)=C(C2=CC(O)=C(C=C2)O)OC3=CC(O)=C4)C3=C4O,"InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15+,17-,20+/m1/s1",PZZRDJXEMZMZFD-BWYUNELBSA-N,虎杖
HZ-057,金丝桃苷,Hyperoside,482-36-0,464.38,C21H20O12,,黄酮类,O=C(C(O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)=C(C2=CC(O)=C(C=C2)O)OC3=CC(O)=C4)C3=C4O,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,虎杖
HZ-058,(－)-表儿茶素-3-O-(E)-咖啡酸,"2-Propenoic acid, 3-(3,4-dihydroxyphenyl)-, (2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl ester, (2E)- (ACI)",1646632-63-4,452.41,C24H20O9,,酚酸类,OC(C=C1/C=C/C(O[C@H]2[C@@H](C3=CC(O)=C(C=C3)O)OC4=CC(O)=CC(O)=C4C2)=O)=C(C=C1)O,"InChI=1S/C24H20O9/c25-14-9-18(28)15-11-22(32-23(31)6-2-12-1-4-16(26)19(29)7-12)24(33-21(15)10-14)13-3-5-17(27)20(30)8-13/h1-10,22,24-30H,11H2/b6-2+/t22-,24-/m1/s1",JWPZQWKMASEBNO-SQMJIZMMSA-N,虎杖
HZ-059,原儿茶酸,Protocatechuic acid,99-50-3,154.12,C7H6O4,,酚酸类,OC1=C(O)C=C(C(O)=O)C=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,虎杖
HZ-060,2，5-二甲基-7-羟基色酮,"2,5-Dimethyl-7-hydroxychromone",38412-47-4,190.2,C11H10O3,,酚酸类,CC1=CC(O)=CC2=C1C(C=C(O2)C)=O,"InChI=1S/C11H10O3/c1-6-3-8(12)5-10-11(6)9(13)4-7(2)14-10/h3-5,12H,1-2H3",CRNGFKXWIYTEPH-UHFFFAOYSA-N,虎杖
HZ-061,5-羟甲基-7-羟基-2-甲基色原酮,"4H-1-Benzopyran-4-one, 7-hydroxy-5-methoxy-2-methyl- (9CI, ACI)",3449-40-9,206.2,C11H10O4,,酚酸类,CC1=CC(C2=C(OC)C=C(O)C=C2O1)=O,"InChI=1S/C11H10O4/c1-6-3-8(13)11-9(14-2)4-7(12)5-10(11)15-6/h3-5,12H,1-2H3",CEYBVHFSZZQISA-UHFFFAOYSA-N,虎杖
HZ-062,5，7-二羟基-1(3H)-异苯并呋喃酮,"1(3H)-Isobenzofuranone, 5,7-dihydroxy- (9CI, ACI)",27979-58-4,166.13,C8H6O4,,酚酸类,OC1=CC(O)=C2C(COC2=O)=C1,"InChI=1S/C8H6O4/c9-5-1-4-3-12-8(11)7(4)6(10)2-5/h1-2,9-10H,3H2",MASWIRTUXFZGAF-UHFFFAOYSA-N,虎杖
