编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-076,戊菊素A,Penthorin A,1832604-11-1,326.3480,C19H18O5,, 苯丙素,OC1=CC=C2C(OC(C=C(O)C(/C=C/C)=C3)=C3[C@H](C)C2=O)=C1OC,"InChI=1S/C19H18O5/c1-4-5-11-8-13-10(2)17(22)12-6-7-14(20)19(23-3)18(12)24-16(13)9-15(11)21/h4-10,20-21H,1-3H3/b5-4+/t10-/m0/s1",KDWBNSMFHCKUHJ-YEZKRMTDSA-N,赶黄草
PECH-077,"(7'Z,8S)-2',4-Dihydroxy-3-methoxy-2,4'-epoxy-8,5'-neolign-7'-ene-7-one","(7'Z,8S)-2',4-Dihydroxy-3-methoxy-2,4'-epoxy-8,5'-neolign-7'-ene-7-one",2292114-36-2,326.3480,C19H18O5,, 苯丙素,OC1=C(OC(C=C(O)C(/C=C\C)=C2)=C2[C@H](C)C3=O)C3=CC=C1[OH3]C,"InChI=1S/C19H21O5/c1-4-5-11-8-13-10(2)17(21)12-6-7-15(23-3)18(22)19(12)24-16(13)9-14(11)20/h4-10,20,22H,1-3,23H3/b5-4-/t10-/m0/s1",UAFKIUAOBUHTTN-LWTINBJPSA-N,赶黄草
PECH-078,"(7'Z,8R)-8-Hydroxy-3-methoxy-2',4'-epoxy-8,3'-neolign-7'-ene-7-one-4-O-β-D-glucopyranoside","(7'Z,8R)-8-Hydroxy-3-methoxy-2',4'-epoxy-8,3'-neolign-7'-ene-7-one-4-O-β-D-glucopyranoside",/,488.4890,C25H28O10,, 苯丙素,O=C1[C@](C)(O)C2=C(C=CC(/C=C\C)=C2)OC3=C(OC)C(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)=CC=C31,"InChI=1S/C25H28O10/c1-4-5-12-6-8-15-14(10-12)25(2,31)23(30)13-7-9-16(22(32-3)21(13)33-15)34-24-20(29)19(28)18(27)17(11-26)35-24/h4-10,17-20,24,26-29,31H,11H2,1-3H3/b5-4-/t17-,18-,19+,20-,24-,25-/m1/s1",VELVOYCJCOWEJN-HYXZXWNJSA-N,赶黄草
PECH-079,"(7'E,8R)-8-Hydroxy-3-methoxy-2',4'-epoxy-8,3'-neolign-7'-ene-7-one-4-O-β-D-glucopyranoside","(7'E,8R)-8-Hydroxy-3-methoxy-2',4'-epoxy-8,3'-neolign-7'-ene-7-one-4-O-β-D-glucopyranoside",/,488.4890,C25H28O10,, 苯丙素,O=C1[C@](C)(O)C2=C(C=CC(/C=C/C)=C2)OC3=C(OC)C(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)=CC=C31,"InChI=1S/C25H28O10/c1-4-5-12-6-8-15-14(10-12)25(2,31)23(30)13-7-9-16(22(32-3)21(13)33-15)34-24-20(29)19(28)18(27)17(11-26)35-24/h4-10,17-20,24,26-29,31H,11H2,1-3H3/b5-4+/t17-,18-,19+,20-,24-,25-/m1/s1",VELVOYCJCOWEJN-SUWHYESMSA-N,赶黄草
PECH-080,"(7'Z,8R)-2',4,8-Trihydroxy-3-methoxy-2,4'-epoxy-8',5-neolign-7'-ene-7-one","(7'Z,8R)-2',4,8-Trihydroxy-3-methoxy-2,4'-epoxy-8',5-neolign-7'-ene-7-one",2292113-33-6,342.3400,C19H18O6,, 苯丙素,OC1=CC=C2C(OC(C=C(O)C(/C=C\C)=C3)=C3[C@@](C)(O)C2=O)=C1OC,"InChI=1S/C19H18O6/c1-4-5-10-8-12-15(9-14(10)21)25-16-11(18(22)19(12,2)23)6-7-13(20)17(16)24-3/h4-9,20-21,23H,1-3H3/b5-4-/t19-/m1/s1",GJTLOIANDVRPRV-PHWHVTFISA-N,赶黄草
PECH-081,"(7'E,8S)-2',4,8-Trihydroxy-3-methoxy-2,4'-epoxy-8',5-neolign-7'-ene-7-one","(7'E,8S)-2',4,8-Trihydroxy-3-methoxy-2,4'-epoxy-8',5-neolign-7'-ene-7-one",/,342.3400,C19H18O6,, 苯丙素,OC1=CC=C2C(OC(C=C(O)C(/C=C/C)=C3)=C3[C@](C)(O)C2=O)=C1OC,"InChI=1S/C19H18O6/c1-4-5-10-8-12-15(9-14(10)21)25-16-11(18(22)19(12,2)23)6-7-13(20)17(16)24-3/h4-9,20-21,23H,1-3H3/b5-4+/t19-/m0/s1",GJTLOIANDVRPRV-PXPVJAHISA-N,赶黄草
PECH-082,"(7'Z,8S)-3,8-Dihydroxy-4-methoxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one-2'-O-β-D-glucopyranose","(7'Z,8S)-3,8-Dihydroxy-4-methoxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one-2'-O-β-D-glucopyranose",2306077-92-7,504.4880,C25H28O11,, 苯丙素,OC1=CC=C2C(OC(C=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C(/C=C\C)=C4)=C4[C@](C)(O)C2=O)=C1OC,"InChI=1S/C25H28O11/c1-4-5-11-8-13-16(9-15(11)35-24-20(30)19(29)18(28)17(10-26)36-24)34-21-12(23(31)25(13,2)32)6-7-14(27)22(21)33-3/h4-9,17-20,24,26-30,32H,10H2,1-3H3/b5-4-/t17-,18-,19+,20-,24-,25+/m1/s1",ZZJBGEPXLKGDME-MFHWHWLMSA-N,赶黄草
PECH-083,"(7'Z,8S)-4,8-Dihydroxy-3-methoxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one-2'-O-β-D-glucopyranose","(7'Z,8S)-4,8-Dihydroxy-3-methoxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one-2'-O-β-D-glucopyranose",2306077-90-5,504.4880,C25H28O12,, 苯丙素,OC1=C(OC(C=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(/C=C\C)=C3)=C3[C@](C)(O)C4=O)C4=CC=C1[OH3]C,"InChI=1S/C25H31O11/c1-4-5-11-8-13-16(9-15(11)35-24-21(30)20(29)18(27)17(10-26)36-24)34-22-12(23(31)25(13,2)32)6-7-14(33-3)19(22)28/h4-9,17-18,20-21,24,26-30,32H,10H2,1-3,33H3/b5-4-/t17-,18-,20+,21-,24-,25+/m1/s1",QNSIHZOSCQJTCM-VSLCAEHPSA-N,赶黄草
PECH-084,赶黄草酮 C,Penchinone C,2043024-07-1,342.3470,C19H18O5,, 苯丙素,OC(C(/C=C/C)=C1)=C(O)C2=C1[C@@H](C(C)=O)C3=CC=C(O)C(OC)=C3O2,"InChI=1S/C19H18O6/c1-4-5-10-8-12-14(9(2)20)11-6-7-13(21)19(24-3)18(11)25-17(12)16(23)15(10)22/h4-8,14,21-23H,1-3H3/b5-4+/t14-/m0/s1",UESUZKGQOYIYDD-NNTXTVRGSA-N,赶黄草
PECH-085,赶黄草酮 D,Penchinone D,2043024-08-2,342.3470,C19H18O6,, 苯丙素,OC(C(/C=C\C)=C1)=C(O)C2=C1[C@@H](C(C)=O)C3=CC=C(O)C(OC)=C3O2,"InChI=1S/C19H18O6/c1-4-5-10-8-12-14(9(2)20)11-6-7-13(21)19(24-3)18(11)25-17(12)16(23)15(10)22/h4-8,14,21-23H,1-3H3/b5-4-/t14-/m0/s1",UESUZKGQOYIYDD-WSNITJDQSA-N,赶黄草
