编号,化合物名称,英文名称,CAS号,分子量,分子式,2d图,分类,smiles,inchi,inchikey,药材名称
CSL-29,腺嘌呤核苷,Adenosine,58-61-7,267.24,C10H13N5O4,,氨基酸,OCC1OC(C(C1O)O)N2C=NC3=C2N=CN=C3N,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)",OIRDTQYFTABQOQ-UHFFFAOYSA-N,穿山龙
CSL-30,cyclo-(Ser-Tyr),cyclo-(Ser-Tyr),21754-31-4,250.25,C12H14N2O4,,氨基酸,O=C1NC(CC2=CC=C(C=C2)O)C(NC1CO)=O,"InChI=1S/C12H14N2O4/c15-6-10-12(18)13-9(11(17)14-10)5-7-1-3-8(16)4-2-7/h1-4,9-10,15-16H,5-6H2,(H,13,18)(H,14,17)",CHYMARRIVIIBNV-UHFFFAOYSA-N,穿山龙
CSL-31,红景天苷,2-(4-hydroxyphenyl)ethyl-β-D-Glucopyranoside,10338-51-9,300.3,C14H20O7,,苯丙素,OC1=CC=C(CCOC2OC(C(C(C2O)O)O)CO)C=C1,"InChI=1S/C14H20O7/c15-7-10-11(17)12(18)13(19)14(21-10)20-6-5-8-1-3-9(16)4-2-8/h1-4,10-19H,5-7H2",ILRCGYURZSFMEG-UHFFFAOYSA-N,穿山龙
CSL-32,胡椒酚-1-O-Β-D-葡萄糖苷,pyrocatechol 1-O-β-D-glucopyranoside,64703-98-6,296.32,C15H20O6,,苯丙素,OCC1OC(C(C(C1O)O)O)OC2=CC=C(CC=C)C=C2,"InChI=1S/C15H20O6/c1-2-3-9-4-6-10(7-5-9)20-15-14(19)13(18)12(17)11(8-16)21-15/h2,4-7,11-19H,1,3,8H2",BGWWYZXBGAKMRB-UHFFFAOYSA-N,穿山龙
CSL-33,原纤细薯蓣皂苷,PROTOGRACILLIN(P),54848-30-5,1065.2,C51H84O23,,三萜类,OCC1OC(C(C(C1O)O)O)OCC(CCC2(OC3CC4C5CC=C6CC(CCC6(C5CCC4(C3C2C)C)C)OC7OC(C(C(C7OC8OC(C(C(C8O)O)O)C)OC9OC(C(C(C9O)O)O)CO)O)CO)O)C,"InChI=1S/C51H84O23/c1-20(19-66-45-40(62)38(60)34(56)29(16-52)69-45)8-13-51(65)21(2)32-28(74-51)15-27-25-7-6-23-14-24(9-11-49(23,4)26(25)10-12-50(27,32)5)68-48-44(73-46-41(63)37(59)33(55)22(3)67-46)43(36(58)31(18-54)71-48)72-47-42(64)39(61)35(57)30(17-53)70-47/h6,20-22,24-48,52-65H,7-19H2,1-5H3",GMCGZPQYTRHQRU-UHFFFAOYSA-N,穿山龙
CSL-34,Diosniposide B,Diosniposide B,,450.4 ,C22H26O10,,二萜,COC1=C(O)C=C2CCC3=C(C(O)=C(OC4C(O)C(O)C(O)C(CO)O4)C=C3)C2=C1OC,"InChI=1S/C22H26O10/c1-29-20-11(24)7-10-4-3-9-5-6-12(16(25)14(9)15(10)21(20)30-2)31-22-19(28)18(27)17(26)13(8-23)32-22/h5-7,13,17-19,22-28H,3-4,8H2,1-2H3",DANCCCWPVCIVNA-UHFFFAOYSA-N,穿山龙
CSL-35,儿茶酚,Catechol,120-80-9,110.11,C6H6O2,,酚酸类,OC1=C(O)C=CC=C1,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,穿山龙
CSL-36,山奈酚,Kaempferol,520-18-3,286.24,C15H10O6,,黄酮类,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,穿山龙
CSL-37,山奈酚-3-0-β-D-吡喃葡萄糖苷,kaeMpferol 3-O--D-glucopyranoside,31159-41-8,448.3769,C21H20O11,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)CO)=C(C3=CC=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2",JPUKWEQWGBDDQB-UHFFFAOYSA-N,穿山龙
CSL-38,山奈酚-3-O-芸香糖苷,Nicotiflorin,17650-84-9,594.518,C27H30O15,,黄酮类,O=C1C(OC2OC(C(C(C2O)O)O)COC3OC(C(C(C3O)O)O)C)=C(C4=CC=C(O)C=C4)OC5=C1C(O)=CC(O)=C5,"InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3",RTATXGUCZHCSNG-UHFFFAOYSA-N,穿山龙
CSL-39,甘草素,LIQUIRITIGENIN,578-86-9,256.25,C15H12O4,,黄酮类,O=C1C2=CC=C(C=C2OC(C1)C3=CC=C(C=C3)O)O,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2",FURUXTVZLHCCNA-UHFFFAOYSA-N,穿山龙
CSL-40,N-乙酰酪胺,N-Acetyltyramine,1202-66-0,179.22,C10H13NO2,,氨基酸,O=C(C)NCCC1=CC=C(C=C1)O,"InChI=1S/C10H13NO2/c1-8(12)11-7-6-9-2-4-10(13)5-3-9/h2-5,13H,6-7H2,1H3,(H,11,12)",ATDWJOOPFDQZNK-UHFFFAOYSA-N,穿山龙
CSL-41,甘露醇,Mannitol,87-78-5,182.17,C6H14O6,,糖类,OCC(C(C(C(CO)O)O)O)O,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2",FBPFZTCFMRRESA-UHFFFAOYSA-N,穿山龙
CSL-42,胡萝卜苷,ELEUTHEROSIDE A,474-58-8,576.86,C35H60O6,,甾体,OCC1OC(C(C(C1O)O)O)OC2CC3=CCC4C(C3(CC2)C)CCC5(C(C(CCC(C(C)C)CC)C)CCC45)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3",NPJICTMALKLTFW-UHFFFAOYSA-N,穿山龙
CSL-43,B-谷甾醇,beta-Sitosterol,83-46-5,414.72,C29H50O,,甾体,OC1CC2=CCC3C(C2(CC1)C)CCC4(C(C(CCC(C(C)C)CC)C)CCC34)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3",KZJWDPNRJALLNS-UHFFFAOYSA-N,穿山龙
CSL-44,薯蓣皂苷元酮,(25R)-Spirost-4-en-3-one,6870-79-7,412.6,C27H40O3,,三萜类,O=C1C=C2CCC3C(C2(CC1)C)CCC4(C3CC5OC6(C(C54)C)OCC(CC6)C)C,"InChI=1S/C27H40O3/c1-16-7-12-27(29-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(28)8-10-25(18,3)21(20)9-11-26(22,24)4/h13,16-17,20-24H,5-12,14-15H2,1-4H3",AZXZUBZBLNFUPF-UHFFFAOYSA-N,穿山龙
CSL-45,麦角甾醇过氧化物,"ergosterol-5,8-peroxide",2061-64-5,428.65,C28H44O3,,甾体,OC1CCC2(C3CCC4(C(C(C)C=CC(C(C)C)C)CCC4C35OOC2(C1)C=C5)C)C,"InChI=1S/C28H44O3/c1-18(2)19(3)7-8-20(4)22-9-10-23-25(22,5)13-12-24-26(6)14-11-21(29)17-27(26)15-16-28(23,24)31-30-27/h7-8,15-16,18-24,29H,9-14,17H2,1-6H3",VXOZCESVZIRHCJ-UHFFFAOYSA-N,穿山龙
CSL-46,薯蓣皂苷-3-6-二酮,diosgenin-3-6-dione,3730-84-5,426.59,C27H38O4,,三萜类,O=C1C=C2C(CC3C(C2(CC1)C)CCC4(C3CC5OC6(C(C54)C)OCC(CC6)C)C)=O,"InChI=1S/C27H38O4/c1-15-5-10-27(30-14-15)16(2)24-23(31-27)13-20-18-12-22(29)21-11-17(28)6-8-25(21,3)19(18)7-9-26(20,24)4/h11,15-16,18-20,23-24H,5-10,12-14H2,1-4H3",BHUDKWOFZIXCDR-UHFFFAOYSA-N,穿山龙
CSL-47,葡萄糖,GLUCOSE,58367-01-4,180.16,C6H12O6,,糖类,O=CC(C(C(C(CO)O)O)O)O,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2",GZCGUPFRVQAUEE-UHFFFAOYSA-N,穿山龙
CSL-48,鼠李糖,α-L-Rhamnopyranose monohydrate,6155-35-7,182.17,C6H14O6,,糖类,OC1OC(C(C(C1O)O)O)C.O,"InChI=1S/C6H12O5.H2O/c1-2-3(7)4(8)5(9)6(10)11-2;/h2-10H,1H3;1H2",BNRKZHXOBMEUGK-UHFFFAOYSA-N,穿山龙
CSL-49,尿囊素,Allantoin,97-59-6,158.12,C4H6N4O3,,其他类,O=C(NC1NC(NC1=O)=O)N,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",POJWUDADGALRAB-UHFFFAOYSA-N,穿山龙
