Number,compounds（英文）,compounds,Molecular formula,Molecular weight,CAS No.,结构式,,smiles,inchi,inchikey,药物名称
ADC-165,11-O-galloylbergenin,11-O-没食子酰岩白菜素, C21H20O13,480.38 ,82958-44-9,,黄酮,COC1=C(O)C=C2C(C3C(OC2=O)C(O)C(O)C(COC(C4=CC(O)=C(O)C(O)=C4)=O)O3)=C1O,"InChI=1S/C21H20O13/c1-31-17-10(24)4-7-12(15(17)27)18-19(34-21(7)30)16(28)14(26)11(33-18)5-32-20(29)6-2-8(22)13(25)9(23)3-6/h2-4,11,14,16,18-19,22-28H,5H2,1H3",CDRRULDABVKKHU-UHFFFAOYSA-N,矮地茶
ADC-166,isomyricitrin,,C21H20O13,480.40 ,19833-12-6,,黄酮,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O)=C(C3=CC(O)=C(O)C(O)=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O13/c22-5-12-15(28)17(30)18(31)21(33-12)34-20-16(29)13-8(24)3-7(23)4-11(13)32-19(20)6-1-9(25)14(27)10(26)2-6/h1-4,12,15,17-18,21-28,30-31H,5H2/t12-,15-,17+,18-,21+/m1/s1",FOHXFLPXBUAOJM-LIBJPBHASA-N,矮地茶
ADC-167,Myricomplanoside,,C22H22O13,494.40 ,123442-26-2,,黄酮,COC1=C(O)C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=CC(C3=C(O)C(C4=C(O)C=C(O)C=C4O3)=O)=C1,"InChI=1S/C22H22O13/c1-32-11-2-7(21-19(30)17(28)14-9(25)4-8(24)5-10(14)33-21)3-12(15(11)26)34-22-20(31)18(29)16(27)13(6-23)35-22/h2-5,13,16,18,20,22-27,29-31H,6H2,1H3/t13-,16-,18+,20-,22-/m1/s1",RUJHFBFKZCYVLZ-ROSPJSJWSA-N,矮地茶
ADC-168,kaempferitrin,山奈苷,C27H30O14,578.52 ,482-38-2,,黄酮,O=C1C(O[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)=C(C3=CC=C(O)C=C3)OC4=CC(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)=CC(O)=C41,"InChI=1S/C27H30O14/c1-9-17(30)20(33)22(35)26(37-9)39-13-7-14(29)16-15(8-13)40-24(11-3-5-12(28)6-4-11)25(19(16)32)41-27-23(36)21(34)18(31)10(2)38-27/h3-10,17-18,20-23,26-31,33-36H,1-2H3/t9-,10-,17-,18-,20+,21+,22+,23+,26-,27-/m0/s1",PUPKKEQDLNREIM-QNSQPKOQSA-N,矮地茶
ADC-169,Nictoflorin,,C27H30O15,594.50 ,17650-84-9,,黄酮,OC1=CC(O)=CC2=C1C(C(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO[C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4)O3)=C(C5=CC=C(O)C=C5)O2)=O,"InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m1/s1",RTATXGUCZHCSNG-BVXQCTIVSA-N,矮地茶
ADC-170,Rutin,芦丁,C27H30O16,610.52 ,153-18-4,,黄酮,OC1=CC(O)=CC2=C1C(C(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO[C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4)O3)=C(C5=CC(O)=C(O)C=C5)O2)=O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m1/s1",IKGXIBQEEMLURG-GGFYDIPBSA-N,矮地茶
ADC-171,Kaempferol 3-O-rhamnoside,,C21H20O10,740.66 ,83170-31-4,,黄酮,COC1=CC=C(C2=C(O[C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@H](O)[C@@H](O)[C@H](C)O3)C(C(C(O)=CC(O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)=C6C/C=C(C)/C)=C6O2)=O)C=C1,"InChI=1S/C39H50O19/c1-14(2)6-11-19-21(54-38-32(50)29(47)26(44)22(13-40)55-38)12-20(41)23-27(45)35(33(56-34(19)23)17-7-9-18(51-5)10-8-17)57-39-36(30(48)25(43)16(4)53-39)58-37-31(49)28(46)24(42)15(3)52-37/h6-10,12,15-16,22,24-26,28-32,36-44,46-50H,11,13H2,1-5H3/t15-,16-,22+,24-,25-,26+,28+,29-,30+,31+,32+,36+,37-,38+,39-/m0/s1",ULZLIYVOYYQJRO-JIYCBSMMSA-N,矮地茶
ADC-172,Epimedin C,朝藿定C,C39H50O19,822.80 ,110642-44-9,,三萜,COC1=CC=C(C2=C(O[C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@H](O)[C@@H](O)[C@H](C)O3)C(C(C(O)=CC(O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)=C6C/C=C(C)/C)=C6O2)=O)C=C1,"InChI=1S/C39H50O19/c1-14(2)6-11-19-21(54-38-32(50)29(47)26(44)22(13-40)55-38)12-20(41)23-27(45)35(33(56-34(19)23)17-7-9-18(51-5)10-8-17)57-39-36(30(48)25(43)16(4)53-39)58-37-31(49)28(46)24(42)15(3)52-37/h6-10,12,15-16,22,24-26,28-32,36-44,46-50H,11,13H2,1-5H3/t15-,16-,22+,24-,25-,26+,28+,29-,30+,31+,32+,36+,37-,38+,39-/m0/s1",ULZLIYVOYYQJRO-JIYCBSMMSA-N,矮地茶
ADC-173,ardisicrenoside A,,C53H88O22,1077.25 ,160824-52-2,,三萜,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O[C@H]3CO[C@@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@@]78[C@@H]9C[C@@](C)(CO)CC[C@@]9([C@H](O)C[C@@]8(C)[C@]6(C)CC[C@H]5C4(C)C)CO7)[C@H](O[C@H]%10[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O%10)[C@H]3O)O1,"InChI=1S/C53H88O22/c1-23-32(58)36(62)39(65)43(69-23)75-42-38(64)34(60)25(19-55)71-46(42)72-26-20-67-45(41(35(26)61)74-44-40(66)37(63)33(59)24(18-54)70-44)73-31-10-11-49(5)27(47(31,2)3)8-12-50(6)28(49)9-13-53-29-16-48(4,21-56)14-15-52(29,22-68-53)30(57)17-51(50,53)7/h23-46,54-66H,8-22H2,1-7H3/t23-,24+,25+,26-,27-,28+,29+,30+,31-,32-,33+,34+,35-,36+,37-,38-,39+,40+,41+,42+,43-,44-,45-,46-,48-,49-,50+,51-,52+,53-/m0/s1",LTTSWSWZQNISIB-LLEYBADXSA-N,矮地茶
ADC-174,"(2E)-3-(3,4-Dimethoxyphenyl)acrylic acid",,C11H12O4,208.21 ,14737-89-4,,酚酸,COC(C(OC)=C1)=CC=C1/C=C/C(O)=O,"InChI=1S/C11H12O4/c1-14-9-5-3-8(4-6-11(12)13)7-10(9)15-2/h3-7H,1-2H3,(H,12,13)/b6-4+",HJBWJAPEBGSQPR-GQCTYLIASA-N,矮地茶
ADC-175,protocatechuic acid,原儿茶酸,C7H6O4,154.12 ,99-50-3,,黄酮,OC1=CC=C(C(O)=O)C=C1O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,矮地茶
ADC-176,Quercitrin,槲皮苷,C21H20O11,448.38 ,522-12-3,,黄酮,O=C1C(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)=C(C3=CC(O)=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,矮地茶
ADC-177,Chlorogenic acid,绿原酸,C16H18O9,354.31 ,327-97-9,,苯丙素,O[C@H]1[C@@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)C[C@](O)(C(O)=O)C1,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,矮地茶
ADC-178,Alpha-caryophyllene,蛇麻烯,C15H24,204.35 ,6753-98-6,,萜,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+",FAMPSKZZVDUYOS-HRGUGZIWSA-N,矮地茶
ADC-179,alpha-caryophyllene alcohol,石竹烯醇,C17H30O,250.42 ,4586-22-5,,萜,CC1(C)CC2C(C3(C)CCCC2(C)C3O)C1,"InChI=1S/C15H26O/c1-13(2)8-10-11(9-13)15(4)7-5-6-14(10,3)12(15)16/h10-12,16H,5-9H2,1-4H3",MJYUBUQHKCAJQR-UHFFFAOYSA-N,矮地茶
ADC-180,Emodin,大黄素,C15H10O5,270.24 ,518-82-1,,蒽醌,O=C(C1=C2C=C(O)C=C1O)C(C(O)=CC(C)=C3)=C3C2=O,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",RHMXXJGYXNZAPX-UHFFFAOYSA-N,矮地茶
ADC-181,Cinnamaldehyde,肉桂醛,C9H8O,132.16 ,104-55-2,,其他,O=CC=CC1=CC=CC=C1,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H,KJPRLNWUNMBNBZ-UHFFFAOYSA-N,矮地茶
,,,,,,,,,,,
