Number,compounds（英文）,compounds,Molecular formula,Molecular weight,CAS No.,结构式,,smiles,inchi,inchikey,药物名称
ADC-081,Alpha-Linolenic acid,α-亚麻酸,C18H30O2,278.43 ,463-40-1,,脂肪酸,O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N,矮地茶
ADC-082,α-Eleostearic acid,,C18H30O2,278.43 ,24022-76-2,,脂肪酸,O=C(O)CCCCCCC/C=C\C=C\C=C/CCCC,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h5-10H,2-4,11-17H2,1H3,(H,19,20)/b6-5-,8-7+,10-9-",CUXYLFPMQMFGPL-BGDVVUGTSA-N,矮地茶
ADC-083,Linoleic acid,亚油酸,C18H32O2,280.45 ,60-33-3,,脂肪酸,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,矮地茶
ADC-084,"Ethyl 3,4,5-trimethoxybenzoylacetate","3,4,5-三甲氧基苯甲酰乙酸乙酯",C14H18O6,282.29 ,3044-56-2,,脂肪酸,O=C(OCC)CC(C1=CC(OC)=C(OC)C(OC)=C1)=O,"InChI=1S/C14H18O6/c1-5-20-13(16)8-10(15)9-6-11(17-2)14(19-4)12(7-9)18-3/h6-7H,5,8H2,1-4H3",VEYNISLTHXQSGU-UHFFFAOYSA-N,矮地茶
ADC-085,Oleic acid,油酸,C18H34O2,282.46 ,112-80-1,,脂肪酸,OC(CCCCCCC/C=C\CCCCCCCC)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,矮地茶
ADC-086,Ethylpalmitate,棕榈酸乙酯,C18H36O2,284.48 ,628-97-7,,脂肪酸,O=C(OCC)CCCCCCCCCCCCCCC,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3",XIRNKXNNONJFQO-UHFFFAOYSA-N,矮地茶
ADC-087,Kaempferol,山奈酚,C15H10O6,286.24 ,520-18-3,,黄酮,O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,矮地茶
ADC-088,Luteolin,木犀草素,C15H10O6,286.24 ,491-70-3,,黄酮,OC1=CC2=C(C(C=C(C3=CC=C(C(O)=C3)O)O2)=O)C(O)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,矮地茶
ADC-089,Eriodictyol,圣草酚,C15H12O6,288.25 ,552-58-9,,黄酮,OC(C(O)=C1)=CC=C1[C@@H]2CC(C3=C(O)C=C(O)C=C3O2)=O,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,矮地茶
ADC-090,Cianidanol,儿茶素,C15H14O6,290.27 ,154-23-4,,黄酮,OC1=CC([C@@H](O2)[C@@H](O)CC3=C2C=C(O)C=C3O)=CC=C1O,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",PFTAWBLQPZVEMU-DZGCQCFKSA-N,矮地茶
ADC-091,Epicatechin,表儿茶素(EC),C15H14O6,290.27 ,490-46-0,,黄酮,O[C@H]1[C@@H](C2=CC=C(O)C(O)=C2)OC(C=C(O)C=C3O)=C3C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N,矮地茶
ADC-092,octinoxate,对甲氧基肉桂酸辛酯,C18H26O3,290.40 ,5466-77-3,,其他,O=C(OCC(CC)CCCC)C=CC1=CC=C(OC)C=C1,"InChI=1S/C18H26O3/c1-4-6-7-15(5-2)14-21-18(19)13-10-16-8-11-17(20-3)12-9-16/h8-13,15H,4-7,14H2,1-3H3",YBGZDTIWKVFICR-UHFFFAOYSA-N,矮地茶
ADC-093,Androstanolone,雄诺龙,C19H30O2,290.44 ,521-18-6,,三萜,C[C@@]12[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4O)([H])CC(CC1)=O,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",NVKAWKQGWWIWPM-ABEVXSGRSA-N,矮地茶
ADC-094,Metilox,"3-(3,5-二叔丁基-4-羟基苯基)丙酸甲酯",C18H28O3,292.41 ,6386-38-5,,其他,O=C(OC)CCC1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1,"InChI=1S/C18H28O3/c1-17(2,3)13-10-12(8-9-15(19)21-7)11-14(16(13)20)18(4,5)6/h10-11,20H,8-9H2,1-7H3",PXMJCECEFTYEKE-UHFFFAOYSA-N,矮地茶
ADC-095,Embelin,恩贝灵； 恩贝酸,C17H24O4,294.39 ,550-24-3,,蒽醌,O=C(C=C1O)C(O)=C(CCCCCCCCCCC)C1=O,"InChI=1S/C17H26O4/c1-2-3-4-5-6-7-8-9-10-11-13-16(20)14(18)12-15(19)17(13)21/h12,18,21H,2-11H2,1H3",IRSFLDGTOHBADP-UHFFFAOYSA-N,矮地茶
ADC-096,(+/-)9-HODE,,C18H32O3,296.45 ,98524-19-7,,脂肪酸,OC(/C=C/C=C\CCCCC)CCCCCCCC(O)=O,"InChI=1S/C18H32O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14,17,19H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b8-6-,14-11+",NPDSHTNEKLQQIJ-ZJHFMPGASA-N,矮地茶
ADC-097,Hydroxygenkwanin,羟基芫花素,C16H12O6,300.26 ,20243-59-8,,黄酮,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(OC)=C3,"InChI=1S/C16H12O6/c1-21-9-5-12(19)16-13(20)7-14(22-15(16)6-9)8-2-3-10(17)11(18)4-8/h2-7,17-19H,1H3",RRRSSAVLTCVNIQ-UHFFFAOYSA-N,矮地茶
ADC-098,Quercetin,槲皮素,C15H10O7,302.24 ,117-39-5,,黄酮,OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,矮地茶
ADC-099,Taxifolin,花旗松素,C15H12O7,304.25 ,480-18-2,,黄酮,OC1=CC([C@@H](O2)[C@@H](O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1",CXQWRCVTCMQVQX-LSDHHAIUSA-N,矮地茶
ADC-100,epigallocatechin,表没食子儿茶素,C15H14O7,306.27 ,970-74-1,,黄酮,O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1",XMOCLSLCDHWDHP-IUODEOHRSA-N,矮地茶
ADC-101,Gallocatechin,(+)-棓儿茶酸,C15H14O7,306.27 ,970-73-0,,黄酮,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C3=CC(O)=C(O)C(O)=C3,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15+/m0/s1",XMOCLSLCDHWDHP-SWLSCSKDSA-N,矮地茶
ADC-102,Di-n-Amyl phthalate,邻苯二甲酸二戊酯,C18H26O4,306.40 ,131-18-0,,其他,O=C(OCCCCC)C1=CC=CC=C1C(OCCCCC)=O,"InChI=1S/C18H26O4/c1-3-5-9-13-21-17(19)15-11-7-8-12-16(15)18(20)22-14-10-6-4-2/h7-8,11-12H,3-6,9-10,13-14H2,1-2H3",IPKKHRVROFYTEK-UHFFFAOYSA-N,矮地茶
ADC-103,"(3beta,5alpha,6beta)-Androstane-3,5,6-triol",,C19H32O3,308.46 ,4725-51-3,,三萜,O[C@H]1CC[C@@]2([C@]3(CC[C@@]4(CCC[C@]4([C@@]3(C[C@H]([C@]2(C1)O)O)[H])[H])C)[H])C,"InChI=1S/C19H32O3/c1-17-7-3-4-14(17)13-10-16(21)19(22)11-12(20)5-9-18(19,2)15(13)6-8-17/h12-16,20-22H,3-11H2,1-2H3/t12-,13-,14-,15-,16+,17-,18+,19-/m0/s1",IFRIPYPBJCUNAG-OTMXHXQLSA-N,矮地茶
ADC-104,"3-Oxoestra-4,9,11-trien-17-yl acetate",群勃龙醋酸脂,C20H24O3,312.40 ,10161-34-9,,三萜,CC(O[C@H]1CC[C@@H]2[C@]1(C)C=CC3=C4CCC(C=C4CC[C@@H]23)=O)=O,"InChI=1S/C20H24O3/c1-12(21)23-19-8-7-18-17-5-3-13-11-14(22)4-6-15(13)16(17)9-10-20(18,19)2/h9-11,17-19H,3-8H2,1-2H3/t17-,18+,19+,20+/m1/s1",CMRJPMODSSEAPL-FYQPLNBISA-N,矮地茶
ADC-105,(9E)-9-Octadecenedioic acid,十八碳-9-烯酸,C18H32O4,312.44 ,4494-16-0,,脂肪酸,O=C(O)CCCCCCC/C=C/CCCCCCCC(O)=O,"InChI=1S/C18H32O4/c19-17(20)15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18(21)22/h1-2H,3-16H2,(H,19,20)(H,21,22)/b2-1+",SBLKVIQSIHEQOF-OWOJBTEDSA-N,矮地茶
ADC-106,Norbergenin,去甲岩白菜素,C13H14O9,314.25 ,79595-97-4,,萜类,O=C1OC(C2O)C(OC(C2O)CO)C3=C1C=C(O)C(O)=C3O,"InChI=1S/C13H14O9/c14-2-5-8(17)10(19)12-11(21-5)6-3(13(20)22-12)1-4(15)7(16)9(6)18/h1,5,8,10-12,14-19H,2H2",GDYGAIKPBLFCKR-UHFFFAOYSA-N,矮地茶
ADC-107,Pregnenolone,孕烯醇酮,C21H32O2,316.48 ,145-13-1,,甾体,O[C@H](C1)CC[C@@]2(C)C1=CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4C(C)=O,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3/t15-,16-,17+,18-,19-,20-,21+/m0/s1",ORNBQBCIOKFOEO-QGVNFLHTSA-N,矮地茶
ADC-108,Myricetin,杨梅素,C15H10O8,318.24 ,529-44-2,,黄酮,O=C1C(C(O)=CC(O)=C2)=C2OC(C(C=C3O)=CC(O)=C3O)=C1O,"InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H",IKMDFBPHZNJCSN-UHFFFAOYSA-N,矮地茶
ADC-109,"5-[(Z)-Pentadec-8-enyl] benzene-1,3-diol",,C21H34O2,318.49 ,22910-86-7,,其他,CCCCCC/C=C\CCCCCCCC1=CC(O)=CC(O)=C1,"InChI=1S/C21H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-16-20(22)18-21(23)17-19/h7-8,16-18,22-23H,2-6,9-15H2,1H3/b8-7-",TUGAUFMQYWZJAB-FPLPWBNLSA-N,矮地茶
ADC-110,Mycophenolic acid,霉酚酸,C17H20O6,320.34 ,24280-93-1,,其他,O=C1OCC2=C1C(O)=C(C/C=C(C)/CCC(O)=O)C(OC)=C2C,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+",HPNSFSBZBAHARI-RUDMXATFSA-N,矮地茶
ADC-111,"8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid","8-羟基-[S-(E,Z,Z,Z)]-5,9,11,14-二十碳四烯酸",C20H32O3,320.47 ,98462-03-4,,脂肪酸,O[C@H](/C=C/C=C\C/C=C\CCCCC)C/C=C\CCCC(O)=O,"InChI=1S/C20H32O3/c1-2-3-4-5-6-7-8-9-10-13-16-19(21)17-14-11-12-15-18-20(22)23/h6-7,9-11,13-14,16,19,21H,2-5,8,12,15,17-18H2,1H3,(H,22,23)/b7-6-,10-9-,14-11-,16-13+/t19-/m1/s1",NLUNAYAEIJYXRB-VYOQERLCSA-N,矮地茶
ADC-112,"(2beta,5beta,6beta,8alpha,9beta,10alpha,13alpha,15alpha)-Kaur-16-ene-2,6,15-triol","16-贝壳杉烯-2,6,15-三醇",C20H32O3,320.47 ,53452-32-7,,萜,OC1CC(C)(C)[C@]2([H])C(O)C[C@](C(O)C([C@]3([H])CC4)=C)(C3)[C@@]4([H])[C@@]2(C)C1,"InChI=1S/C20H32O3/c1-11-12-5-6-15-19(4)9-13(21)8-18(2,3)16(19)14(22)10-20(15,7-12)17(11)23/h12-17,21-23H,1,5-10H2,2-4H3/t12-,13?,14?,15-,16+,17?,19-,20-/m1/s1",OUDUFOYDAUOXPD-UZHLRENFSA-N,矮地茶
ADC-113,Rapanone,酸藤子醌,C19H30O4,322.44 ,573-40-0,,蒽醌,O=C1C(CCCCCCCCCCCCC)=C(O)C(C=C1O)=O,"InChI=1S/C19H30O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-18(22)16(20)14-17(21)19(15)23/h14,20,23H,2-13H2,1H3",AMKNOBHCKRZHIO-UHFFFAOYSA-N,矮地茶
ADC-114,Bergenin,岩白菜素,C14H16O9,328.27 ,477-90-7,,萜类,[H][C@@]1(C2=C3C=C(O)C(OC)=C2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@]([H])1OC3=O.O,"InChI=1S/C14H16O9.H2O/c1-21-11-5(16)2-4-7(9(11)18)12-13(23-14(4)20)10(19)8(17)6(3-15)22-12;/h2,6,8,10,12-13,15-19H,3H2,1H3;1H2/t6-,8-,10+,12+,13-;/m1./s1",QCWSXSAFDSGKAT-YOKSUNLASA-N,矮地茶
ADC-115,Corchorifatty acid F,"(10E,15Z)-9,12,13-三羟基八十-10,15-二烯oic acid",C18H32O5,328.44 ,185147-97-1,,其他,CC/C=C\CC(O)C(O)/C=C/C(O)CCCCCCCC(O)=O,"InChI=1S/C18H32O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h3,7,13-17,19-21H,2,4-6,8-12H2,1H3,(H,22,23)/b7-3-,14-13+",MKYUCBXUUSZMQB-MKZMYESJSA-N,矮地茶
ADC-116,Laricitrin,西伯利亚落叶松黄酮,C16H12O8,332.26 ,53472-37-0,,黄酮,O=C1C(O)=C(C2=CC(OC)=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C16H12O8/c1-23-11-3-6(2-9(19)13(11)20)16-15(22)14(21)12-8(18)4-7(17)5-10(12)24-16/h2-5,17-20,22H,1H3",CFYMYCCYMJIYAB-UHFFFAOYSA-N,矮地茶
ADC-117,Alfaxalone,阿法沙龙,C21H32O3,332.48 ,23930-19-0,,甾体,CC([C@H]([C@]1(C2)C)CC[C@@]1([H])[C@]3([H])CC[C@@]4([H])CC(O)CC[C@]4(C)[C@@]3([H])C2=O)=O,"InChI=1S/C21H32O3/c1-12(22)16-6-7-17-15-5-4-13-10-14(23)8-9-20(13,2)19(15)18(24)11-21(16,17)3/h13-17,19,23H,4-11H2,1-3H3/t13-,14?,15-,16+,17-,19+,20-,21+/m0/s1",DUHUCHOQIDJXAT-VEFHSKDMSA-N,矮地茶
ADC-118,Androstanolone acetate,雄诺龙醋酸酯,C21H32O3,332.48 ,1164-91-6,,其他,[H][C@@]12CCC3C4CC[C@@H](C4(CCC3[C@]1(CCC(C2)=O)C)C)OC(C)=O,"InChI=1S/C21H32O3/c1-13(22)24-19-7-6-17-16-5-4-14-12-15(23)8-10-20(14,2)18(16)9-11-21(17,19)3/h14,16-19H,4-12H2,1-3H3/t14-,16?,17?,18?,19-,20-,21?/m0/s1",ILCTUFVQFCIIDS-WZULAGPKSA-N,矮地茶
ADC-119,2-Methylcardol monoene,,C22H36O2,332.52 ,50423-13-7,,其他,CCCCCC/C=C\CCCCCCCC1=CC(O)=C(C)C(O)=C1,"InChI=1S/C22H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20-17-21(23)19(2)22(24)18-20/h8-9,17-18,23-24H,3-7,10-16H2,1-2H3/b9-8-",LDBPJTXLCRXBIJ-HJWRWDBZSA-N,矮地茶
ADC-120,3-Methoxy-5-[(10Z)-10-pentadecen-1-yl]phenol,,C22H36O2,332.52 ,137786-94-8,,其他,OC1=CC(CCCCCCCCC/C=C\CCCC)=CC(OC)=C1,"InChI=1S/C22H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20-17-21(23)19-22(18-20)24-2/h6-7,17-19,23H,3-5,8-16H2,1-2H3/b7-6-",NKOPRUNFJQCUCF-SREVYHEPSA-N,矮地茶
ADC-121,Ganaxolone,加奈索酮,C22H36O2,332.52 ,38398-32-2,,三萜,C[C@@]12[C@](CC[C@@H]2C(C)=O)([H])[C@]3([H])CC[C@@]4([H])C[C@](C)(O)CC[C@]4(C)[C@@]3([H])CC1,"InChI=1S/C22H36O2/c1-14(23)17-7-8-18-16-6-5-15-13-20(2,24)11-12-21(15,3)19(16)9-10-22(17,18)4/h15-19,24H,5-13H2,1-4H3/t15-,16-,17+,18-,19-,20+,21-,22+/m0/s1",PGTVWKLGGCQMBR-FLBATMFCSA-N,矮地茶
ADC-122,Tetrahydrodeoxycorticosterone,21-羟基孕烷醇酮,C21H34O3,334.49 ,567-03-3,,甾体,O[C@@H]1CC[C@@]2(C)[C@@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4C(CO)=O)([H])C1,"InChI=1S/C21H34O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h13-18,22-23H,3-12H2,1-2H3/t13-,14-,15+,16+,17+,18-,20+,21+/m1/s1",CYKYBWRSLLXBOW-DATPGIFZSA-N,矮地茶
ADC-123,Idebenone,艾地苯醌,C19H30O5,338.44 ,58186-27-9,,蒽醌,COC1=C(C(C(CCCCCCCCCCO)=C(C1=O)C)=O)OC,"InChI=1S/C19H30O5/c1-14-15(12-10-8-6-4-5-7-9-11-13-20)17(22)19(24-3)18(23-2)16(14)21/h20H,4-13H2,1-3H3",JGPMMRGNQUBGND-UHFFFAOYSA-N,矮地茶
ADC-124,Docosanoic Acid,山嵛酸,C22H44O2,340.58 ,112-85-6,,脂肪酸,O=C(O)CCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,矮地茶
ADC-125,Alpha-Trehalose,D-海藻糖,C12H22O11,342.30 ,99-20-7,,糖,O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)O2)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4+,5-,6+,7+,8-,9-,10+,11-,12+",HDTRYLNUVZCQOY-QYZOZNJRSA-N,矮地茶
ADC-126,4-Carboxyphenyl 4-hexyloxybenzoate,4-(4-己氧基苯甲酰氧基)苯甲酸,C20H22O5,342.39 ,52899-68-0,,其他,O=C(O)C1=CC=C(OC(C2=CC=C(OCCCCCC)C=C2)=O)C=C1,"InChI=1S/C20H22O5/c1-2-3-4-5-14-24-17-10-8-16(9-11-17)20(23)25-18-12-6-15(7-13-18)19(21)22/h6-13H,2-5,14H2,1H3,(H,21,22)",VQLWORYWCJWAAP-UHFFFAOYSA-N,矮地茶
ADC-127,Megestrol,甲地孕酮,C22H30O3,342.47 ,3562-63-8,,三萜,O=C1CC[C@@]2(C)C(C(C)=C[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@]4(O)C(C)=O)=C1,"InChI=1S/C22H30O3/c1-13-11-16-17(20(3)8-5-15(24)12-19(13)20)6-9-21(4)18(16)7-10-22(21,25)14(2)23/h11-12,16-18,25H,5-10H2,1-4H3/t16-,17+,18+,20-,21+,22+/m1/s1",VXIMPSPISRVBPZ-NWUMPJBXSA-N,矮地茶
ADC-128,Ardisianone A,"Z-2-(10’-十五烯基)-6-甲氧基-1,4-苯醌",C22H34O3,346.50 ,97987-89-8,,蒽醌,CCCCCC(C1=CC(C=CC1=O)=O)CC/C=C/CCCC(OC)C,"InChI=1S/C22H34O3/c1-4-5-9-13-19(21-17-20(23)15-16-22(21)24)14-11-8-6-7-10-12-18(2)25-3/h6,8,15-19H,4-5,7,9-14H2,1-3H3/b8-6+",WNZXOLJKBYUFDZ-SOFGYWHQSA-N,矮地茶
ADC-129,Ginkgoic acid,银杏酸 C15:1,C22H34O3,346.50 ,22910-60-7,,脂肪酸,OCC1=C(O)C=CC=C1CCCCCCC.CCCCCC,"InChI=1S/C14H22O2.C6H14/c1-2-3-4-5-6-8-12-9-7-10-14(16)13(12)11-15;1-3-5-6-4-2/h7,9-10,15-16H,2-6,8,11H2,1H3;3-6H2,1-2H3",WYOCDFDKTCOREQ-UHFFFAOYSA-N,矮地茶
ADC-130,Anacardic acid,氢化白果酸,C22H36O3,348.52 ,16611-84-0,,脂肪酸,OC(C1=C(O)C=CC=C1CCCCCCCCCCCCCCC)=O,"InChI=1S/C22H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h15,17-18,23H,2-14,16H2,1H3,(H,24,25)",ADFWQBGTDJIESE-UHFFFAOYSA-N,矮地茶
ADC-131,Estradiol valerate,戊酸雌二醇,C23H32O3,356.50 ,979-32-8,,甾体,[H][C@]12[C@]([C@]3([H])CC[C@]1(C)[C@@H](OC(CCCC)=O)CC2)([H])CCC4=C3C=CC(O)=C4,"InChI=1S/C23H32O3/c1-3-4-5-22(25)26-21-11-10-20-19-8-6-15-14-16(24)7-9-17(15)18(19)12-13-23(20,21)2/h7,9,14,18-21,24H,3-6,8,10-13H2,1-2H3/t18-,19-,20+,21+,23+/m1/s1",RSEPBGGWRJCQGY-RBRWEJTLSA-N,矮地茶
ADC-132,3-[2-(β-D-Glucopyranosyloxy)-4-methoxyphenyl]propanoic acid,2-O-β-D-葡糖基氧基-4-甲氧基苯丙酸,C16H22O9,358.34 ,477873-63-5,,苷,O=C(O)CCC1=CC=C(OC)C=C1OC2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O,"InChI=1S/C16H22O9/c1-23-9-4-2-8(3-5-12(18)19)10(6-9)24-16-15(22)14(21)13(20)11(7-17)25-16/h2,4,6,11,13-17,20-22H,3,5,7H2,1H3,(H,18,19)/t11-,13-,14+,15-,16?/m1/s1",LIVNOUBJFOXZOR-YJUJGKJLSA-N,矮地茶
ADC-133,Matairesinol,罗汉松树脂酚,C20H22O6,358.39 ,580-72-3,,其他,COC1=C(O)C=CC(C[C@H]2COC([C@@H]2CC3=CC(OC)=C(O)C=C3)=O)=C1,"InChI=1S/C20H22O6/c1-24-18-9-12(3-5-16(18)21)7-14-11-26-20(23)15(14)8-13-4-6-17(22)19(10-13)25-2/h3-6,9-10,14-15,21-22H,7-8,11H2,1-2H3/t14-,15+/m0/s1",MATGKVZWFZHCLI-LSDHHAIUSA-N,矮地茶
ADC-134,Cannabidiolic acid,大麻二酚酸,C22H30O4,358.47 ,1244-58-2,,其他,O=C(O)C1=C(O)C([C@H](C=C2C)[C@@H](CC2)C(C)=C)=C(O)C=C1CCCCC,"InChI=1S/C22H30O4/c1-5-6-7-8-15-12-18(23)20(21(24)19(15)22(25)26)17-11-14(4)9-10-16(17)13(2)3/h11-12,16-17,23-24H,2,5-10H2,1,3-4H3,(H,25,26)/t16-,17+/m0/s1",WVOLTBSCXRRQFR-DLBZAZTESA-N,矮地茶
ADC-135,Drostanolone propionate,屈他雄酮丙酸酯,C23H36O3,360.53 ,521-12-0,,三萜,O=C([C@@H](C[C@@]1([C@@]2([H])CC[C@]34C)C)C)C[C@]1([H])CC[C@@]2([H])[C@]4([H])CC[C@@H]3OC(CC)=O,"InChI=1S/C23H36O3/c1-5-21(25)26-20-9-8-17-16-7-6-15-12-19(24)14(2)13-23(15,4)18(16)10-11-22(17,20)3/h14-18,20H,5-13H2,1-4H3/t14-,15+,16+,17+,18+,20+,22+,23+/m1/s1",NOTIQUSPUUHHEH-UXOVVSIBSA-N,矮地茶
ADC-136,Maesanin,,C22H34O4,362.50 ,82380-21-0,,其他,O=C1C(O)=C(CCCCCCCCC/C=C\CCCC)C(C(OC)=C1)=O,"InChI=1S/C22H34O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18-21(24)19(23)17-20(26-2)22(18)25/h6-7,17,24H,3-5,8-16H2,1-2H3/b7-6-",WVHQJXPRVZBEFP-SREVYHEPSA-N,矮地茶
ADC-137,Lignoceric acid,二十四烷酸,C24H48O2,368.64 ,557-59-5,,脂肪酸,OC(CCCCCCCCCCCCCCCCCCCCCCC)=O,"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)",QZZGJDVWLFXDLK-UHFFFAOYSA-N,矮地茶
ADC-138,Rimexolone,瑞美松龙,C24H34O3,370.53 ,49697-38-3,,三萜,CCC(C1(C(CC2C3CCC4=CC(C=CC4(C3C(CC12C)O)C)=O)C)C)=O,"InChI=1S/C24H34O3/c1-6-20(27)24(5)14(2)11-18-17-8-7-15-12-16(25)9-10-22(15,3)21(17)19(26)13-23(18,24)4/h9-10,12,14,17-19,21,26H,6-8,11,13H2,1-5H3",QTTRZHGPGKRAFB-UHFFFAOYSA-N,矮地茶
