编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,分类,smiles,inchi,inchikey,药材名称
JB-011,扁柏双黄酮,hinokiflavone,19202-36-9,538.46,C30H18O10,,黄酮类,O=C1C=C(C2=CC=C(OC3=C(C=C4OC(C5=CC=C(O)C=C5)=CC(C4=C3O)=O)O)C=C2)OC6=C1C(O)=CC(O)=C6,"InChI=1S/C30H18O10/c31-16-5-1-14(2-6-16)24-12-21(35)28-26(40-24)13-22(36)30(29(28)37)38-18-7-3-15(4-8-18)23-11-20(34)27-19(33)9-17(32)10-25(27)39-23/h1-13,31-33,36-37H",WTDHMFBJQJSTMH-UHFFFAOYSA-N,卷柏
JB-012,苏铁双黄酮,sotetsuflavone,2608-21-1,552.48,C31H20O10,,黄酮类,COC(C=C(O)C1=C2OC(C3=CC=C(O)C=C3)=CC1=O)=C2C4=C(O)C=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=C4,"InChI=1S/C31H20O10/c1-39-26-13-23(38)30-22(37)12-24(14-2-5-16(32)6-3-14)41-31(30)28(26)18-8-15(4-7-19(18)34)25-11-21(36)29-20(35)9-17(33)10-27(29)40-25/h2-13,32-35,38H,1H3",OIFVLHZEBAXHPM-UHFFFAOYSA-N,卷柏
JB-013,红杉双黄酮,sequoiaflavone,21763-71-3,552.48,C31H20O10,,黄酮类,COC(C=C1OC(C2=CC(C3=C4C(C(C=C(O4)C5=CC=C(O)C=C5)=O)=C(O)C=C3O)=C(O)C=C2)=C6)=CC(O)=C1C6=O,"InChI=1S/C31H20O10/c1-39-17-9-20(34)29-23(37)12-26(40-27(29)10-17)15-4-7-19(33)18(8-15)28-21(35)11-22(36)30-24(38)13-25(41-31(28)30)14-2-5-16(32)6-3-14/h2-13,32-36H,1H3",TYUMAYSMJLPFAN-UHFFFAOYSA-N,卷柏
JB-014,银杏双黄酮,ginkgetin,481-46-9,566.51,C32H22O10,,黄酮类,COC(C=C1OC(C2=CC(C3=C4C(C(C=C(O4)C5=CC=C(O)C=C5)=O)=C(O)C=C3O)=C(OC)C=C2)=C6)=CC(O)=C1C6=O,"InChI=1S/C32H22O10/c1-39-18-10-20(34)30-23(37)13-27(41-28(30)11-18)16-5-8-25(40-2)19(9-16)29-21(35)12-22(36)31-24(38)14-26(42-32(29)31)15-3-6-17(33)7-4-15/h3-14,33-36H,1-2H3",AIFCFBUSLAEIBR-UHFFFAOYSA-N,卷柏
JB-015,穗花杉双黄酮,amentoflavone,1617-53-4,538.4579,C30H18O10,,黄酮类,OC1=CC=C(C2=CC(C3=C(O)C=C(O)C(C4=C(O)C=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=C4)=C3O2)=O)C=C1,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H",YUSWMAULDXZHPY-UHFFFAOYSA-N,卷柏
JB-016,新柳杉双黄酮,neocryptomerin,"	20931-36-6",552.48,C31H20O10,,黄酮类,COC(C=C1OC(C2=CC=C(OC3=C(O)C(C(C=C(O4)C5=CC=C(O)C=C5)=O)=C4C=C3O)C=C2)=C6)=CC(O)=C1C6=O,"InChI=1S/C31H20O10/c1-38-19-10-20(33)28-21(34)12-24(40-26(28)11-19)16-4-8-18(9-5-16)39-31-23(36)14-27-29(30(31)37)22(35)13-25(41-27)15-2-6-17(32)7-3-15/h2-14,32-33,36-37H,1H3",YEMFTKDEHYFESW-UHFFFAOYSA-N,卷柏
JB-017,橡胶树双黄酮,heveaflavone,23132-13-0,580.54,C33H24O10,,黄酮类,COC1=CC=C(C(O2)=CC(C3=C2C(C4=C(O)C=CC(C5=CC(C6=C(O)C=C(OC)C=C6O5)=O)=C4)=C(OC)C=C3O)=O)C=C1,"InChI=1S/C33H24O10/c1-39-18-7-4-16(5-8-18)26-14-24(37)32-25(38)15-28(41-3)30(33(32)43-26)20-10-17(6-9-21(20)34)27-13-23(36)31-22(35)11-19(40-2)12-29(31)42-27/h4-15,34-35,38H,1-3H3",NXPAGAZHSWSUFJ-UHFFFAOYSA-N,卷柏
JB-018,异柳杉双黄酮,isocryptomerin,20931-58-2,552.5,C31H20O10,,黄酮类,COC(C=C1O2)=C(OC3=CC=C(C4=CC(C5=C(O)C=C(O)C=C5O4)=O)C=C3)C(O)=C1C(C=C2C6=CC=C(O)C=C6)=O,"InChI=1S/C31H20O10/c1-38-27-14-26-29(22(36)13-24(41-26)15-2-6-17(32)7-3-15)30(37)31(27)39-19-8-4-16(5-9-19)23-12-21(35)28-20(34)10-18(33)11-25(28)40-23/h2-14,32-34,37H,1H3",PTKBMDRXKOIHCA-UHFFFAOYSA-N,卷柏
JB-019,异银杏双黄酮,isoginkgetin,548-19-6,566.5111,C32H22O10,,黄酮类,COC(C=C1O2)=C(OC3=CC=C(C4=CC(C5=C(O)C=C(O)C=C5O4)=O)C=C3)C(O)=C1C(C=C2C6=CC=C(O)C=C6)=O,"InChI=1S/C31H20O10/c1-38-27-14-26-29(22(36)13-24(41-26)15-2-6-17(32)7-3-15)30(37)31(27)39-19-8-4-16(5-9-19)23-12-21(35)28-20(34)10-18(33)11-25(28)40-23/h2-14,32-34,37H,1H3",PTKBMDRXKOIHCA-UHFFFAOYSA-N,卷柏
JB-020,罗汉松双黄酮 A,podocarpusflavone A,22136-74-9,552.48,C31H20O10,,黄酮类,COC1=CC=C(C2=CC(C3=C(O)C=C(O)C(C4=C(O)C=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=C4)=C3O2)=O)C=C1,"InChI=1S/C31H20O10/c1-39-17-5-2-14(3-6-17)25-13-24(38)30-22(36)11-21(35)28(31(30)41-25)18-8-15(4-7-19(18)33)26-12-23(37)29-20(34)9-16(32)10-27(29)40-26/h2-13,32-36H,1H3",RBTRUVNXLDXHBJ-UHFFFAOYSA-N,卷柏
JB-021,罗波斯塔双黄酮,robustaflavone,49620-13-5,538.46,C30H18O10,,黄酮类,OC1=CC=C(C(O2)=CC(C3=C2C=C(O)C(C4=C(O)C=CC(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)=C4)=C3O)=O)C=C1,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)23-11-22(37)29-26(39-23)12-20(35)27(30(29)38)17-7-14(3-6-18(17)33)24-10-21(36)28-19(34)8-16(32)9-25(28)40-24/h1-12,31-35,38H",BORWSEZUWHQTOK-UHFFFAOYSA-N,卷柏
JB-022,去甲银杏双黄酮,bilobetin,521-32-4,552.48,C31H20O10,,黄酮类,COC1=C(C2=C3C(C(C=C(O3)C4=CC=C(O)C=C4)=O)=C(O)C=C2O)C=C(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)C=C1,"InChI=1S/C31H20O10/c1-39-24-7-4-15(26-12-22(37)29-19(34)9-17(33)10-27(29)40-26)8-18(24)28-20(35)11-21(36)30-23(38)13-25(41-31(28)30)14-2-5-16(32)6-3-14/h2-13,32-36H,1H3",IWEIJEPIYMAGTH-UHFFFAOYSA-N,卷柏
