编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,smiles,inchi,inchikey,药材名称
DISU-087,橙黄胡椒酰胺,Aurantiamide,58115-31-4,402.494,C25H26N2O3,,苯丙素类,OC[C@@H](NC([C@H](CC1=CC=CC=C1)NC(C2=CC=CC=C2)=O)=O)CC3=CC=CC=C3,"InChI=1S/C25H26N2O3/c28-18-22(16-19-10-4-1-5-11-19)26-25(30)23(17-20-12-6-2-7-13-20)27-24(29)21-14-8-3-9-15-21/h1-15,22-23,28H,16-18H2,(H,26,30)(H,27,29)/t22-,23-/m0/s1",KSVKECXWDNCRTM-GOTSBHOMSA-N,瞿麦
DISU-088,灰绿曲霉酰胺,Aurantiamide acetate,56121-42-7,444.531,C27H28N2O4,,苯丙素类,O=C(N[C@H](CC1=CC=CC=C1)C(N[C@H](CC2=CC=CC=C2)COC(C)=O)=O)C3=CC=CC=C3,"InChI=1S/C27H28N2O4/c1-20(30)33-19-24(17-21-11-5-2-6-12-21)28-27(32)25(18-22-13-7-3-8-14-22)29-26(31)23-15-9-4-10-16-23/h2-16,24-25H,17-19H2,1H3,(H,28,32)(H,29,31)/t24-,25-/m1/s1",VZPAURMDJZOGHU-JWQCQUIFSA-N,瞿麦
DISU-089,对甲氧基苯基丙酮,4-Methoxyphenylacetone,122-84-9,164.204,C10H12O2,,其他,CC(CC1=CC=C(OC)C=C1)=O,"InChI=1S/C10H12O2/c1-8(11)7-9-3-5-10(12-2)6-4-9/h3-6H,7H2,1-2H3",WFWKNGZODAOLEO-UHFFFAOYSA-N,瞿麦
DISU-090,东莨菪内酯,Scopoletin,92-61-5,192.17, C10H8O4,,香豆素,OC1=C(OC)C=C(C=CC(O2)=O)C2=C1,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,瞿麦
DISU-091,,3-Hydroxy-6-methoxy-2H-1-benzopyran-2-one,3450-77-9,192.17, C10H8O4,,香豆素,O=C1C(O)=CC2=CC(OC)=CC=C2O1,"InChI=1S/C10H8O4/c1-13-7-2-3-9-6(4-7)5-8(11)10(12)14-9/h2-5,11H,1H3",JCRCMXRVNODTHE-UHFFFAOYSA-N,瞿麦
DISU-092,表松脂酚,Epipinoresinol,24404-50-0,358.39,C20H22O6,,萜类,OC1=CC=C([C@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O)C=C4)([H])[C@]3([H])CO2)C=C1OC,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19-,20+/m0/s1",HGXBRUKMWQGOIE-WZBLMQSHSA-N,瞿麦
DISU-093,松脂酚,Pinoresinol,487-36-5,358.39,C20H22O6,,萜类,OC1=CC=C([C@H]2[C@@](CO[C@H]3C4=CC(OC)=C(O)C=C4)([H])[C@@]3([H])CO2)C=C1OC,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19+,20+/m1/s1",HGXBRUKMWQGOIE-NSMLZSOPSA-N,瞿麦
DISU-094,,Prinsepiol,82667-99-0,390.388, C20H22O8,,萜类,OC1=CC=C([C@@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O)C=C4)(O)[C@]3(O)CO2)C=C1OC,"InChI=1S/C20H22O8/c1-25-15-7-11(3-5-13(15)21)17-19(23)9-28-18(20(19,24)10-27-17)12-4-6-14(22)16(8-12)26-2/h3-8,17-18,21-24H,9-10H2,1-2H3/t17-,18-,19+,20+/m1/s1",IUWMJMIMXOEDKV-ZRNYENFQSA-N,瞿麦
DISU-095,5'-甲氧基松脂素,Medioresinol,74465-40-0,388.416,C21H24O7,,萜类,OC1=CC=C([C@H]2[C@@](CO[C@H]3C4=CC(OC)=C(O)C(OC)=C4)([H])[C@@]3([H])CO2)C=C1OC,"InChI=1S/C21H24O7/c1-24-16-6-11(4-5-15(16)22)20-13-9-28-21(14(13)10-27-20)12-7-17(25-2)19(23)18(8-12)26-3/h4-8,13-14,20-23H,9-10H2,1-3H3/t13-,14-,20+,21+/m1/s1",VJOBNGRIBLNUKN-HANNOOJCSA-N,瞿麦
DISU-096,(+)-丁香树脂酚,(+)-Syringaresinol,21453-69-0,418.442,C22H26O8,,萜类,OC1=CC=C([C@H]2[C@@](CO[C@H]3C4=CC(OC)=C(O)C(OC)=C4)([H])[C@@]3([H])CO2)C=C1OC,"InChI=1S/C21H24O7/c1-24-16-6-11(4-5-15(16)22)20-13-9-28-21(14(13)10-27-20)12-7-17(25-2)19(23)18(8-12)26-3/h4-8,13-14,20-23H,9-10H2,1-3H3/t13-,14-,20+,21+/m1/s1",VJOBNGRIBLNUKN-HANNOOJCSA-N,瞿麦
