编号,英文名称,化合物名称,CAS号,分子式,分子量,2D图,结构,smiles,inchi,inchikey,药材名称
LEJA-036,Guanosine,鸟苷, 118-00-3,C10H13N5O5,282.0838,,生物碱,O=C1C2=C(N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C=N2)N=C(N)N1,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,益母草
LEJA-037,L-tryptophan,左旋色氨酸,73-22-3,C11H12N2O2,203.0823,,氨基酸,N[C@H](C(O)=O)CC1=CNC2=CC=CC=C21,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N,益母草
LEJA-038,Phenylalanine,苯丙氨酸,63-91-2,C9H11NO2,164.0705,,氨基酸,N[C@H](C(O)=O)CC1=CC=CC=C1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,益母草
LEJA-039,β-Sitosterol,β-谷甾醇, 83-46-5,414.718,C29H50O,,甾体,O[C@@H]1CC2=CC[C@]([C@@]3([H])[C@@](CC4)(C)[C@]([C@H](C)CC[C@@H](CC)C(C)C)([H])CC3)([H])[C@@]4([H])[C@@]2(C)CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,益母草
LEJA-040,Meranzin hydrate,橙皮内酯水合物,5875-49-0,278.304,C15H18O5,,香豆素,O[C@H](C(C)(O)C)CC1=C(OC(C=C2)=O)C2=CC=C1OC,"InChI=1S/C15H18O5/c1-15(2,18)12(16)8-10-11(19-3)6-4-9-5-7-13(17)20-14(9)10/h4-7,12,16,18H,8H2,1-3H3/t12-/m0/s1",KGGUASRIGLRPAX-LBPRGKRZSA-N,益母草
LEJA-041,Isomeranzin,异橙皮内酯,1088-17-1,260.289,C15H16O4,,香豆素,O=C(C(C)C)CC1=C(OC(C=C2)=O)C2=CC=C1OC,"InChI=1S/C15H16O4/c1-9(2)12(16)8-11-13(18-3)6-4-10-5-7-14(17)19-15(10)11/h4-7,9H,8H2,1-3H3",OMOYQLRHKFGVGN-UHFFFAOYSA-N,益母草
LEJA-042,Isoimperatorin,异欧前胡素,482-45-1,270.284,C16H14O4,,香豆素,O=C1OC2=CC(OC=C3)=C3C(OC/C=C(C)/C)=C2C=C1,"InChI=1S/C16H14O4/c1-10(2)5-7-19-16-11-3-4-15(17)20-14(11)9-13-12(16)6-8-18-13/h3-6,8-9H,7H2,1-2H3",IGWDEVSBEKYORK-UHFFFAOYSA-N,益母草
LEJA-043,Octadecatrienoic acid,α-亚麻酸,463-40-1,278.436,C18H30O2,,脂肪酸,O=C(CCCCCCC/C=C\C/C=C\C/C=C\CC)O,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N,益母草
LEJA-044,Tyrosol,,501-94-0,138.16,C8H10O2,,其他,OC1=CC=C(CCO)C=C1,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2",YCCILVSKPBXVIP-UHFFFAOYSA-N,益母草
LEJA-045,Tyrosol 8-O-β-D-glucopyranoside,,/,302.2276,C14H20O7,,糖苷类,OC1=CC=C(CCO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,"InChI=1S/C14H20O7/c15-7-10-11(17)12(18)13(19)14(21-10)20-6-5-8-1-3-9(16)4-2-8/h1-4,10-19H,5-7H2/t10-,11-,12+,13-,14-/m1/s1",ILRCGYURZSFMEG-RKQHYHRCSA-N,益母草
LEJA-046,,2-(2-hydroxyethyl)-4-methoxybenzoic acid,947150-37-0,196.2,C10H12O4,,酚酸,OCCC1=CC(OC)=CC=C1C(O)=O,"InChI=1S/C10H12O4/c1-14-8-2-3-9(10(12)13)7(6-8)4-5-11/h2-3,6,11H,4-5H2,1H3,(H,12,13)",FBRJKTJCHDJUEF-UHFFFAOYSA-N,益母草
LEJA-047,,"3-hydroxyl-1-(4-hydroxy-3,5-dimethoxyphenyl)-1-propanone",88865-55-8,223.225,C11H13NO4,,酚酸,OC1=C(OC)C=CC=C1OC.OCCC(C)=O,"InChI=1S/C8H10O3.C4H8O2/c1-10-6-4-3-5-7(11-2)8(6)9;1-4(6)2-3-5/h3-5,9H,1-2H3;5H,2-3H2,1H3",NYDPPEKHWJRTJO-UHFFFAOYSA-N,益母草
LEJA-048,Vanillic acid,香草酸,121-34-6,168.147,C8H8O4,,酚酸,OC1=C(OC)C=C(C(O)=O)C=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,益母草
LEJA-049,Syringic acid,丁香酸,530-57-4,198.173,C9H10O5,,酚酸,OC1=C(OC)C=C(C(O)=O)C=C1OC,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,益母草
