                                                                        山香圆叶化学成分分析,,,,,,,,,,,
编号,化合物名称,英文名称,分子式,分子量,CAS,2D图,化合物种类,smiles,inchi,inchikey,药材名称
SXYY-0021,木犀草素-7-O-β-D-吡喃葡萄糖苷,/,C21H20O11,448.1006,5373/11/5,,黄酮类[2],O=C1C2=C(O)C=C(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)C=C2OC(C4=CC(O)=C(C=C4)O)=C1,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1",PEFNSGRTCBGNAN-QNDFHXLGSA-N,山香圆叶
SXYY-0022,木犀草素,Luteolin,C15H10O6,286.0477,491-70-3,,黄酮类[2],OC(C=C1OC(C2=CC(O)=C(O)C=C2)=C3)=CC(O)=C1C3=O,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,山香圆叶
SXYY-0023,新地奥斯明,neodiosmin,C28H32O15,608.1741,38665-01-9,,黄酮类[2],O=C1C2=C(O)C=C(O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)C=C2OC(C5=CC(O)=C(C=C5)OC)=C1,"InChI=1S/C28H32O15/c1-10-21(33)23(35)25(37)27(39-10)43-26-24(36)22(34)19(9-29)42-28(26)40-12-6-14(31)20-15(32)8-17(41-18(20)7-12)11-3-4-16(38-2)13(30)5-11/h3-8,10,19,21-31,33-37H,9H2,1-2H3/t10-,19+,21-,22+,23+,24-,25+,26+,27-,28+/m0/s1",VCCNKWWXYVWTLT-CYZBKYQRSA-N,山香圆叶
SXYY-0024,芹菜素-7-O-芸香糖苷,/,C27H30O14,578.1636,552-57-8,,黄酮类[2],O=C1C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@@H](O)[C@H](O)[C@H]3O)C=C2OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C27H30O14/c1-10-20(31)22(33)24(35)26(38-10)37-9-18-21(32)23(34)25(36)27(41-18)39-13-6-14(29)19-15(30)8-16(40-17(19)7-13)11-2-4-12(28)5-3-11/h2-8,10,18,20-29,31-36H,9H2,1H3/t10-,18+,20-,21+,22+,23-,24+,25+,26+,27+/m0/s1",FKIYLTVJPDLUDL-SLNHTJRHSA-N,山香圆叶
SXYY-0025,槲皮素-3-O-α-L-吡喃阿拉伯糖苷,/,C20H18O11,434.0849,22255-13-6,,黄酮类[2],OC1=C2C(OC(C3=CC(O)=C(O)C(O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)CO4)=C3)=CC2=O)=CC(O)=C1,"InChI=1S/C20H18O11/c21-8-3-9(22)16-10(23)5-13(30-14(16)4-8)7-1-11(24)17(26)15(2-7)31-20-19(28)18(27)12(25)6-29-20/h1-5,12,18-22,24-28H,6H2/t12-,18-,19+,20-/m0/s1",MOJNAYLABXOGSJ-CPVQVEMSSA-N,山香圆叶
SXYY-0026,金丝桃苷,Hyperoside,C21H20O12,464.0955,482-36-0,,黄酮类[3],O=C(C(O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)=C(C2=CC(O)=C(C=C2)O)OC3=CC(O)=C4)C3=C4O,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,山香圆叶
SXYY-0027,槲皮素-3-β-洋槐糖苷,/,C27H30O16,610.1534,52525-35-6,,黄酮类[3],O=C(C(O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)=C(C3=CC(O)=C(C=C3)O)OC4=CC(O)=C5)C4=C5O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18-,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-IEBISRBZSA-N,山香圆叶
SXYY-0028,对羟基桂皮酸,3-Phenylpropionic acid,C9H10O2,150.0681,501-52-0,,酚酸类[3],O=C(O)CCC1=CC=CC=C1,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",XMIIGOLPHOKFCH-UHFFFAOYSA-N,山香圆叶
SXYY-0029,没食子酸乙酯,Ethyl gallate,C9H10O5,198.0528,831-61-8,,酚酸类[3],CCOC(C1=CC(O)=C(O)C(O)=C1)=O,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,山香圆叶
SXYY-0030,/,Eucomic acid,C13H16O6,268.0947,60449-49-2,,酚酸类[3],OC(C=C1)=CC=C1C[C@@](C(OC)=O)(O)CC(OC)=O,"InChI=1S/C13H16O6/c1-18-11(15)8-13(17,12(16)19-2)7-9-3-5-10(14)6-4-9/h3-6,14,17H,7-8H2,1-2H3/t13-/m1/s1",AZHGIISRNOVCAU-CYBMUJFWSA-N,山香圆叶
SXYY-0031,香草酸,Vanillic acid,C8H8O4,168.0423,121-34-6,,酚酸类[3],COC1=C(O)C=CC(C(O)=O)=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,山香圆叶
SXYY-0032,焦没食子酸,Pyrogallol,C6H6O3,126.0317,87-66-1,,酚酸类[3],OC1=C(O)C(O)=CC=C1,"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H",WQGWDDDVZFFDIG-UHFFFAOYSA-N,山香圆叶
SXYY-0033,β-谷甾醇,beta-Sitosterol,C29H50O,414.3862,83-46-5,,其它类[3],C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O)=CC3)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,山香圆叶
SXYY-0034,环丁二酸酐,/,C4H4O3,100.016,108-30-5,,其它类[3],O=C(O1)CCC1=O,InChI=1S/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2,InChI=1S/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2,山香圆叶
SXYY-0035,α-呋喃甲酸,/,C5H4O3,112.016,488-93-7,,其它类[3],O=C(O)C1=COC=C1,"InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)",IHCCAYCGZOLTEU-UHFFFAOYSA-N,山香圆叶
SXYY-0036,肉蔻酸,Myristic acid,C14H28O2,228.2089,544-63-8,,其它类[3],CCCCCCCCCCCCCC(O)=O,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",TUNFSRHWOTWDNC-UHFFFAOYSA-N,山香圆叶
SXYY-0037,胡萝卜苷,EleutherosideA,C35H60O6,576.439,474-58-8,,其它类[3],C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)=CC3)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,山香圆叶
SXYY-0038,山香圆苷A,/,C19H35O8,391.2332,/,,大柱烷类[3],C[C@H](O)/C=C/[C@@]1(O)[C@H](C)C[C@H](O2[C@@H](O)[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC1(C)C,"InChI=1S/C19H35O8/c1-10-7-12(8-18(3,4)19(10,26)6-5-11(2)21)27-16(24)13(9-20)14(22)15(23)17(27)25/h5-6,10-17,20-26H,7-9H2,1-4H3/b6-5+/t10-,11+,12+,13-,14-,15+,16-,17+,19-/m1/s1",PLVCXEYCDLGTFS-WQUDFCSPSA-N,山香圆叶
SXYY-0039,山香圆苷B,/,C19H35O8,391.2332,/,,大柱烷类[3],C[C@H](O1[C@@H](O)[C@H](CO)C(O)[C@H](O)[C@H]1O)/C=C/[C@@]2(O)[C@H](C)C[C@H](O)CC2(C)C,"InChI=1S/C19H35O8/c1-10-7-12(21)8-18(3,4)19(10,26)6-5-11(2)27-16(24)13(9-20)14(22)15(23)17(27)25/h5-6,10-17,20-26H,7-9H2,1-4H3/b6-5+/t10-,11+,12+,13-,14?,15+,16-,17+,19-/m1/s1",IVFCNRZLMJCFPO-JQFWPQEZSA-N,山香圆叶
SXYY-0040,山香圆苷C,/,C19H37O8,393.2488,/,,大柱烷类[3],C[C@@H](O)CCC1[C@H](C)C[C@H](O2[C@@H](O)[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C[C@@]1(CO)C,"InChI=1S/C19H37O8/c1-10-6-12(7-19(3,9-21)14(10)5-4-11(2)22)27-17(25)13(8-20)15(23)16(24)18(27)26/h10-18,20-26H,4-9H2,1-3H3/t10-,11-,12+,13-,14?,15-,16+,17-,18+,19-/m1/s1",PVQGGTVMLYQQPN-SBHFWGQHSA-N,山香圆叶
SXYY-0041,山香圆苷D,/,C13H24O3,228.1725,/,,大柱烷类[3],C[C@@H](O)CCC1=C(C)C(O)C(O)CC1(C)C,"InChI=1S/C13H24O3/c1-8(14)5-6-10-9(2)12(16)11(15)7-13(10,3)4/h8,11-12,14-16H,5-7H2,1-4H3/t8-,11?,12?/m1/s1",NDXYJUFMTYNDEP-HUUUCTMMSA-N,山香圆叶
SXYY-0042,山香圆苷E,/,C19H33O8,389.2175,/,,大柱烷类[3],C[C@@H](O)CCC1=C(C)C(C[C@H](O2[C@@H](O)[C@H](CO)[C@@H](O)C(O)[C@H]2O)C1(C)C)=O,"InChI=1S/C19H33O8/c1-9(21)5-6-12-10(2)13(22)7-14(19(12,3)4)27-17(25)11(8-20)15(23)16(24)18(27)26/h9,11,14-18,20-21,23-26H,5-8H2,1-4H3/t9-,11-,14+,15-,16?,17-,18+/m1/s1",JGMKIUYDIUYQLW-TXRLQFRFSA-N,山香圆叶
SXYY-0043,"(3s,5R,6R,9s)-3,5,6,9-四羟基大柱烷",/,C13H24O4,244.1675,/,,大柱烷类[3],C[C@H](O)/C=C/[C@@]1(O)[C@](C)(O)CC(O)CC1(C)C,"InChI=1S/C13H24O4/c1-9(14)5-6-13(17)11(2,3)7-10(15)8-12(13,4)16/h5-6,9-10,14-17H,7-8H2,1-4H3/b6-5+/t9-,10?,12+,13-/m0/s1",CTCKPFXFWVNGLG-RPOUIIKJSA-N,山香圆叶
SXYY-0044,黄麻紫罗苷C,/,C18H29O8,373.1862,/,,大柱烷类[3],C[C@H](O1[C@@H](O)[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)/C=C/[C@@]2(O)C=CC(CC2(C)C)=O,"InChI=1S/C18H29O8/c1-10(4-6-18(25)7-5-11(20)8-17(18,2)3)26-15(23)12(9-19)13(21)14(22)16(26)24/h4-7,10,12-16,19,21-25H,8-9H2,1-3H3/b6-4+/t10-,12+,13+,14-,15+,16-,18+/m0/s1",OAZKECUATBKKRE-HSTCQSGASA-N,山香圆叶
SXYY-0045,淫羊藿次苷B4,/,C18H31O8,375.2019,/,,大柱烷类[3],C[C@@]1(O2[C@@H](O)[C@H](CO)[C@@H](O)C(O)[C@H]2O)C(CCC(C)=O)=C(C)CC(O)C1,"InChI=1S/C18H31O8/c1-9-6-11(21)7-18(3,13(9)5-4-10(2)20)26-16(24)12(8-19)14(22)15(23)17(26)25/h11-12,14-17,19,21-25H,4-8H2,1-3H3/t11?,12-,14-,15?,16-,17+,18+/m1/s1",ZSVLVISBTYPVPM-XSQMFWFOSA-N,山香圆叶
SXYY-0046,木犀草素-7-O-α-L-吡喃鼠李糖基-( 1→2)-β-D-吡喃葡萄糖苷,/,C27H30O15,594.1585,25694-72-8,,黄酮类[4],OC[C@H]1O[C@@H](OC2=CC(O)=C(C(C=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C2)[C@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@@H]1O,"InChI=1S/C27H30O15/c1-9-20(33)22(35)24(37)26(38-9)42-25-23(36)21(34)18(8-28)41-27(25)39-11-5-14(31)19-15(32)7-16(40-17(19)6-11)10-2-3-12(29)13(30)4-10/h2-7,9,18,20-31,33-37H,8H2,1H3/t9-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",SHPPXMGVUDNKLV-KMFFXDMSSA-N,山香圆叶
