序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
67,黄酮及其苷类,SZY-067,新夏佛塔苷,neoschaftoside,61328-41-4,C26H28O14,564.49,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C([C@H]4C(O)[C@@H](O)[C@H](O)C(CO)O4)C(O)=C3[C@@H]5C(O)[C@H](O)[C@@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13?,17+,18+,21-,22?,23?,25+,26-/m0/s1",MMDUKUSNQNWVET-CYKGWVDRSA-N,山楂叶
68,黄酮及其苷类,SZY-068,异夏佛塔苷,isoschaftoside,52012-29-0,C26H28O14,564.49,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(OC(C3=CC=C(O)C=C3)=CC4=O)=C4C(O)=C1[C@H]5[C@H](O)[C@@H](O)[C@@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)16-20(34)15(25-22(36)17(31)11(30)7-38-25)19(33)14-10(29)5-12(39-24(14)16)8-1-3-9(28)4-2-8/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13+,17-,18+,21-,22+,23+,25-,26-/m0/s1",OVMFOVNOXASTPA-VYUBKLCTSA-N,山楂叶
69,黄酮及其苷类,SZY-069,维采宁1,vicenin1 (6-C-xylsoyl-8-C-glucosyl apigenin),35927-38-9,C26H28O14,564.49,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(OC(C3=CC=C(O)C=C3)=CC4=O)=C4C(O)=C1[C@H]5[C@H](O)[C@@H](O)[C@H](O)CO5,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)16-20(34)15(25-22(36)17(31)11(30)7-38-25)19(33)14-10(29)5-12(39-24(14)16)8-1-3-9(28)4-2-8/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13-,17+,18-,21+,22-,23-,25+,26+/m1/s1",OVMFOVNOXASTPA-MCIQUCDDSA-N,山楂叶
70,黄酮及其苷类,SZY-070,维采宁2,"vicenin 2(6,8-diglucosyl apigenin)",23666-13-9,C27H30O15,594.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@@H]1[C@@H](O)[C@H](C2=C3C(C(C=C(C4=CC=C(O)C=C4)O3)=O)=C(O)C([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C2O)O[C@H](CO)[C@H]1O,"InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2/t12-,13-,17-,18-,21+,22+,23-,24-,26+,27+/m1/s1",FIAAVMJLAGNUKW-VQVVXJKKSA-N,山楂叶
71,黄酮及其苷类,SZY-071,维采宁3,vicenin 3(6-C-glueosyl-8-C-xylosyl Apigenin),59914-91-9,C26H28O14,564.49,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(O)=C3[C@H]5[C@@H]([C@H]([C@@H](CO5)O)O)O,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13-,17+,18-,21+,22-,23-,25+,26+/m1/s1",MMDUKUSNQNWVET-MCIQUCDDSA-N,山楂叶
72,黄酮及其苷类,SZY-072,,pinnatifinoside(A),/,C24H24O9,456.45,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C(O2)=CC(C3=C2C(C[C@@]4(O[C@](C)(CO)[C@](O)(C)[C@@]4(O)C)O5)=C5C=C3O)=O,"InChI=1S/C24H24O9/c1-21(11-25)22(2,29)23(3,30)24(33-21)10-14-18(32-24)9-16(28)19-15(27)8-17(31-20(14)19)12-4-6-13(26)7-5-12/h4-9,25-26,28-30H,10-11H2,1-3H3/t21?,22-,23+,24+/m1/s1",VBWXNAQAUWSBRI-KCNMBCDYSA-N,山楂叶
73,黄酮及其苷类,SZY-073,,pinnatifinoside(B),\,C23H21O8,425.41,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C(O2)=CC(C3=C2C(C[C@@]4(O[C@](C)([CH2OHAcetyl])[C@](O)(C)[C@@]4(O)C)O5)=C5C=C3O)=O,,,山楂叶
74,黄酮及其苷类,SZY-074,,pinnatifinoside(C),\,C23H21O8,425.41,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C(O2)=CC(C3=C2C(C[C@@]4(O[C@](C)([CH2OHAcetyl])[C@](O)(C)[C@@]4(C)O)O5)=C5C=C3O)=O,,,山楂叶
75,黄酮及其苷类,SZY-075,,pinnatifinoside(D),\,C23H21O8,425.41,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C(O2)=CC(C3=C2C(C[C@@]4(O[C@](C)(O)[C@]([CH2OHAcetyl])(C)[C@@]4(O)C)O5)=C5C=C3O)=O,,,山楂叶
76,黄酮及其苷类,SZY-076,,pinnatifinoside(I),\,C23H24O8,439.44,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C(O2)=CC(C3=C2C(C[C@@]4([C@@](C)(O)[C@](C)([Acetyl])[C@@](C)(CO)O4)O5)=C5C=C3O)=O,,,山楂叶
77,有机酸类,SZY-077,苯甲酸,benzoic acid,65-85-0,C7H6O2,122.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C1=CC=CC=C1)=O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,山楂叶
78,有机酸类,SZY-078,"2,3-二羟基苯甲酸","2,3-Dihydroxybenzoic acid",303-38-8,C7H6O4,154.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)C1=CC=CC(O)=C1O,"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)",GLDQAMYCGOIJDV-UHFFFAOYSA-N,山楂叶
79,有机酸类,SZY-079,"2,4-二羟基苯甲酸","2,4-Dihydroxybenzoic acid",89-86-1,C7H6O4,154.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(O)=CC=C1C(O)=O,"InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)",UIAFKZKHHVMJGS-UHFFFAOYSA-N,山楂叶
