序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
128,甾醇类,SZY-128,β-谷甾醇,β-sitosterol,83-46-5,C29H50O,414.707,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@]1([C@]([C@@H](CC[C@@H](C(C)C)CC)C)([H])CC2)[C@]2([H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@]4([H])CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21+,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-FBZNIEFRSA-N,山楂叶
129,甾醇类,SZY-129,胡萝卜苷,Daucosterol,474-58-8,C35H60O6,576.847,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2CC3=CC[C@]([C@@](CC[C@]4([H])[C@@H](CC[C@H](CC)C(C)C)C)([H])[C@]4(C)CC5)([H])[C@@]5([H])[C@@]3(C)CC2)[C@@H]1O,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22+,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-VPFCYKORSA-N,山楂叶
130,苯丙素类,SZY-130,绿原酸,Chlorogenic acid,327-97-9,C16H18O9,354.309,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]1[C@@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)C[C@](O)(C(O)=O)C1,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,山楂叶
131,氨基酸类,SZY-131,谷氨酸,glutamate,56-86-0,C5H9NO4,147.129,,"[5]赵中杰,江佩芬,刘建国,等.山楂和山楂叶的氨基酸分析[J].天然产物研究与开发,1992,(02):60-62.",O=C(O)[C@@H](N)CCC(O)=O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",WHUUTDBJXJRKMK-VKHMYHEASA-N,山楂叶
132,氨基酸类,SZY-132,天冬氨酸,aspartic acid,6899/3/2,C4H7NO4,133.103,,"[5]赵中杰,江佩芬,刘建国,等.山楂和山楂叶的氨基酸分析[J].天然产物研究与开发,1992,(02):60-63.",OC(C([H])(CC(O)=O)N)=O,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",CKLJMWTZIZZHCS-REOHCLBHSA-N,山楂叶
133,氨基酸类,SZY-133,丙氨酸,alanine ,338-69-2,C3H7NO2,89.093,,"[5]赵中杰,江佩芬,刘建国,等.山楂和山楂叶的氨基酸分析[J].天然产物研究与开发,1992,(02):60-64.",O=C(O)[C@H](N)C,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",QNAYBMKLOCPYGJ-UWTATZPHSA-N,山楂叶
134,氨基酸类,SZY-134,胱氨酸,cystine,56-89-3,"C6H12N2O4S2	",240.301,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)C(N)CSSC[C@H](N)C(O)=O,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4?/m0/s1",LEVWYRKDKASIDU-WUCPZUCCSA-N,山楂叶
135,氨基酸类,SZY-135,异亮氨酸,isoleucine,131598-62-4,C6H13NO2,131.173,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(N(C(N)=C1NCC)C)NC1=O,"InChI=1S/C7H12N4O2/c1-3-9-4-5(8)11(2)7(13)10-6(4)12/h9H,3,8H2,1-2H3,(H,10,12,13)",CQTYPMGBSFAJIN-UHFFFAOYSA-N,山楂叶
136,氨基酸类,SZY-136,亮氨酸,leucine,26782-71-8,C6H13NO2,131.173,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@@H](C(O)=O)C(C)(C)C,"InChI=1S/C6H13NO2/c1-6(2,3)4(7)5(8)9/h4H,7H2,1-3H3,(H,8,9)/t4-/m0/s1",NPDBDJFLKKQMCM-BYPYZUCNSA-N,山楂叶
137,氨基酸类,SZY-137,苏氨酸,threonine,72-19-5,C4H9NO3,119.119,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@H](C(O)=O)[C@H](O)C,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",AYFVYJQAPQTCCC-GBXIJSLDSA-N,山楂叶
138,氨基酸类,SZY-138,缬氨酸,valine,72-18-4,C5H11NO2,117.146,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@H](C(O)=O)C(C)C,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",KZSNJWFQEVHDMF-BYPYZUCNSA-N,山楂叶
139,氨基酸类,SZY-139,焦谷氨酸,L-Pyroglutamic acid,98-79-3,C5H7NO3,129.114,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1CC[C@@H](C(O)=O)N1,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1",ODHCTXKNWHHXJC-VKHMYHEASA-N,山楂叶
140,氨基酸类,SZY-140,丝氨酸,serine,302-84-1,C3H7NO3,105.093,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C([O-])C([NH3+])CO,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)",MTCFGRXMJLQNBG-UHFFFAOYSA-N,山楂叶
141,氨基酸类,SZY-141,甘氨酸,glycine,56-40-6,C2H5NO2,75.067,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)CN,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,山楂叶
142,氨基酸类,SZY-142,蛋氨酸,methionine,63-68-3,C5H11NO2S,149.211,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC([C@@H](N)CCSC)=O,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,山楂叶
143,氨基酸类,SZY-143,苯丙氨酸,phenylalanine,62056-68-2,C9H11NO2,165.189,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@@H](C)C(OC1=CC=CC=C1)=O,"InChI=1S/C9H11NO2/c1-7(10)9(11)12-8-5-3-2-4-6-8/h2-7H,10H2,1H3/t7-/m0/s1",HCRMTRJXSDDOIK-ZETCQYMHSA-N,山楂叶
144,氨基酸类,SZY-144,酪氨酸,tyrosine,60-18-4,C9H11NO3,181.189,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,山楂叶
145,氨基酸类,SZY-145,赖氨酸,lysine,56-87-1,C6H14N2O2,146.188,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@H](C(O)=O)CCCCN,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N,山楂叶
146,氨基酸类,SZY-146,组氨酸,histidine,71-00-1,C6H9N3O2,155.155,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@H](C(O)=O)CC1=CNC=N1,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",HNDVDQJCIGZPNO-YFKPBYRVSA-N,山楂叶
147,氨基酸类,SZY-147,精氨酸,arginine,157-07-3,C6H13N3O3,175.186,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H](C(O)=O)CCCNC(N)=N,"InChI=1S/C6H13N3O3/c7-6(8)9-3-1-2-4(10)5(11)12/h4,10H,1-3H2,(H,11,12)(H4,7,8,9)/t4-/m0/s1",BMFMQGXDDJALKQ-BYPYZUCNSA-N,山楂叶
148,氨基酸类,SZY-148,脯氨酸,proline,"
147-85-3",C5H9NO2,115.131,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC([C@H]1NCCC1)=O,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,山楂叶
149,含氮化合物,SZY-149,异丁胺,Isobutylamine,78-81-9,C4H11N,73.1368,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(CN)C,"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3",KDSNLYIMUZNERS-UHFFFAOYSA-N,山楂叶
150,含氮化合物,SZY-150,苯乙胺,phenylethylamine,2627-86-3,C8H11N,121.18,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",N[C@@H](C)C1=CC=CC=C1,"InChI=1S/C8H11N/c1-7(9)8-5-3-2-4-6-8/h2-7H,9H2,1H3/t7-/m0/s1",RQEUFEKYXDPUSK-ZETCQYMHSA-N,山楂叶
151,含氮化合物,SZY-151,2-甲氧基苯乙胺,2-O-methoxyphenethylamine,2045-79-6,C9H13NO,151.206,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",COC1=CC=CC=C1CCN,"InChI=1S/C9H13NO/c1-11-9-5-3-2-4-8(9)6-7-10/h2-5H,6-7,10H2,1H3",WSWPCNMLEVZGSM-UHFFFAOYSA-N,山楂叶
152,含氮化合物,SZY-152,胆碱,choline,62-49-7,C5H14NO,104.17,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OCC[N+](C)(C)C,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,山楂叶
153,含氮化合物,SZY-153,二甲胺,dimethylamine,124-40-3,C2H7N,45.084,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",ROSDSFDQCJNGOL-UHFFFAOYSA-N,山楂叶
154,含氮化合物,SZY-154,酪胺,tyramine,51-67-2,C8H11NO,137.179,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",NCCC1=CC=C(O)C=C1,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",DZGWFCGJZKJUFP-UHFFFAOYSA-N,山楂叶
155,含氮化合物,SZY-155,三甲胺,trimethylamine),"75-50-3
",C3H9N,59.11,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N,山楂叶
156,含氮化合物,SZY-156,精胺,spermindine,71-44-3,C10H26N4,202.34,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",NCCCNCCCCNCCCN,"InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2",PFNFFQXMRSDOHW-UHFFFAOYSA-N,山楂叶
157,含氮化合物,SZY-157,乙胺,ethylamine,1975/4/7,C2H7N,45.084,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CCN,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",QUSNBJAOOMFDIB-UHFFFAOYSA-N,山楂叶
158,含氮化合物,SZY-158,乙酰胆碱,acetylcholine,51-84-3,C7H16NO2,146.207,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C)OCC[N+](C)(C)C,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,山楂叶
159,含氮化合物,SZY-159,异戊胺,isoamylamine,107-85-7,C5H13N,87.163,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(C)CCN,"InChI=1S/C5H13N/c1-5(2)3-4-6/h5H,3-4,6H2,1-2H3",BMFVGAAISNGQNM-UHFFFAOYSA-N,山楂叶
160,芳香族化合物,SZY-160,3-乙氧基-4-羟基苯甲酸,3-ethoxy-4-hydroxy-Benzoic acid,5438-38-0,C9H10O4,182.173,,"[1]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-217.",OC1=CC=C(C(O)=O)C=C1OCC,"InChI=1S/C9H10O4/c1-2-13-8-5-6(9(11)12)3-4-7(8)10/h3-5,10H,2H2,1H3,(H,11,12)",QFDSMZGWVHEDHT-UHFFFAOYSA-N,山楂叶
161,芳香族化合物,SZY-161,"3,4-二甲氧基苯丙醛","3-(3,4-Dimethylphenyl)propanal",19938-01-3,C11H14O,162.228,,"[1]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-217.",O=CCCC1=CC=C(C)C(C)=C1,"InChI=1S/C11H14O/c1-9-5-6-11(4-3-7-12)8-10(9)2/h5-8H,3-4H2,1-2H3",YBUXFZICSZNQTQ-UHFFFAOYSA-N,山楂叶
162,芳香族化合物,SZY-162,3-甲氧基-4-甲基苯甲酸,3-Methoxy-4-methylbenzoic acid,7151-68-0,C9H10O3,166.174,,"[1]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-217.",COC1=CC(C(O)=O)=CC=C1C,"InChI=1S/C9H10O3/c1-6-3-4-7(9(10)11)5-8(6)12-2/h3-5H,1-2H3,(H,10,11)",CEAVPXDEPGAVDA-UHFFFAOYSA-N,山楂叶
163,芳香族化合物,SZY-163,对乙氧基苯甲酸,p-Ethoxybenzoic acid,619-86-3,C9H10O3,166.174,,"[1]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-217.",O=C(C(C=C1)=CC=C1OCC)O,"InChI=1S/C9H10O3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3,(H,10,11)",SHSGDXCJYVZFTP-UHFFFAOYSA-N,山楂叶
164,芳香族化合物,SZY-164,对甲基苯甲酸,4-Methylbenzoic acid,99-94-5,C8H8O2,136.148,,"[1]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-217.",OC(C1=CC=C(C)C=C1)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)",LPNBBFKOUUSUDB-UHFFFAOYSA-N,山楂叶
165,芳香族化合物,SZY-165,对甲氧基苯丙酸,3-(4-Methoxyphenyl)propanoic acid,1929-29-9,C10H12O3,180.201,,"[6]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-218.",COC1=CC=C(CCC(O)=O)C=C1,"InChI=1S/C10H12O3/c1-13-9-5-2-8(3-6-9)4-7-10(11)12/h2-3,5-6H,4,7H2,1H3,(H,11,12)",FIUFLISGGHNPSM-UHFFFAOYSA-N,山楂叶
166,芳香族化合物,SZY-166,反式对乙氧基桂皮酸,4-Acetoxycinnamic acid,15486-19-8,C11H10O4,206.1947,,"[6]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-219.",O=C(O)/C=C/C1=CC=C(OC(C)=O)C=C1,"InChI=1S/C11H10O4/c1-8(12)15-10-5-2-9(3-6-10)4-7-11(13)14/h2-7H,1H3,(H,13,14)/b7-4+",BYHBHNKBISXCEP-QPJJXVBHSA-N,山楂叶
167,芳香族化合物,SZY-167,对羟基苯甲醛,4-hydroxybenzaldehyde,123-08-0,C7H6O2,122.121,,"[6]周晨晨,刘春婷,黄肖霄,等.山楂叶中芳香族化合物的分离和鉴定[J].中国药物化学杂志,2013,23(03):213-220.",OC1=CC=C(C=O)C=C1,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",RGHHSNMVTDWUBI-UHFFFAOYSA-N,山楂叶
168,糖类,SZY-168,果糖,Fructose,7660-25-5,C6H12O6,180.156,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@@H]1CO[C@@](CO)(O)C(O)[C@@H]1O,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5?,6-/m1/s1",LKDRXBCSQODPBY-DUVQVXGLSA-N,山楂叶
169,糖类,SZY-169,葡萄糖,dextrose,492-62-6,C6H12O6,180.156,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)O[C@@H]1CO,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1",WQZGKKKJIJFFOK-DVKNGEFBSA-N,山楂叶
170,糖类,SZY-170,山梨醇,Dulcitol,608-66-2,C6H14O6,182.172,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-",FBPFZTCFMRRESA-GUCUJZIJSA-N,山楂叶
171,糖类,SZY-171,蔗糖,sucrose,57-50-1,C12H22O11,342.297,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]([C@@H](CO)O[C@H](O[C@@]1(O[C@H](CO)[C@@H](O)[C@@H]1O)CO)[C@@H]2O)[C@@H]2O,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,山楂叶
172,挥发油类,SZY-172,丙酸香茅酯,Citronellyl propionate,141-14-0,C13H24O2,212.328,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-546.",O=C(CC)OCCC(CC/C=C(C)/C)C,"InChI=1S/C13H24O2/c1-5-13(14)15-10-9-12(4)8-6-7-11(2)3/h7,12H,5-6,8-10H2,1-4H3",POPNTVRHTZDEBW-UHFFFAOYSA-N,山楂叶
173,挥发油类,SZY-173,反-水合桧烯,4-thujanol,546-79-2,C10H18O,154.249,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-547.",O[C@]1(C)CC[C@]2(C(C)C)C[C@H]12,"InChI=1S/C10H18O/c1-7(2)10-5-4-9(3,11)8(10)6-10/h7-8,11H,4-6H2,1-3H3/t8-,9-,10-/m1/s1",KXSDPILWMGFJMM-OPRDCNLKSA-N,山楂叶
174,挥发油类,SZY-174,罗汉柏烯酸,(-)-thujopsene,470-40-6,C15H24,204.351,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-548.",C[C@@]12[C@](C3)(C(C)(C)CCC2)[C@@H]3C(C)=CC1,"InChI=1S/C15H24/c1-11-6-9-14(4)8-5-7-13(2,3)15(14)10-12(11)15/h6,12H,5,7-10H2,1-4H3/t12-,14-,15-/m0/s1",WXQGPFZDVCRBME-QEJZJMRPSA-N,山楂叶
175,挥发油类,SZY-175,乙酸冰片酯,Bornyl acetate,20347-65-3,C12H20O2,196.286,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-549.",CC(O[C@@H]1[C@](C2(C)C)(C)CC[C@]2([H])C1)=O,"InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3/t9-,10+,12+/m1/s1",KGEKLUUHTZCSIP-SCVCMEIPSA-N,山楂叶
176,挥发油类,SZY-176,异戊酸芳樟酯,LINALYL ISOVALERATE,50649-12-2,C15H26O2,238.366,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-550.",CC(CC(O)=O)CC(C=C)(C)CC/C=C(C)\C,"InChI=1S/C15H26O2/c1-6-15(5,9-7-8-12(2)3)11-13(4)10-14(16)17/h6,8,13H,1,7,9-11H2,2-5H3,(H,16,17)",RMVKXHCNPKFQOM-UHFFFAOYSA-N,山楂叶
177,挥发油类,SZY-177,异戊酸甲酯,Methyl isovalerate,556-24-1,C6H12O2,116.16,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-551.",CC(C)CC(OC)=O,"InChI=1S/C6H12O2/c1-5(2)4-6(7)8-3/h5H,4H2,1-3H3",OQAGVSWESNCJJT-UHFFFAOYSA-N,山楂叶
178,挥发油类,SZY-178,,nezukol,14699-32-2,C20H34O,290.483,,"[7]崔凤侠,杜义龙,杜晓鹃,等.山楂叶挥发油成分的GC-MS分析[J].沈阳药科大学学报,2014,31(07):542-552.",C[C@@]12[C@](CC[C@]3(C)[C@]2(C)CCCC3(C)C)(O)C[C@H](CC=C)CC1,"InChI=1S/C22H38O/c1-7-9-17-10-13-21(6)20(5)12-8-11-18(2,3)19(20,4)14-15-22(21,23)16-17/h7,17,23H,1,8-16H2,2-6H3/t17-,19+,20+,21-,22-/m1/s1",AGWGYBOEFRRKBN-WHCFWRGISA-N,山楂叶
