编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
XYL-011,"8,7-二异戊二烯基槲皮素-3-甲醚","8,7-diisoprenyl quercetin-3-methyl ether",,452.18,C26H28O7,,黄酮类,O=C1C(OC)=C(C2=C(C/C=C(C)/C)C(O)=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C/C=C(C)\C,"InChI=1S/C26H28O7/c1-13(2)6-8-15-16(10-11-18(27)22(15)30)25-26(32-5)23(31)21-20(29)12-19(28)17(24(21)33-25)9-7-14(3)4/h6-7,10-12,27-30H,8-9H2,1-5H3",NHEIAQXGXMZLQZ-UHFFFAOYSA-N,小叶莲
XYL-012,鬼臼毒素,Podophyllotoxin,518-28-5,414.4,C22H22O8,,苯丙素类,[H][C@]12COC([C@@]1([C@H](C3=CC4=C(C=C3[C@@H]2O)OCO4)C5=CC(OC)=C(C(OC)=C5)[O])[H])=O,"InChI=1S/C21H19O8/c1-25-15-3-9(4-16(26-2)20(15)23)17-10-5-13-14(29-8-28-13)6-11(10)19(22)12-7-27-21(24)18(12)17/h3-6,12,17-19,22H,7-8H2,1-2H3/t12-,17-,18-,19-/m0/s1",VUVQMQCBGOTRGA-TUCQFJRYSA-N,小叶莲
XYL-013,去氧鬼臼毒素,deoxypodophyllotoxin,19186-35-7,398.4,"	
C22H22O7",,苯丙素类,COC1=C(OC)C(OC)=CC([C@H]2C3=C(C=C(OCO4)C4=C3)CC5C2C(OC5)=O)=C1,"InChI=1S/C22H22O7/c1-24-17-6-12(7-18(25-2)21(17)26-3)19-14-8-16-15(28-10-29-16)5-11(14)4-13-9-27-22(23)20(13)19/h5-8,13,19-20H,4,9-10H2,1-3H3/t13?,19-,20?/m0/s1",ZGLXUQQMLLIKAN-BEAMIBIHSA-N,小叶莲
XYL-014,4'-去甲鬼臼毒素,4'-Demethylpodophyllotoxin,"	40505-27-9",400.38,C21H20O8,,苯丙素类,O=C(OC1)[C@]([C@@]1([H])[C@H]2O)([H])[C@H](C3=CC(OC)=C(O)C(OC)=C3)C4=C2C=C(OCO5)C5=C4,"InChI=1S/C21H20O8/c1-25-15-3-9(4-16(26-2)20(15)23)17-10-5-13-14(29-8-28-13)6-11(10)19(22)12-7-27-21(24)18(12)17/h3-6,12,17-19,22-23H,7-8H2,1-2H3/t12-,17+,18-,19-/m0/s1",YVCVYCSAAZQOJI-BTINSWFASA-N,小叶莲
XYL-015,4 '-去甲去氧鬼臼毒素,4’－Demethyldeoxypodophyllotoxin,3590-93-0,384.38,"	C21H20O7",,苯丙素类,O=C1OC[C@]2([H])CC3=C(C=C4OCOC4=C3)[C@@H](C5=CC(OC)=C(O)C(OC)=C5)[C@]21[H],"InChI=1S/C21H20O7/c1-24-16-5-11(6-17(25-2)20(16)22)18-13-7-15-14(27-9-28-15)4-10(13)3-12-8-26-21(23)19(12)18/h4-7,12,18-19,22H,3,8-9H2,1-2H3/t12-,18+,19-/m0/s1",RFDMNXDDRXVJTM-RQUSPXKASA-N,小叶莲
XYL-016,5-羟基麦芽酚,5-Hydroxymaltol,1073-96-7,142.11,"	
C6H6O4",,酚酸类,O=C1C(O)=C(C)OC=C1O,"InChI=1S/C6H6O4/c1-3-5(8)6(9)4(7)2-10-3/h2,7-8H,1H3",SSSNQLHKSUJJTE-UHFFFAOYSA-N,小叶莲
XYL-017,对羟基苯甲酸,4-Hydroxybenzoic acid,99-96-7,138.12,C7H6O3,,酚酸类,O=C(O)C1=CC=C(O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,小叶莲
XYL-018,香草酸,Vanillic acid,121-34-6,168.15,C8H8O4,,酚酸类,COC1=CC(C(O)=O)=CC=C1O,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,小叶莲
XYL-019,"2,4,6-三羟基苯甲酸乙酯","Benzoic acid, 2,4,6-trihydroxy-, ethyl ester","	90536-74-6",198.17,C9H10O5,,酚酸类,O=C(OCC)C1=C(O)C=C(O)C=C1O,"InChI=1S/C9H10O5/c1-2-14-9(13)8-6(11)3-5(10)4-7(8)12/h3-4,10-12H,2H2,1H3",UBOJATHNUASNAV-UHFFFAOYSA-N,小叶莲
XYL-020,对羟基苯甲酸乙酯,Ethylparaben,120-47-8,166.17,C9H10O3,,酚酸类,OC(C=C1)=CC=C1C(OCC)=O,"InChI=1S/C9H10O3/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6,10H,2H2,1H3",NUVBSKCKDOMJSU-UHFFFAOYSA-N,小叶莲
