编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-029,川芎萘呋内酯,Wallichilide,C25H32O5,412.5260 ,93236-64-7,,挥发油,CCCCC([C@]12[C@]3([H])C4=C(CC[C@]3([H])[C@](CC2)([H])C=C1C(OC)=O)/C(OC4=O)=C/CCC)=O,"InChI=1S/C25H32O5/c1-4-6-8-19-17-11-10-16-15-12-13-25(20(26)9-7-5-2,18(14-15)23(27)29-3)22(16)21(17)24(28)30-19/h8,14-16,22H,4-7,9-13H2,1-3H3/b19-8-/t15-,16+,22-,25+/m0/s1",HADAHVQGKBBPPW-NLQWGDCSSA-N,川芎
CX-030," 3(S)-3-丁基-4,5-二氢苯酞","3(S)-3-Butyl-4,5-dihydrophthalide",C12H18O2,208.3010 ,/,,其他,O=C(C(O)[C@H]1CCCC)C2=C1CCCC2,"InChI=1S/C13H20O2/c1-2-3-6-10-9-7-4-5-8-11(9)13(15)12(10)14/h10,12,14H,2-8H2,1H3/t10-,12?/m0/s1",CVFCICVCBHKFEL-NUHJPDEHSA-N,川芎
CX-031," 4,7-二羟基-3-丁基苯酞"," 4,7-Dihydroxy-3-butylphthalide",C12H14O4,222.2400 ,/,,其他,OC1=C(C(O[C@H]2CCCC)=O)C2=C(O)C=C1,"InChI=1S/C12H14O4/c1-2-3-4-9-10-7(13)5-6-8(14)11(10)12(15)16-9/h5-6,9,13-14H,2-4H2,1H3/t9-/m0/s1",QTMNSNQNVBIAJF-VIFPVBQESA-N,川芎
CX-032,4-羟基-3-丁基苯酞,4-hydroxy-3-butylphthalide,C12H14O3,206.2410 ,/,,其他,OC1=C(C(O[C@H]2CCCC)=O)C2=C(O)C=C1,"InChI=1S/C12H14O4/c1-2-3-4-9-10-7(13)5-6-8(14)11(10)12(15)16-9/h5-6,9,13-14H,2-4H2,1H3/t9-/m0/s1",QTMNSNQNVBIAJF-VIFPVBQESA-N,川芎
CX-033, 正丁基苯酞,Butylphthalide,C12H14O2,190.2420 ,6066-49-5,,其他,O=C1OC(CCCC)C2=C1C=CC=C2,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-7,11H,2-3,8H2,1H3",HJXMNVQARNZTEE-UHFFFAOYSA-N,川芎
CX-034,洋川芎内酯A,Senkyunolide A,C12H16O2,192.2580 ,63038-10-8,,其他,O=C(O[C@H]1CCCC)C2=C1CCC=C2,"InChI=1S/C12H16O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7,11H,2-4,6,8H2,1H3/t11-/m0/s1",ZPIKVDODKLJKIN-NSHDSACASA-N,川芎
CX-035,洋川芎内酯G,Senkyunolide G, C12H16O3,208.2570 ,94530-85-5,,其他,CCCCC1(O)C2=C(C(O1)=O)C=CCC2,"InChI=1S/C12H16O3/c1-2-3-8-12(14)10-7-5-4-6-9(10)11(13)15-12/h4,6,14H,2-3,5,7-8H2,1H3",JGIFAEPLZJPSHA-UHFFFAOYSA-N,川芎
CX-036,洋川芎内酯H,Senkyunolide H,C12H16O4,224.2560 ,94596-27-7,,其他,O[C@H]1C2=C(CC[C@H]1O)/C(OC2=O)=C/CCC,"InChI=1S/C12H16O4/c1-2-3-4-9-7-5-6-8(13)11(14)10(7)12(15)16-9/h4,8,11,13-14H,2-3,5-6H2,1H3/b9-4-/t8-,11-/m1/s1",DQNGMIQSXNGHOA-OBEBJBLMSA-N,川芎
CX-037,Z-亚丁基苯酞,Z-Butylidenephthalide,C12H12O2,188.2260 ,72917-31-8,,其他,CCC/C=C1C2=CC=CC=C2C(O/1)=O,"InChI=1S/C12H12O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-8H,2-3H2,1H3/b11-8-",,川芎
CX-038,"(Z)-6,7-环氧藁本内酯","Z-6,7-Epoxyligustilide",C12H14O3,206.2410 ,210036-10-5,,挥发油,O=C1C2=C(/C(O1)=C/CCC)CCC3([H])C2([H])O3,"InChI=1S/C12H14O3/c1-2-3-4-8-7-5-6-9-11(14-9)10(7)12(13)15-8/h4,9,11H,2-3,5-6H2,1H3/b8-4-",ZCTBULGQERTBEG-YWEYNIOJSA-N,川芎
