编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-126,d-莰烯,d-Camphene,C10H16,136.2380 ,5794-03-6,,萜类,CC1([C@@]2([H])C[C@@](CC2)([H])C1=C)C,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9+/m0/s1",CRPUJAZIXJMDBK-DTWKUNHWSA-N,川芎
CX-127,十五烷酸甲醚,Methyl pentadecanoate,C16H32O2,256.4300 ,7132-64-1,,脂肪酸类,O=C(CCCCCCCCCCCCCC)OC,"InChI=1S/C16H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18-2/h3-15H2,1-2H3",XIUXKAZJZFLLDQ-UHFFFAOYSA-N,川芎
CX-128,腺嘌呤,Adenine,C5H5N5,135.1300 ,73-24-5,,其他,NC1=NC=NC2=C1NC=N2,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N,川芎
CX-129,腺苷,Adenosine,C10H13N5O4,267.2450 ,46946-45-6,,其他,O[C@H]1[C@@H](O[C@@H]([C@H]1O)CO)N2C3=NC=NC(N)=C3N=C2,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,川芎
CX-130,4-乙烯基-2-甲氧基苯酚,4-Vinylguaiacol,C9H10O2,150.1770 ,7786-61-0,,其他,OC1=CC=C(C=C1OC)C=C,"InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3",YOMSJEATGXXYPX-UHFFFAOYSA-N,川芎
CX-131,尿嘧啶,Uracil,C4H4N2O2,112.0880 ,66-22-8,,其他,O=C1C=CNC(N1)=O,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",ISAKRJDGNUQOIC-UHFFFAOYSA-N,川芎
CX-132,大黄酚,Chrysophanol,C15H10O4,254.2410 ,481-74-3,,醌类,O=C1C2=C(C(C3=C(C=C(C)C=C13)O)=O)C(O)=CC=C2,"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3",LQGUBLBATBMXHT-UHFFFAOYSA-N,川芎
CX-133,糠醛,Furfural,C5H4O2,96.0850 ,98-01-1,,其他,O=CC1=CC=CO1,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,HYBBIBNJHNGZAN-UHFFFAOYSA-N,川芎
CX-134,沉香螺醇,Agarospirol,C15H26O,222.3720 ,1460-73-7,,萜类,C[C@H]1[C@]2(C(C)=CCC1)C[C@@H](CC2)C(C)(O)C,"InChI=1S/C15H26O/c1-11-6-5-7-12(2)15(11)9-8-13(10-15)14(3,4)16/h6,12-13,16H,5,7-10H2,1-4H3/t12-,13-,15+/m1/s1",ICWHTQRTTHCUHW-NFAWXSAZSA-N,川芎
CX-135,亚油酸甲酯,Methyl linoleate,C19H34O2,294.4790 ,112-63-0,,脂肪酸类,CCCCC/C=C\C/C=C\CCCCCCCC(OC)=O,"InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7-,11-10-",WTTJVINHCBCLGX-NQLNTKRDSA-N,川芎
CX-136,亚油酸乙酯,Ethyl linoleate,C20H36O2,308.5060 ,544-35-4,,脂肪酸类,CCCCC/C=C\C/C=C\CCCCCCCC(OC)=O,"InChI=1S/C19H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8,10-11H,3-6,9,12-18H2,1-2H3/b8-7-,11-11-",WTTJVINHCBCLGX-NQLNTKRDSA-N,川芎
CX-137,蓝桉醇,Globulol,C15H26O,222.3720 ,489-41-8,,其他,CC1([C@@]2([H])[C@@]3([H])[C@](CC[C@H]3C)([H])[C@](O)(CC[C@]21[H])C)C,"InChI=1S/C15H26O/c1-9-5-6-10-12(9)13-11(14(13,2)3)7-8-15(10,4)16/h9-13,16H,5-8H2,1-4H3/t9-,10-,11-,12-,13-,15-/m1/s1",AYXPYQRXGNDJFU-QTPLKFIXSA-N,川芎
CX-138,苯甲醇,Benzyl alcohol,C7H8O,108.1400 ,1336-27-2,,其他,OCC1=CC=CC=C1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N,川芎
CX-139,"1,1-二甲基环戊烷","1,1-Dimethylcyclopentane",C7H14,98.1890 ,1638-26-2,,其他,CC1(CCCC1)C,"InChI=1S/C7H14/c1-7(2)5-3-4-6-7/h3-6H2,1-2H3",QWHNJUXXYKPLQM-UHFFFAOYSA-N,川芎
CX-140,α-柏木萜烯,α-Funebrene,C15H24,204.3570 ,50894-66-1,,萜类,C[C@H]1[C@]23[C@](CC1)([H])C(C)([C@](C(C)=CC3)([H])C2)C,"InChI=1S/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h7,11-13H,5-6,8-9H2,1-4H3/t11-,12-,13+,15-/m1/s1",IRAQOCYXUMOFCW-GUIRCDHDSA-N,川芎
CX-141,香橙烯,Aromadendrene,C15H24,204.3570 ,489-39-4,,萜类,CC1([C@@]2([H])[C@@]3([H])[C@](CC[C@H]3C)([H])C(CC[C@]21[H])=C)C,"InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h10-14H,1,5-8H2,2-4H3/t10-,11+,12-,13-,14-/m1/s1",ITYNGVSTWVVPIC-XVIXHAIJSA-N,川芎
CX-142,顺甲基异丁香酚,cis-Methylisoeugenol,C11H14O2,178.2310 ,6380-24-1,,挥发油,COC1=C(C=CC(/C=C\C)=C1)OC,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3/b5-4-",NNWHUJCUHAELCL-PLNGDYQASA-N,川芎
CX-143,麝香草酚,Thymol,C10H14O,150.2210 ,89-83-8,,其他,OC1=CC(C)=CC=C1C(C)C,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3",MGSRCZKZVOBKFT-UHFFFAOYSA-N,川芎
CX-144,β-榄香烯,(-)-β-Elemene,C15H24,204.3570 ,515-13-9,,萜类,CC([C@H]1[C@@](C)(CC[C@H](C1)C(C)=C)C=C)=C,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",OPFTUNCRGUEPRZ-QLFBSQMISA-N,川芎
CX-145,3-异丙基-6-亚甲基-1-环己烯,β-Phellandrene,C10H16,136.2380 ,555-10-2,,其他,C=C1C=CC(C(C)C)CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3",LFJQCDVYDGGFCH-UHFFFAOYSA-N,川芎
CX-146,γ-松油烯,γ-Terpinene,C10H16,136.2380 ,99-85-4,,萜类,CC1=CCC(C(C)C)=CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3",YKFLAYDHMOASIY-UHFFFAOYSA-N,川芎
CX-147,,(+)-α-Phellandrene,C10H16,136.2380 ,2243-33-6,,萜类,CC([C@@H]1CC=C(C=C1)C)C,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m0/s1",OGLDWXZKYODSOB-JTQLQIEISA-N,川芎
CX-148,"(R)-3,7-二甲基-1,6-辛二烯-3-醇",(-)-Linalool,C10H18O,154.2530 ,126-91-0,,其他,C/C(C)=C\CC[C@@](C)(O)C=C,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3/t10-/m0/s1",CDOSHBSSFJOMGT-JTQLQIEISA-N,川芎
CX-149,月桂烯,Myrcene,C10H16,136.2380 ,123-35-3,,其他,C=CC(CC/C=C(C)/C)=C,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",UAHWPYUMFXYFJY-UHFFFAOYSA-N,川芎
CX-150,3-乙基甲苯,1-Ethyl-3-methylbenzene,C9H12,120.1950 ,620-14-4,,其他,CCC1=CC(C)=CC=C1,"InChI=1S/C9H12/c1-3-9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3",ZLCSFXXPPANWQY-UHFFFAOYSA-N,川芎
CX-151,,Augustic acid,C30H48O4,472.7100 ,26707-60-8,,三萜,C[C@]12[C@]3(C([C@@]4([H])[C@@](CC3)(CCC(C)(C4)C)C(O)=O)=CC[C@]1([H])[C@@]5([C@@](C(C)([C@H]([C@H](C5)O)O)C)([H])CC2)C)C,"InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MDZKJHQSJHYOHJ-KRGADYIYSA-N,川芎
CX-152,α-芹子烯,α-Selinene,C15H24,254.3570 ,473-13-2,,萜类,C[C@]12[C@@](C(C)=CCC2)([H])C[C@@H](CC1)C(C)=C,"InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h6,13-14H,1,5,7-10H2,2-4H3/t13-,14+,15-/m1/s1",OZQAPQSEYFAMCY-QLFBSQMISA-N,川芎
CX-153,"(E,E)-2,6-二甲基-2,4,6-辛三烯",trans-Alloocimene,C10H16,136.2380 ,3016-19-1,,萜类,C/C(C)=C\C=C\C(C)=C\C,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5-8H,1-4H3/b8-6+,10-5+",GQVMHMFBVWSSPF-SOYUKNQTSA-N,川芎
CX-154,,Verbenene,C10H14,134.2220 ,4080-46-0,,萜类,C=C1C=CC2CC1C2(C)C,"InChI=1S/C10H14/c1-7-4-5-8-6-9(7)10(8,2)3/h4-5,8-9H,1,6H2,2-3H3",YOQFOABVDRBYCG-UHFFFAOYSA-N,川芎
CX-155,苯戊酮,Valerophenone,C11H14O,162.2320 ,1009-14-9,,苯丙素,O=C(CCCC)C1=CC=CC=C1,"InChI=1S/C11H14O/c1-2-3-9-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3",XKGLSKVNOSHTAD-UHFFFAOYSA-N,川芎
CX-156,丁醛二乙缩醛,"1,1-Diethoxybutane",C8H18O2,146.2300 ,3658-95-5,,其他,CCOC(CCC)OCC,"InChI=1S/C8H18O2/c1-4-7-8(9-5-2)10-6-3/h8H,4-7H2,1-3H3",UVHXZFGCCJLFMX-UHFFFAOYSA-N,川芎
CX-157,,Cyclohexane,C10H20,140.2700 ,6783-92-2,,萜类,CC1CCCC(C)(C)C1C,"InChI=1S/C10H20/c1-8-6-5-7-10(3,4)9(8)2/h8-9H,5-7H2,1-4H3",BUOAKQCLRBVIOX-UHFFFAOYSA-N,川芎
CX-158,环十二烯,Cyciododecene,C12H22,166.3080 ,1501-82-2,,挥发油,C1CCCCC/C=C/CCCC1,"InChI=1S/C12H22/c1-2-4-6-8-10-12-11-9-7-5-3-1/h1-2H,3-12H2/b2-1+",HYPABJGVBDSCIT-OWOJBTEDSA-N,川芎
CX-159,"对薄荷-1,3,8-三烯",p-Menthatriene, C10H14,134.2220 ,18368-95-1,,挥发油,CC1=CC=C(C(C)=C)CC1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3",XNMPFDIYAMOYRM-UHFFFAOYSA-N,川芎
CX-160,2-甲基-5-异丙基-二环[3.1.0]己烷-2-醇,Sabinene hydrate,C10H18O,154.2530 ,546-79-2,,挥发油,CC(C12CCC(C)(O)C1C2)C,"InChI=1S/C10H18O/c1-7(2)10-5-4-9(3,11)8(10)6-10/h7-8,11H,4-6H2,1-3H3",KXSDPILWMGFJMM-UHFFFAOYSA-N,川芎
CX-161,,cis-Piperitol,C10H18O,154.2530 ,16721-38-3,,挥发油,CC1=CC(O)C(C(C)C)CC1,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9-11H,4-5H2,1-3H3",HPOHAUWWDDPHRS-UHFFFAOYSA-N,川芎
CX-162,beta-细辛脑,beta-Asarone,C12H16O3,208.2570 ,5273-86-9,,挥发油,C/C=C/C1=CC(OC)=C(OC)C=C1OC,"InChI=1S/C12H16O3/c1-5-6-9-7-11(14-3)12(15-4)8-10(9)13-2/h5-8H,1-4H3/b6-5+",RKFAZBXYICVSKP-AATRIKPKSA-N,川芎
CX-163,,beta-Cubebene,C15H24,204.3570 ,13744-15-5,,萜类,CC1CCC(C(C)C)C2C13C2C(CC3)=C,"InChI=1S/C15H24/c1-9(2)12-6-5-11(4)15-8-7-10(3)13(15)14(12)15/h9,11-14H,3,5-8H2,1-2,4H3",FSRZGYRCMPZNJF-UHFFFAOYSA-N,川芎
CX-164,黏蒿三烯,Artemisia triene,C10H16,136.2380 ,29548-02-5,,萜类,CC(/C=C/C(C)(C=C)C)=C,"InChI=1S/C10H16/c1-6-10(4,5)8-7-9(2)3/h6-8H,1-2H2,3-5H3/b8-7+",BYLJEQIUXOYKOB-BQYQJAHWSA-N,川芎
CX-165,β-倍半水芹烯,beta-Sesquiphellandrene, C15H24,204.3570 ,20307-83-9,,萜类,CC(C1CCC(C=C1)=C)CC/C=C(C)\C,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,10,14-15H,3,5,7,9,11H2,1-2,4H3",PHWISBHSBNDZDX-UHFFFAOYSA-N,川芎
CX-166,瑟丹酸,Sedanonic acid,C12H18O3,210.2730 , 6697-07-0,,酚酸,CCCCC(C1CCCC=C1C(O)=O)=O,"InChI=1S/C12H18O3/c1-2-3-8-11(13)9-6-4-5-7-10(9)12(14)15/h7,9H,2-6,8H2,1H3,(H,14,15)",PHVSWPDOXIQPTN-UHFFFAOYSA-N,川芎
CX-167,孕烯醇酮,pregnenolone,C21H32O2,316.4850 ,145-13-1,,其他,CC(C1CCC2C1(C)CCC3C2CC=C4C3(C)CCC(O)C4)=O,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3",ORNBQBCIOKFOEO-UHFFFAOYSA-N,川芎
CX-168,川芎哚,Perlolyrine,C16H12N2O2,264.2840 ,29700-20-7,,生物碱,OCC(O1)=CC=C1C2=NC=CC3=C2NC4=CC=CC=C43,"InChI=1S/C16H12N2O2/c19-9-10-5-6-14(20-10)16-15-12(7-8-17-16)11-3-1-2-4-13(11)18-15/h1-8,18-19H,9H2",KFUCYPGCMLPUMT-UHFFFAOYSA-N,川芎
CX-169,1-乙酰基-2-苯基肼,Hydracetin,C8H10N2O,150.1810 , 114-83-0,,生物碱,CC(NNC1=CC=CC=C1)=O,"InChI=1S/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)",UICBCXONCUFSOI-UHFFFAOYSA-N,川芎
CX-170,2-(4-甲基苯基)丙-2-醇,8-Hydroxy-p-cymene,C10H14O,150.2210 ,1197-01-9,,萜类,CC1=CC=C(C(C)(O)C)C=C1,"InChI=1S/C10H14O/c1-8-4-6-9(7-5-8)10(2,3)11/h4-7,11H,1-3H3",XLPDVYGDNRIQFV-UHFFFAOYSA-N,川芎
CX-171,异丁酰苯,Isobutyrophenone, C10H12O,148.2050 ,611-70-1,,挥发油,CC(C(C1=CC=CC=C1)=O)C,"InChI=1S/C10H12O/c1-8(2)10(11)9-6-4-3-5-7-9/h3-8H,1-2H3",BSMGLVDZZMBWQB-UHFFFAOYSA-N,川芎
CX-172, 1-松油醇,1-Terpineol,C10H18O,154.2530 , 586-82-3,,萜类,CC(C1=CCC(C)(O)CC1)C,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,8,11H,5-7H2,1-3H3",XJWZDXFFNOMMTD-UHFFFAOYSA-N,川芎
CX-173,反式-6-(异丙基)-3-甲基环己-2-烯-1-醇,trans-Piperitol, C10H18O,154.2530 ,16721-39-4,,萜类,CC1=CC(O)C(C(C)C)CC1,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9-11H,4-5H2,1-3H3",HPOHAUWWDDPHRS-UHFFFAOYSA-N,川芎
CX-174, 1-羟基-3-环己烯,3-Cyclohexen-1-ol,C6H10O,95.1450 ,822-66-2,,其他,OC1CCC=CC1,"InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-2,6-7H,3-5H2",ABZZOPIABWYXSN-UHFFFAOYSA-N,川芎
CX-175,2-甲基苯并唑,2-Methylbenzoxazole,C8H7NO,133.1500 ,95-21-6,,其他,CC1=NC2=CC=CC=C2O1,"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",DQSHFKPKFISSNM-UHFFFAOYSA-N,川芎
CX-176,香芹醇, CARVEOL,C10H16O,152.2370 ,99-48-9,,其他,CC1=CCC(C(C)=C)CC1O,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3",BAVONGHXFVOKBV-UHFFFAOYSA-N,川芎
CX-177,2-甲基-1-苯基丙烯,2-Methyl-1-phenylpropene,C10H12,132.2060 ,768-49-0,,挥发油,C/C(C)=C/C1=CC=CC=C1,"InChI=1S/C10H12/c1-9(2)8-10-6-4-3-5-7-10/h3-8H,1-2H3",BTOVVHWKPVSLBI-UHFFFAOYSA-N,川芎
CX-178,2-丙酰呋喃,2-Propionylfuran,C7H8O2,124.1390 ,3194-15-8,,其他,CCC(C1=CC=CO1)=O,"InChI=1S/C7H8O2/c1-2-6(8)7-4-3-5-9-7/h3-5H,2H2,1H3",HCPORNAVHSWTOJ-UHFFFAOYSA-N,川芎
CX-179,咖啡酸甲酯,Caffeic acid methyl ester,C10H10O4,194.1860 ,3843-74-1,,苯丙素,COC(/C=C/C1=CC(O)=C(O)C=C1)=O,"InChI=1S/C10H10O4/c1-14-10(13)5-3-7-2-4-8(11)9(12)6-7/h2-6,11-12H,1H3/b5-3+",OCNYGKNIVPVPPX-HWKANZROSA-N,川芎
CX-180,异阿魏酸,Isoferulic acid,C10H10O4,194.1860 ,537-73-5,,挥发油,COC1=C(O)C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",QURCVMIEKCOAJU-HWKANZROSA-N,川芎
CX-181,,homosenkyunolide H,C13H18O4,238.2830 ,/,,其他,OC1CCC2=C(C(O/C2=C\CCCC)=O)C1O,"InChI=1S/C13H18O4/c1-2-3-4-5-10-8-6-7-9(14)12(15)11(8)13(16)17-10/h5,9,12,14-15H,2-4,6-7H2,1H3/b10-5-",RPQMMYCOKKAFTQ-YHYXMXQVSA-N,川芎
CX-182,反式咖啡酸乙酯,Ethyl caffeate, C11H12O4,208.2130 ,66648-50-8,,苯丙素,CCOC(/C=C/C1=CC(O)=C(O)C=C1)=O,"InChI=1S/C11H12O4/c1-2-15-11(14)6-4-8-3-5-9(12)10(13)7-8/h3-7,12-13H,2H2,1H3/b6-4+",WDKYDMULARNCIS-GQCTYLIASA-N,川芎
