编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
YHS-013,降氧化北美黄连次碱,noroxyhydrastinine,21796-14-5,191.183,C10H9NO3,,生物碱类,O=C1C2=CC3=C(OCO3)C=C2CCN1,"InChI=1S/C10H9NO3/c12-10-7-4-9-8(13-5-14-9)3-6(7)1-2-11-10/h3-4H,1-2,5H2,(H,11,12)",VSOJKDUWYQCWFM-UHFFFAOYSA-N,化橘红
YHS-014,去氢紫堇鳞茎碱,dehydrocorybulbine,59870-72-3,352.41,C21H22NO4,,生物碱类,OC1C(OC)CC(C2=C(C)C(CCC(OC)C3OC)C3C=[N+]2CC4)C4C1,"InChI=1S/C21H34NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-17(23)19(25-3)10-15(13)20(12)22/h11,13-19,21,23H,5-10H2,1-4H3/q+1",QIZCPBVJVJUIHF-UHFFFAOYSA-N,化橘红
YHS-015,黄连素, berberine,2086-83-1,336.361,C20H18NO4+,,生物碱类,COC1=CC=C2C(C=[N+](CCC3=C4C=C5C(OCO5)=C3)C4=C2)=C1OC,"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1",YBHILYKTIRIUTE-UHFFFAOYSA-N,化橘红
YHS-016,南天竹啡碱,nantenine,2565/1/7,339.39,C20H21NO4,,生物碱类,COC1=C(OC)C2=C3C(N(C)CCC3=C1)CC4=CC5=C(OCO5)C=C42,"InChI=1S/C20H21NO4/c1-21-5-4-11-7-17(22-2)20(23-3)19-13-9-16-15(24-10-25-16)8-12(13)6-14(21)18(11)19/h7-9,14H,4-6,10H2,1-3H3",WSVWKHTVFGTTKJ-UHFFFAOYSA-N,化橘红
YHS-017,L-四氢小檗碱, tetrahydroberberine,522-97-4,339.385,C20H21NO4,,生物碱类,C12=CC=C3C(CN(CCC4=C5C=C6C(OCO6)=C4)C5C3)=C1OCO2,"InChI=1S/C19H17NO4/c1-2-16-19(24-10-21-16)14-8-20-4-3-12-6-17-18(23-9-22-17)7-13(12)15(20)5-11(1)14/h1-2,6-7,15H,3-5,8-10H2",UXYJCYXWJGAKQY-UHFFFAOYSA-N,化橘红
YHS-018,异紫堇球碱,isocorybulbine,22672-74-8,355.428,C21H25NO4,,生物碱类,COC1=C(OC)C=CC2=C1CN3CCC4=C(C=C(O)C(OC)=C4)C3C2C,"InChI=1S/C21H25NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-19(25-3)17(23)10-15(13)20(12)22/h5-6,9-10,12,20,23H,7-8,11H2,1-4H3",UABBYTGYXLXVNA-UHFFFAOYSA-N,化橘红
YHS-019,海罂粟碱, glaucine,475-81-0,355.427,C21H25NO4,,生物碱类,CN1C2C(C(C(C=C(OC)C(OC)=C3)=C3C2)=C(OC)C(OC)=C4)=C4CC1,"InChI=1S/C21H25NO4/c1-22-7-6-12-9-18(25-4)21(26-5)20-14-11-17(24-3)16(23-2)10-13(14)8-15(22)19(12)20/h9-11,15H,6-8H2,1-5H3",RUZIUYOSRDWYQF-UHFFFAOYSA-N,化橘红
YHS-020,去氢海罂粟碱,dehydroglaucine,22212-26-6,353.412,C21H23NO4,,生物碱类,COC1=C(OC)C2=C3C(N(C)CCC3=C1)CC4=CC(OC)=C(OC)C=C42,"InChI=1S/C21H25NO4/c1-22-7-6-12-9-18(25-4)21(26-5)20-14-11-17(24-3)16(23-2)10-13(14)8-15(22)19(12)20/h9-11,15H,6-8H2,1-5H3",RUZIUYOSRDWYQF-UHFFFAOYSA-N,化橘红
YHS-021,右旋紫堇鳞茎碱,corybulbine,518-77-4,355.428,C21H25NO4,,生物碱类,COC1=C2C(C(C)C(C(C=C(OC)C(O)=C3)=C3CC4)N4C2)=CC=C1OC,"InChI=1S/C21H25NO4/c1-12-14-5-6-18(24-2)21(26-4)16(14)11-22-8-7-13-9-17(23)19(25-3)10-15(13)20(12)22/h5-6,9-10,12,20,23H,7-8,11H2,1-4H3",OBVLTWCOTSTMNM-UHFFFAOYSA-N,化橘红
YHS-022,二氢白屈菜红碱,Dihydrochelerythrine,6880-91-7,349.38,C21H19NO4,,生物碱类,CN1C2=C(C=CC3=C2C=C4C(OCO4)=C3)C5=CC=C(OC)C(OC)=C5C1,"InChI=1S/C21H19NO4/c1-22-10-16-13(6-7-17(23-2)21(16)24-3)14-5-4-12-8-18-19(26-11-25-18)9-15(12)20(14)22/h4-9H,10-11H2,1-3H3",ALZAZMCIBRHMFF-UHFFFAOYSA-N,化橘红
YHS-023,大黄素,emodin,518-82-1,270.237,C15H10O5,,蒽醌类,O=C1C2=C(C(O)=CC(O)=C2)C(C3=C(O)C=C(C)C=C31)=O,"InChI=1S/C15H10O5/c1-6-2-8-12(10(17)3-6)15(20)13-9(14(8)19)4-7(16)5-11(13)18/h2-5,16-18H,1H3",RHMXXJGYXNZAPX-UHFFFAOYSA-N,化橘红
YHS-024,大黄素甲醚,Physcion,521-61-9,284.26,C16H12O5,,蒽醌类,O=C1C2=C(C(O)=CC(OC)=C2)C(C3=C(O)C=C(C)C=C31)=O,"InChI=1S/C16H12O5/c1-7-3-9-13(11(17)4-7)16(20)14-10(15(9)19)5-8(21-2)6-12(14)18/h3-6,17-18H,1-2H3",FFWOKTFYGVYKIR-UHFFFAOYSA-N,化橘红
YHS-025,豆甾醇,stigmasterol,83-48-7,412.691,C29H48O,,甾体类,CCC(C(C)C)/C=C/[C@@H](C)[C@@H]1[C@]2(C)C(CC1)C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC2,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/b9-8+/t20-,21?,23+,24?,25-,26?,27?,28+,29-/m1/s1",HCXVJBMSMIARIN-ZIPLBMGGSA-N,化橘红
YHS-026,,tetrahydro corysamine,32043-26-8,337.369,C20H19NO4,,生物碱类,C[C@@H](C(C=CC1=C2OCO1)=C2C3)C(N3CC4)C5=C4C=C(OCO6)C6=C5,"InChI=1S/C20H19NO4/c1-11-13-2-3-16-20(25-10-22-16)15(13)8-21-5-4-12-6-17-18(24-9-23-17)7-14(12)19(11)21/h2-3,6-7,11,19H,4-5,8-10H2,1H3/t11-,19?/m0/s1",UKIOTQZYKUPESG-IFGYVTRGSA-N,化橘红
YHS-027,氧代海罂粟碱,oxoglaucine,5574-24-3,351.353,C20H17NO5,,生物碱类,COC1=C(OC)C2=C3C(N(C)CCC3=C1)C(C4=CC(OC)=C(OC)C=C42)=O,"InChI=1S/C21H23NO5/c1-22-7-6-11-8-16(26-4)21(27-5)18-12-9-14(24-2)15(25-3)10-13(12)20(23)19(22)17(11)18/h8-10,19H,6-7H2,1-5H3",YYKXSMVUKQMXBS-UHFFFAOYSA-N,化橘红
YHS-028,山嵛酸,behenic acid,112-85-6,340.584,C22H44O2,,酚酸类,CCCCCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,化橘红
YHS-029,,β-sitosterol ,31793-83-6,414.707,C29H50O,,甾体类,C[C@@]12C(CC[C@@H]2[C@@H](CCC(C(C)C)CC)C)C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21?,23+,24?,25-,26?,27?,28+,29-/m1/s1",KZJWDPNRJALLNS-SOVASGFASA-N,化橘红
YHS-030,胡萝卜苷, daucosterol ,474-58-8,576.847,C35H60O6,,甾体类,CC12C(C[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC2)=CCC4C1CCC5C4CCC5CCC[C@H](C(C)C)CC,"InChI=1S/C33H56O6/c1-5-20(19(2)3)7-6-8-21-9-11-25-24(21)13-14-27-26(25)12-10-22-17-23(15-16-33(22,27)4)38-32-31(37)30(36)29(35)28(18-34)39-32/h10,19-21,23-32,34-37H,5-9,11-18H2,1-4H3/t20-,21?,23+,24?,25?,26?,27?,28-,29-,30+,31-,32?,33?/m1/s1",YUNZKZQAXRGHDJ-PROAFKEISA-N,化橘红
YHS-031,香草酸,Vanillic acid,121-34-6,168.147,C8H8O4,,酚酸类,OC(C1=CC(OC)=C(O)C=C1)=O,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,化橘红
YHS-032,4-羟基苯甲酸,p-hydroxybenzoic acid,99-96-7,138.121,C7H6O3,,苯丙素类,OC(C1=CC=C(O)C=C1)=O,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,化橘红
YHS-033,千金藤宁碱,stepharanine,17369-30-1,324.351,C19H18NO4+,,生物碱类,,,,化橘红
