编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
ZSG—40,苯甲醇,Benzyl alcohol,100-51-6,108.138 ,C7H8O,,酚酸,OCC1=CC=CC=C1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N,朱砂根
ZSG—41,苯乙醇,Phenethyl alcohol,60-12-8,122.164 ,C8H10O,,其他,OCCC1=CC=CC=C1,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",WRMNZCZEMHIOCP-UHFFFAOYSA-N,朱砂根
ZSG—42,氧化丁香烯,Caryophyllene oxide,1139-30-6,220.350 ,C15H24O,,倍半萜,C=C1CCC2O[C@@](C)2CC[C@]3([H])[C@]1([H])CC3(C)C,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13?,15-/m1/s1",NVEQFIOZRFFVFW-CZPDGURSSA-N,朱砂根
ZSG—43,E-3-己烯酸,(E)-3-hexenoic acid,1577-18-0,114.142 ,C6H10O2,,脂肪酸,CC/C=C/CC(O)=O,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)/b4-3+",XXHDAWYDNSXJQM-ONEGZZNKSA-N,朱砂根
ZSG—44,棕榈酸乙酯, Ethyl palmitate,628-97-7,284.477 ,C18H36O2,,脂肪酸,CCCCCCCCCCCCCCCC(OCC)=O,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3",XIRNKXNNONJFQO-UHFFFAOYSA-N,朱砂根
ZSG—45,肉豆蔻酸,2-dimethylaminoethyl tetradecanoate,43016-78-0,299.492 ,C18H37NO2,,脂肪酸,CCCCCCCCCCCCCC(OCCN(C)C)=O,"InChI=1S/C18H37NO2/c1-4-5-6-7-8-9-10-11-12-13-14-15-18(20)21-17-16-19(2)3/h4-17H2,1-3H3",WVTLMDGNANZSAT-UHFFFAOYSA-N,朱砂根
ZSG—46,Z-11-十六碳烯酸,11(Z)-hexadecenoic Acid,/,254.408 ,C16H30O2,,脂肪酸,CCCC/C=C\CCCCCCCCCC(O)=O,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h5-6H,2-4,7-15H2,1H3,(H,17,18)/b6-5-",JGMYDQCXGIMHLL-WAYWQWQTSA-N,朱砂根
ZSG—47,十七酸,Margaric acid,506-12-7,270.451 ,C17H34O2,,脂肪酸,CCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,朱砂根
ZSG—48,α-亚麻酸甲酯,Methyl Linolenate,301-00-8,292.456 ,C19H32O2,,脂肪酸,CC/C=C\C/C=C\C/C=C\CCCCCCCC(OC)=O,"InChI=1S/C19H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h4-5,7-8,10-11H,3,6,9,12-18H2,1-2H3/b5-4-,8-7-,11-10-",DVWSXZIHSUZZKJ-YSTUJMKBSA-N,朱砂根
ZSG—49,"11,14-二十碳二烯酸甲酯","11,14-eicosadienoic acid methyl ester",2463-02-7,322.525 ,C21H38O2,,脂肪酸,CCCCC/C=C/C/C=C/CCCCCCCCCC(OC)=O,"InChI=1S/C21H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23-2/h7-8,10-11H,3-6,9,12-20H2,1-2H3/b8-7+,11-10+",GWJCFAOQCNNFAM-ZDVGBALWSA-N,朱砂根
ZSG—50,紫金牛醌,Rapanone,573-40-0,322.439 ,C19H30O4,,醌,O=C1C(CCCCCCCCCCCCC)=C(O)C(C=C1O)=O,"InChI=1S/C19H30O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-18(22)16(20)14-17(21)19(15)23/h14,20,23H,2-13H2,1H3",AMKNOBHCKRZHIO-UHFFFAOYSA-N,朱砂根
ZSG—51,β-谷甾醇,24-propylcholesterol,64997-52-0,428.733 ,C30H52O,,三萜,CC(C)C(CCC)CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,"InChI=1S/C30H52O/c1-7-8-22(20(2)3)10-9-21(4)26-13-14-27-25-12-11-23-19-24(31)15-17-29(23,5)28(25)16-18-30(26,27)6/h11,20-22,24-28,31H,7-10,12-19H2,1-6H3/t21-,22?,24+,25+,26-,27+,28+,29+,30-/m1/s1",KLEXDBGYSOIREE-CWVNNBCPSA-N,朱砂根
ZSG—52,"2-甲氧基-6-十三烷基-1,4-苯醌","2-methoxy-6-tridecylcyclohexa-2,5-diene-1,4-dione",5259-06-3,320.466 ,C20H32O3,,醌,O=C1C(OC)=CC(C=C1CCCCCCCCCCCCC)=O,"InChI=1S/C20H32O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-17-15-18(21)16-19(23-2)20(17)22/h15-16H,3-14H2,1-2H3",CBEDFJLNGRMUQV-UHFFFAOYSA-N,朱砂根
